# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 29600652.199999996
# --> AL_F127_220301_6f8779c3-e915-4ad8-acc9-031b507e4a84_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.212689e-04
  4.756484e-03    1.761426e-04
  5.055415e-03    1.290408e-04
  5.354345e-03    9.187979e-05
  5.653276e-03    7.161585e-05
  5.952206e-03    1.119774e-04
  6.251136e-03    1.013274e-04
  6.550067e-03    8.717629e-05
  6.848997e-03    7.397490e-05
  7.147927e-03    6.291502e-05
  7.446858e-03    5.423596e-05
  7.745788e-03    4.709032e-05
  8.044719e-03    4.120822e-05
  8.343649e-03    3.642934e-05
  8.642579e-03    3.236410e-05
  8.941510e-03    2.904404e-05
  9.240440e-03    2.620937e-05
  9.539371e-03    2.368719e-05
  9.838301e-03    2.158219e-05
  1.013723e-02    1.972307e-05
  1.043616e-02    1.818124e-05
  1.073509e-02    1.689837e-05
  1.103402e-02    1.578060e-05
  1.133295e-02    1.472757e-05
  1.163188e-02    1.385981e-05
  1.193081e-02    1.312643e-05
  1.222974e-02    1.244780e-05
  1.252867e-02    1.191348e-05
  1.282760e-02    1.139810e-05
  1.312654e-02    1.093255e-05
  1.342547e-02    1.059578e-05
  1.372440e-02    1.027761e-05
  1.402333e-02    9.996385e-06
  1.432226e-02    9.746721e-06
  1.462119e-02    9.559662e-06
  1.492012e-02    9.413242e-06
  1.521905e-02    9.351702e-06
  1.551798e-02    9.266493e-06
  1.581691e-02    9.204245e-06
  1.611584e-02    9.171495e-06
  1.641477e-02    9.098644e-06
  1.671370e-02    9.098469e-06
  1.701263e-02    9.160343e-06
  1.731156e-02    9.212145e-06
  1.761049e-02    9.320242e-06
  1.790942e-02    9.417896e-06
  1.820835e-02    9.514006e-06
  1.850728e-02    9.628122e-06
  1.880621e-02    9.740321e-06
