# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 12933248.0
# --> AL_F127_220301_8037e240-7f6b-405b-8e60-0e44140214eb_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.694179e-04
  4.756484e-03    1.308204e-04
  5.055415e-03    8.881171e-05
  5.354345e-03    5.893749e-05
  5.653276e-03    4.265582e-05
  5.952206e-03    5.858608e-05
  6.251136e-03    5.322949e-05
  6.550067e-03    4.641803e-05
  6.848997e-03    3.958814e-05
  7.147927e-03    3.353589e-05
  7.446858e-03    2.887569e-05
  7.745788e-03    2.507234e-05
  8.044719e-03    2.182252e-05
  8.343649e-03    1.909000e-05
  8.642579e-03    1.680996e-05
  8.941510e-03    1.494744e-05
  9.240440e-03    1.326896e-05
  9.539371e-03    1.186932e-05
  9.838301e-03    1.063956e-05
  1.013723e-02    9.617155e-06
  1.043616e-02    8.788758e-06
  1.073509e-02    8.044887e-06
  1.103402e-02    7.376724e-06
  1.133295e-02    6.747451e-06
  1.163188e-02    6.260825e-06
  1.193081e-02    5.868395e-06
  1.222974e-02    5.413807e-06
  1.252867e-02    5.001457e-06
  1.282760e-02    4.684321e-06
  1.312654e-02    4.387459e-06
  1.342547e-02    4.125656e-06
  1.372440e-02    3.878755e-06
  1.402333e-02    3.698742e-06
  1.432226e-02    3.526783e-06
  1.462119e-02    3.335265e-06
  1.492012e-02    3.251137e-06
  1.521905e-02    3.167327e-06
  1.551798e-02    3.019974e-06
  1.581691e-02    2.933418e-06
  1.611584e-02    2.832925e-06
  1.641477e-02    2.760386e-06
  1.671370e-02    2.679952e-06
  1.701263e-02    2.683717e-06
  1.731156e-02    2.652121e-06
  1.761049e-02    2.619470e-06
  1.790942e-02    2.620971e-06
  1.820835e-02    2.609278e-06
  1.850728e-02    2.541315e-06
  1.880621e-02    2.559140e-06
  1.910514e-02    2.593082e-06
  1.940407e-02    2.584085e-06
  1.970300e-02    2.587632e-06
  2.000193e-02    2.597721e-06
  2.030086e-02    2.610264e-06
  2.059979e-02    2.644736e-06
  2.089873e-02    2.678311e-06
  2.119766e-02    2.690211e-06
  2.149659e-02    2.721366e-06
  2.179552e-02    2.728966e-06
  2.209445e-02    2.726366e-06
  2.239338e-02    2.759604e-06
  2.269231e-02    2.744252e-06
  2.299124e-02    2.745812e-06
  2.329017e-02    2.742206e-06
  2.358910e-02    2.737223e-06
  2.388803e-02    2.769556e-06
  2.418696e-02    2.754175e-06
  2.448589e-02    2.732697e-06
  2.478482e-02    2.707167e-06
  2.508375e-02    2.725669e-06
  2.538268e-02    2.693431e-06
  2.568161e-02    2.668797e-06
  2.598054e-02    2.613703e-06
  2.627947e-02    2.557146e-06
  2.657840e-02    2.560334e-06
  2.687733e-02    2.542032e-06
  2.717626e-02    2.509014e-06
  2.747519e-02    2.462211e-06
  2.777412e-02    2.387159e-06
  2.807305e-02    2.340638e-06
  2.837198e-02    2.338974e-06
  2.867092e-02    2.295787e-06
  2.896985e-02    2.239020e-06
  2.926878e-02    2.225614e-06
  2.956771e-02    2.193794e-06
  2.986664e-02    2.135981e-06
  3.016557e-02    2.094941e-06
  3.046450e-02    2.072807e-06
  3.076343e-02    2.061494e-06
  3.106236e-02    2.034846e-06
  3.136129e-02    1.988637e-06
  3.166022e-02    1.946218e-06
  3.195915e-02    1.947106e-06
  3.225808e-02    1.912745e-06
  3.255701e-02    1.905840e-06
  3.285594e-02    1.904262e-06
  3.315487e-02    1.853624e-06
  3.345380e-02    1.831123e-06
  3.375273e-02    1.814606e-06
  3.405166e-02    1.787264e-06
  3.435059e-02    1.776479e-06
  3.464952e-02    1.761366e-06
  3.494845e-02    1.752221e-06
  3.524738e-02    1.739497e-06
  3.554631e-02    1.711946e-06
  3.584524e-02    1.681111e-06
  3.614417e-02    1.699152e-06
  3.644310e-02    1.701977e-06
  3.674204e-02    1.684013e-06
  3.704097e-02    1.669693e-06
  3.733990e-02    1.642750e-06
  3.763883e-02    1.660468e-06
  3.793776e-02    1.649542e-06
  3.823669e-02    1.632766e-06
  3.853562e-02    1.625735e-06
  3.883455e-02    1.614526e-06
  3.913348e-02    1.617909e-06
  3.943241e-02    1.600963e-06
  3.973134e-02    1.587539e-06
  4.003027e-02    1.583778e-06
  4.032920e-02    1.594053e-06
  4.062813e-02    1.586353e-06
  4.092706e-02    1.575336e-06
  4.122599e-02    1.558025e-06
  4.152492e-02    1.558520e-06
  4.182385e-02    1.567644e-06
  4.212278e-02    1.547055e-06
  4.242171e-02    1.534464e-06
  4.272064e-02    1.522845e-06
  4.301957e-02    1.530093e-06
  4.331850e-02    1.524577e-06
  4.361743e-02    1.505097e-06
  4.391636e-02    1.497391e-06
  4.421529e-02    1.480036e-06
  4.451423e-02    1.468951e-06
  4.481316e-02    1.462230e-06
  4.511209e-02    1.473389e-06
  4.541102e-02    1.468488e-06
  4.570995e-02    1.431676e-06
  4.600888e-02    1.427750e-06
  4.630781e-02    1.408861e-06
  4.660674e-02    1.399273e-06
  4.690567e-02    1.373534e-06
  4.720460e-02    1.373130e-06
  4.750353e-02    1.355927e-06
  4.780246e-02    1.330815e-06
