# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1578483.2000000002
# --> AL_F127_220301_872c9841-987c-40d9-ab44-7c306a4edcf2_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.258102e-03
  4.756484e-03    1.796992e-03
  5.055415e-03    1.282189e-03
  5.354345e-03    8.849000e-04
  5.653276e-03    6.853825e-04
  5.952206e-03    1.018072e-03
  6.251136e-03    9.333424e-04
  6.550067e-03    8.173727e-04
  6.848997e-03    7.057777e-04
  7.147927e-03    6.073974e-04
  7.446858e-03    5.319249e-04
  7.745788e-03    4.687278e-04
  8.044719e-03    4.154712e-04
  8.343649e-03    3.751013e-04
  8.642579e-03    3.394839e-04
  8.941510e-03    3.082752e-04
  9.240440e-03    2.828089e-04
  9.539371e-03    2.620109e-04
  9.838301e-03    2.424720e-04
  1.013723e-02    2.277869e-04
  1.043616e-02    2.144257e-04
  1.073509e-02    2.017375e-04
  1.103402e-02    1.919279e-04
  1.133295e-02    1.824346e-04
  1.163188e-02    1.755225e-04
  1.193081e-02    1.685173e-04
  1.222974e-02    1.631062e-04
  1.252867e-02    1.585145e-04
  1.282760e-02    1.528361e-04
  1.312654e-02    1.483326e-04
  1.342547e-02    1.450594e-04
  1.372440e-02    1.421032e-04
  1.402333e-02    1.402047e-04
  1.432226e-02    1.375423e-04
  1.462119e-02    1.356656e-04
  1.492012e-02    1.336628e-04
  1.521905e-02    1.313121e-04
  1.551798e-02    1.296528e-04
  1.581691e-02    1.285861e-04
  1.611584e-02    1.273645e-04
  1.641477e-02    1.264215e-04
  1.671370e-02    1.250793e-04
  1.701263e-02    1.232823e-04
  1.731156e-02    1.231951e-04
  1.761049e-02    1.225083e-04
  1.790942e-02    1.217239e-04
  1.820835e-02    1.212466e-04
  1.850728e-02    1.196697e-04
  1.880621e-02    1.189357e-04
  1.910514e-02    1.182109e-04
  1.940407e-02    1.174778e-04
  1.970300e-02    1.166421e-04
  2.000193e-02    1.152997e-04
  2.030086e-02    1.155669e-04
  2.059979e-02    1.154243e-04
  2.089873e-02    1.144936e-04
  2.119766e-02    1.135677e-04
  2.149659e-02    1.118985e-04
  2.179552e-02    1.104671e-04
  2.209445e-02    1.094367e-04
  2.239338e-02    1.083659e-04
  2.269231e-02    1.072173e-04
  2.299124e-02    1.061311e-04
  2.329017e-02    1.048685e-04
  2.358910e-02    1.035195e-04
  2.388803e-02    1.024216e-04
  2.418696e-02    1.010744e-04
  2.448589e-02    9.928083e-05
  2.478482e-02    9.724652e-05
  2.508375e-02    9.570704e-05
  2.538268e-02    9.452739e-05
  2.568161e-02    9.324669e-05
  2.598054e-02    9.126629e-05
  2.627947e-02    8.983382e-05
  2.657840e-02    8.794474e-05
  2.687733e-02    8.635074e-05
  2.717626e-02    8.468085e-05
  2.747519e-02    8.316964e-05
  2.777412e-02    8.214835e-05
  2.807305e-02    8.031204e-05
  2.837198e-02    7.855952e-05
  2.867092e-02    7.667126e-05
  2.896985e-02    7.513197e-05
  2.926878e-02    7.372611e-05
  2.956771e-02    7.243636e-05
  2.986664e-02    7.076161e-05
  3.016557e-02    6.909874e-05
  3.046450e-02    6.808412e-05
  3.076343e-02    6.649258e-05
  3.106236e-02    6.539712e-05
  3.136129e-02    6.390626e-05
  3.166022e-02    6.220099e-05
  3.195915e-02    6.087188e-05
  3.225808e-02    5.985880e-05
  3.255701e-02    5.855777e-05
  3.285594e-02    5.761665e-05
  3.315487e-02    5.623360e-05
  3.345380e-02    5.492113e-05
  3.375273e-02    5.402162e-05
  3.405166e-02    5.283027e-05
  3.435059e-02    5.189826e-05
  3.464952e-02    5.091040e-05
  3.494845e-02    5.016578e-05
  3.524738e-02    4.894961e-05
  3.554631e-02    4.746822e-05
  3.584524e-02    4.694785e-05
  3.614417e-02    4.643309e-05
  3.644310e-02    4.553604e-05
  3.674204e-02    4.464332e-05
  3.704097e-02    4.360798e-05
  3.733990e-02    4.293269e-05
  3.763883e-02    4.229674e-05
  3.793776e-02    4.154701e-05
  3.823669e-02    4.074365e-05
  3.853562e-02    3.989313e-05
  3.883455e-02    3.932452e-05
  3.913348e-02    3.849764e-05
  3.943241e-02    3.783784e-05
  3.973134e-02    3.724806e-05
  4.003027e-02    3.674563e-05
  4.032920e-02    3.625931e-05
  4.062813e-02    3.555331e-05
  4.092706e-02    3.478381e-05
  4.122599e-02    3.430768e-05
  4.152492e-02    3.396253e-05
  4.182385e-02    3.338522e-05
  4.212278e-02    3.260434e-05
  4.242171e-02    3.229224e-05
  4.272064e-02    3.178172e-05
  4.301957e-02    3.103390e-05
  4.331850e-02    3.077977e-05
  4.361743e-02    3.035216e-05
  4.391636e-02    2.974856e-05
  4.421529e-02    2.929152e-05
  4.451423e-02    2.880609e-05
  4.481316e-02    2.841688e-05
  4.511209e-02    2.797868e-05
  4.541102e-02    2.755968e-05
  4.570995e-02    2.732505e-05
  4.600888e-02    2.720776e-05
  4.630781e-02    2.660057e-05
  4.660674e-02    2.607841e-05
  4.690567e-02    2.575657e-05
  4.720460e-02    2.545694e-05
  4.750353e-02    2.506346e-05
  4.780246e-02    2.470558e-05
  4.810139e-02    2.437449e-05
  4.840032e-02    2.404559e-05
  4.869925e-02    2.376603e-05
  4.899818e-02    2.333486e-05
  4.929711e-02    2.274485e-05
  4.959604e-02    2.244730e-05
  4.989497e-02    2.227049e-05
  5.019390e-02    2.211846e-05
  5.049283e-02    2.179833e-05
  5.079176e-02    2.133898e-05
  5.109069e-02    2.094235e-05
  5.138962e-02    2.068059e-05
  5.168855e-02    2.054561e-05
  5.198748e-02    2.035998e-05
  5.228642e-02    2.007814e-05
  5.258535e-02    1.959333e-05
  5.288428e-02    1.943759e-05
  5.318321e-02    1.942831e-05
  5.348214e-02    1.906387e-05
  5.378107e-02    1.855281e-05
  5.408000e-02    1.833250e-05
  5.437893e-02    1.817654e-05
  5.467786e-02    1.782503e-05
  5.497679e-02    1.759214e-05
  5.527572e-02    1.743483e-05
  5.557465e-02    1.717694e-05
  5.587358e-02    1.692395e-05
  5.617251e-02    1.666621e-05
  5.647144e-02    1.659127e-05
  5.677037e-02    1.636794e-05
  5.706930e-02    1.615579e-05
  5.736823e-02    1.588418e-05
  5.766716e-02    1.566712e-05
  5.796609e-02    1.556992e-05
  5.826502e-02    1.535294e-05
  5.856395e-02    1.517480e-05
  5.886288e-02    1.499450e-05
  5.916181e-02    1.470702e-05
  5.946074e-02    1.467170e-05
  5.975967e-02    1.460109e-05
  6.005861e-02    1.433343e-05
  6.035754e-02    1.413477e-05
  6.065647e-02    1.401818e-05
  6.095540e-02    1.393219e-05
  6.125433e-02    1.380342e-05
  6.155326e-02    1.367904e-05
  6.185219e-02    1.358767e-05
  6.215112e-02    1.335495e-05
  6.245005e-02    1.318805e-05
  6.274898e-02    1.306803e-05
  6.304791e-02    1.283916e-05
  6.334684e-02    1.266027e-05
  6.364577e-02    1.266575e-05
  6.394470e-02    1.259699e-05
  6.424363e-02    1.247976e-05
  6.454256e-02    1.230745e-05
  6.484149e-02    1.219626e-05
  6.514042e-02    1.218122e-05
  6.543935e-02    1.210745e-05
  6.573828e-02    1.193627e-05
  6.603721e-02    1.187927e-05
  6.633614e-02    1.175384e-05
  6.663507e-02    1.168289e-05
  6.693400e-02    1.163451e-05
  6.723293e-02    1.160426e-05
  6.753186e-02    1.148794e-05
  6.783080e-02    1.138541e-05
  6.812973e-02    1.132023e-05
  6.842866e-02    1.130357e-05
  6.872759e-02    1.121197e-05
  6.902652e-02    1.118486e-05
  6.932545e-02    1.108036e-05
  6.962438e-02    1.101191e-05
  6.992331e-02    1.099406e-05
  7.022224e-02    1.094509e-05
  7.052117e-02    1.093455e-05
  7.082010e-02    1.087145e-05
  7.111903e-02    1.084869e-05
  7.141796e-02    1.077601e-05
  7.171689e-02    1.061383e-05
  7.201582e-02    1.071429e-05
  7.231475e-02    1.072596e-05
  7.261368e-02    1.062328e-05
  7.291261e-02    1.059433e-05
  7.321154e-02    1.056821e-05
  7.351047e-02    1.058805e-05
  7.380940e-02    1.055649e-05
  7.410833e-02    1.045838e-05
  7.440726e-02    1.041633e-05
  7.470619e-02    1.039921e-05
  7.500512e-02    1.043949e-05
  7.530405e-02    1.034223e-05
  7.560299e-02    1.030529e-05
  7.590192e-02    1.041208e-05
  7.620085e-02    1.036762e-05
  7.649978e-02    1.019102e-05
  7.679871e-02    1.024968e-05
  7.709764e-02    1.024397e-05
  7.739657e-02    1.022284e-05
  7.769550e-02    1.024503e-05
  7.799443e-02    1.025264e-05
  7.829336e-02    1.022833e-05
  7.859229e-02    1.014141e-05
  7.889122e-02    1.020553e-05
  7.919015e-02    1.010627e-05
  7.948908e-02    1.006555e-05
  7.978801e-02    1.012830e-05
  8.008694e-02    1.007544e-05
  8.038587e-02    1.004712e-05
  8.068480e-02    1.010492e-05
  8.098373e-02    1.010063e-05
  8.128266e-02    1.008302e-05
  8.158159e-02    9.982432e-06
  8.188052e-02    9.959911e-06
  8.217945e-02    9.922169e-06
  8.247838e-02    9.939299e-06
  8.277731e-02    9.989099e-06
  8.307624e-02    9.989131e-06
  8.337518e-02    1.003982e-05
  8.367411e-02    1.006273e-05
  8.397304e-02    1.002197e-05
  8.427197e-02    9.925122e-06
  8.457090e-02    9.926647e-06
  8.486983e-02    9.975398e-06
  8.516876e-02    9.899965e-06
  8.546769e-02    9.969974e-06
  8.576662e-02    1.005054e-05
  8.606555e-02    9.941371e-06
  8.636448e-02    9.950427e-06
  8.666341e-02    1.003173e-05
  8.696234e-02    1.001245e-05
  8.726127e-02    9.875111e-06
  8.756020e-02    9.836887e-06
  8.785913e-02    9.864969e-06
  8.815806e-02    9.941469e-06
  8.845699e-02    1.002459e-05
  8.875592e-02    9.945481e-06
  8.905485e-02    9.832057e-06
  8.935378e-02    9.892678e-06
  8.965271e-02    9.937188e-06
  8.995164e-02    9.936357e-06
  9.025057e-02    9.896586e-06
  9.054950e-02    9.895721e-06
  9.084843e-02    9.956785e-06
  9.114737e-02    9.970521e-06
  9.144630e-02    9.863713e-06
  9.174523e-02    9.868856e-06
  9.204416e-02    9.920469e-06
  9.234309e-02    1.004522e-05
  9.264202e-02    1.003272e-05
  9.294095e-02    9.971092e-06
  9.323988e-02    9.926852e-06
  9.353881e-02    9.956232e-06
  9.383774e-02    1.000475e-05
  9.413667e-02    1.000457e-05
  9.443560e-02    1.005923e-05
  9.473453e-02    1.005294e-05
  9.503346e-02    1.007216e-05
  9.533239e-02    9.974747e-06
  9.563132e-02    9.999813e-06
  9.593025e-02    1.006725e-05
  9.622918e-02    1.010466e-05
  9.652811e-02    1.000287e-05
  9.682704e-02    1.001092e-05
  9.712597e-02    1.008483e-05
  9.742490e-02    1.014589e-05
  9.772383e-02    1.003585e-05
  9.802276e-02    9.991296e-06
  9.832169e-02    1.005072e-05
  9.862062e-02    1.006211e-05
  9.891956e-02    1.010498e-05
  9.921849e-02    1.007763e-05
  9.951742e-02    1.006318e-05
  9.981635e-02    1.006058e-05
  1.001153e-01    1.006480e-05
  1.004142e-01    1.007417e-05
  1.007131e-01    1.004342e-05
  1.010121e-01    9.985550e-06
  1.013110e-01    9.932337e-06
  1.016099e-01    9.925831e-06
  1.019089e-01    9.991819e-06
  1.022078e-01    1.000304e-05
  1.025067e-01    1.006032e-05
  1.028057e-01    1.007501e-05
  1.031046e-01    9.990456e-06
  1.034035e-01    1.004199e-05
  1.037024e-01    1.004463e-05
  1.040014e-01    1.003397e-05
  1.043003e-01    9.956805e-06
  1.045992e-01    1.008692e-05
  1.048982e-01    1.010585e-05
  1.051971e-01    1.006041e-05
  1.054960e-01    1.004158e-05
  1.057950e-01    9.958117e-06
  1.060939e-01    1.000426e-05
  1.063928e-01    1.008330e-05
  1.066917e-01    1.000303e-05
  1.069907e-01    9.948613e-06
  1.072896e-01    9.960872e-06
  1.075885e-01    1.005989e-05
  1.078875e-01    1.007324e-05
  1.081864e-01    1.000177e-05
  1.084853e-01    1.000686e-05
  1.087843e-01    1.006780e-05
  1.090832e-01    1.010747e-05
  1.093821e-01    1.008748e-05
  1.096810e-01    1.008290e-05
  1.099800e-01    1.004176e-05
  1.102789e-01    1.003144e-05
  1.105778e-01    1.019537e-05
  1.108768e-01    1.013316e-05
  1.111757e-01    9.954984e-06
  1.114746e-01    9.905396e-06
  1.117736e-01    9.860851e-06
  1.120725e-01    9.835432e-06
  1.123714e-01    9.702818e-06
  1.126704e-01    9.544734e-06
  1.129693e-01    9.444443e-06
  1.132682e-01    9.325772e-06
  1.135671e-01    9.161026e-06
  1.138661e-01    8.957258e-06
  1.141650e-01    8.740999e-06
  1.144639e-01    8.592896e-06
  1.147629e-01    8.455922e-06
  1.150618e-01    8.557096e-06
  1.153607e-01    8.439343e-06
  1.156597e-01    8.209220e-06
  1.159586e-01    8.186383e-06
  1.162575e-01    8.232630e-06
  1.165564e-01    8.401326e-06
  1.168554e-01    8.485470e-06
  1.171543e-01    8.341049e-06
  1.174532e-01    8.311227e-06
  1.177522e-01    8.502333e-06
  1.180511e-01    8.520595e-06
  1.183500e-01    8.378734e-06
  1.186490e-01    8.311793e-06
  1.189479e-01    8.334289e-06
  1.192468e-01    8.282642e-06
  1.195458e-01    8.269400e-06
  1.198447e-01    8.367787e-06
  1.201436e-01    8.078121e-06
  1.204425e-01    7.566869e-06
  1.207415e-01    7.802668e-06
  1.210404e-01    6.340934e-06
  1.213393e-01    0.000000e+00
  1.216383e-01    0.000000e+00
  1.219372e-01    0.000000e+00
  1.222361e-01    0.000000e+00
  1.225351e-01    0.000000e+00
  1.228340e-01    0.000000e+00
  1.231329e-01    0.000000e+00
  1.234318e-01    0.000000e+00
  1.237308e-01    0.000000e+00
  1.240297e-01    0.000000e+00
  1.243286e-01    0.000000e+00
  1.246276e-01    0.000000e+00
  1.249265e-01    0.000000e+00
  1.252254e-01    0.000000e+00
  1.255244e-01    0.000000e+00
  1.258233e-01    0.000000e+00
  1.261222e-01    0.000000e+00
  1.264212e-01    0.000000e+00
  1.267201e-01    0.000000e+00
  1.270190e-01    0.000000e+00
  1.273179e-01    0.000000e+00
  1.276169e-01    0.000000e+00
  1.279158e-01    0.000000e+00
  1.282147e-01    0.000000e+00
  1.285137e-01    0.000000e+00
  1.288126e-01    0.000000e+00
  1.291115e-01    0.000000e+00
  1.294105e-01    0.000000e+00
  1.297094e-01    0.000000e+00
  1.300083e-01    0.000000e+00
  1.303072e-01    0.000000e+00
  1.306062e-01    0.000000e+00
  1.309051e-01    0.000000e+00
  1.312040e-01    0.000000e+00
  1.315030e-01    0.000000e+00
  1.318019e-01    0.000000e+00
  1.321008e-01    0.000000e+00
  1.323998e-01    0.000000e+00
  1.326987e-01    0.000000e+00
  1.329976e-01    0.000000e+00
  1.332965e-01    0.000000e+00
  1.335955e-01    0.000000e+00
  1.338944e-01    0.000000e+00
  1.341933e-01    0.000000e+00
  1.344923e-01    0.000000e+00
  1.347912e-01    0.000000e+00
  1.350901e-01    0.000000e+00
  1.353891e-01    0.000000e+00
  1.356880e-01    0.000000e+00
  1.359869e-01    0.000000e+00
  1.362859e-01    0.000000e+00
  1.365848e-01    0.000000e+00
  1.368837e-01    0.000000e+00
  1.371826e-01    0.000000e+00
  1.374816e-01    0.000000e+00
  1.377805e-01    0.000000e+00
  1.380794e-01    0.000000e+00
  1.383784e-01    0.000000e+00
  1.386773e-01    0.000000e+00
  1.389762e-01    0.000000e+00
  1.392752e-01    0.000000e+00
  1.395741e-01    0.000000e+00
  1.398730e-01    0.000000e+00
  1.401719e-01    0.000000e+00
  1.404709e-01    0.000000e+00
  1.407698e-01    0.000000e+00
  1.410687e-01    0.000000e+00
  1.413677e-01    0.000000e+00
  1.416666e-01    0.000000e+00
  1.419655e-01    0.000000e+00
  1.422645e-01    0.000000e+00
  1.425634e-01    0.000000e+00
  1.428623e-01    0.000000e+00
  1.431613e-01    0.000000e+00
  1.434602e-01    0.000000e+00
  1.437591e-01    0.000000e+00
  1.440580e-01    0.000000e+00
  1.443570e-01    0.000000e+00
  1.446559e-01    0.000000e+00
  1.449548e-01    0.000000e+00
  1.452538e-01    0.000000e+00
  1.455527e-01    0.000000e+00
  1.458516e-01    0.000000e+00
  1.461506e-01    0.000000e+00
  1.464495e-01    0.000000e+00
  1.467484e-01    0.000000e+00
  1.470473e-01    0.000000e+00
  1.473463e-01    0.000000e+00
  1.476452e-01    0.000000e+00
  1.479441e-01    0.000000e+00
  1.482431e-01    0.000000e+00
  1.485420e-01    0.000000e+00
  1.488409e-01    0.000000e+00
  1.491399e-01    0.000000e+00
  1.494388e-01    0.000000e+00
  1.497377e-01    0.000000e+00
  1.500367e-01    0.000000e+00
  1.503356e-01    0.000000e+00
  1.506345e-01    0.000000e+00
  1.509334e-01    0.000000e+00
  1.512324e-01    0.000000e+00
  1.515313e-01    0.000000e+00
  1.518302e-01    0.000000e+00
  1.521292e-01    0.000000e+00
  1.524281e-01    0.000000e+00
  1.527270e-01    0.000000e+00
  1.530260e-01    0.000000e+00
  1.533249e-01    0.000000e+00
  1.536238e-01    0.000000e+00
