# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1752172.6
# --> AL_F127_220301_8998a976-ecfc-4220-861c-2ed148312fab_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.343602e-03
  4.756484e-03    1.858833e-03
  5.055415e-03    1.314375e-03
  5.354345e-03    8.953064e-04
  5.653276e-03    6.767829e-04
  5.952206e-03    9.703164e-04
  6.251136e-03    8.895186e-04
  6.550067e-03    7.819184e-04
  6.848997e-03    6.729821e-04
  7.147927e-03    5.762557e-04
  7.446858e-03    5.028017e-04
  7.745788e-03    4.406983e-04
  8.044719e-03    3.886829e-04
  8.343649e-03    3.481400e-04
  8.642579e-03    3.116108e-04
  8.941510e-03    2.821323e-04
  9.240440e-03    2.569238e-04
  9.539371e-03    2.358391e-04
  9.838301e-03    2.181484e-04
  1.013723e-02    2.041824e-04
  1.043616e-02    1.914596e-04
  1.073509e-02    1.800478e-04
  1.103402e-02    1.708587e-04
  1.133295e-02    1.635912e-04
  1.163188e-02    1.562783e-04
  1.193081e-02    1.499647e-04
  1.222974e-02    1.452525e-04
  1.252867e-02    1.421637e-04
  1.282760e-02    1.390631e-04
  1.312654e-02    1.358237e-04
  1.342547e-02    1.332861e-04
  1.372440e-02    1.314646e-04
  1.402333e-02    1.307936e-04
  1.432226e-02    1.299714e-04
  1.462119e-02    1.295238e-04
  1.492012e-02    1.295788e-04
  1.521905e-02    1.293397e-04
  1.551798e-02    1.302931e-04
  1.581691e-02    1.323289e-04
  1.611584e-02    1.347352e-04
  1.641477e-02    1.363578e-04
  1.671370e-02    1.381471e-04
  1.701263e-02    1.401811e-04
  1.731156e-02    1.420716e-04
  1.761049e-02    1.454736e-04
  1.790942e-02    1.490724e-04
  1.820835e-02    1.526100e-04
  1.850728e-02    1.556841e-04
  1.880621e-02    1.594215e-04
  1.910514e-02    1.636592e-04
  1.940407e-02    1.677427e-04
  1.970300e-02    1.721149e-04
  2.000193e-02    1.770121e-04
  2.030086e-02    1.813024e-04
  2.059979e-02    1.852106e-04
  2.089873e-02    1.890686e-04
  2.119766e-02    1.931775e-04
  2.149659e-02    1.965874e-04
  2.179552e-02    2.007077e-04
  2.209445e-02    2.034501e-04
  2.239338e-02    2.059433e-04
  2.269231e-02    2.079368e-04
  2.299124e-02    2.091007e-04
  2.329017e-02    2.102951e-04
  2.358910e-02    2.107519e-04
  2.388803e-02    2.107080e-04
  2.418696e-02    2.092209e-04
  2.448589e-02    2.074553e-04
  2.478482e-02    2.058722e-04
  2.508375e-02    2.037801e-04
  2.538268e-02    2.001043e-04
  2.568161e-02    1.968870e-04
  2.598054e-02    1.929077e-04
  2.627947e-02    1.886784e-04
  2.657840e-02    1.841241e-04
  2.687733e-02    1.798877e-04
  2.717626e-02    1.749744e-04
  2.747519e-02    1.708520e-04
  2.777412e-02    1.657072e-04
  2.807305e-02    1.602574e-04
  2.837198e-02    1.554586e-04
  2.867092e-02    1.502122e-04
  2.896985e-02    1.448818e-04
  2.926878e-02    1.403855e-04
  2.956771e-02    1.361369e-04
  2.986664e-02    1.318844e-04
  3.016557e-02    1.274321e-04
  3.046450e-02    1.231646e-04
  3.076343e-02    1.194024e-04
  3.106236e-02    1.157879e-04
  3.136129e-02    1.120853e-04
  3.166022e-02    1.087030e-04
