# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 714634.0
# --> AL_F127_220301_96848edc-eb55-4d31-b1ef-74f06ec1440b_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.510886e-03
  4.756484e-03    1.939254e-03
  5.055415e-03    1.327205e-03
  5.354345e-03    8.788454e-04
  5.653276e-03    6.368536e-04
  5.952206e-03    9.057384e-04
  6.251136e-03    8.279316e-04
  6.550067e-03    7.192517e-04
  6.848997e-03    6.189738e-04
  7.147927e-03    5.336195e-04
  7.446858e-03    4.572908e-04
  7.745788e-03    3.919725e-04
  8.044719e-03    3.426955e-04
  8.343649e-03    3.032344e-04
  8.642579e-03    2.677596e-04
  8.941510e-03    2.359830e-04
  9.240440e-03    2.114066e-04
  9.539371e-03    1.927558e-04
  9.838301e-03    1.751296e-04
  1.013723e-02    1.598127e-04
  1.043616e-02    1.478983e-04
  1.073509e-02    1.370821e-04
  1.103402e-02    1.262420e-04
  1.133295e-02    1.174814e-04
  1.163188e-02    1.093654e-04
  1.193081e-02    1.031117e-04
  1.222974e-02    9.761894e-05
  1.252867e-02    9.241892e-05
  1.282760e-02    8.889335e-05
  1.312654e-02    8.444999e-05
  1.342547e-02    8.057770e-05
  1.372440e-02    7.806621e-05
  1.402333e-02    7.598249e-05
  1.432226e-02    7.382160e-05
  1.462119e-02    7.138844e-05
  1.492012e-02    7.101087e-05
  1.521905e-02    7.000504e-05
  1.551798e-02    6.885945e-05
  1.581691e-02    6.759185e-05
  1.611584e-02    6.787285e-05
  1.641477e-02    6.793007e-05
  1.671370e-02    6.734984e-05
  1.701263e-02    6.667798e-05
  1.731156e-02    6.680449e-05
  1.761049e-02    6.763574e-05
  1.790942e-02    6.852010e-05
  1.820835e-02    6.960400e-05
  1.850728e-02    6.982506e-05
  1.880621e-02    7.061389e-05
  1.910514e-02    7.147702e-05
  1.940407e-02    7.287247e-05
  1.970300e-02    7.389225e-05
  2.000193e-02    7.460950e-05
  2.030086e-02    7.565723e-05
  2.059979e-02    7.675200e-05
  2.089873e-02    7.719085e-05
  2.119766e-02    7.816594e-05
  2.149659e-02    7.949723e-05
  2.179552e-02    8.045981e-05
  2.209445e-02    8.052666e-05
  2.239338e-02    8.015491e-05
  2.269231e-02    8.046572e-05
  2.299124e-02    8.045467e-05
  2.329017e-02    8.053765e-05
  2.358910e-02    8.081408e-05
  2.388803e-02    8.010548e-05
  2.418696e-02    7.879036e-05
  2.448589e-02    7.855226e-05
  2.478482e-02    7.850851e-05
  2.508375e-02    7.693526e-05
  2.538268e-02    7.609787e-05
  2.568161e-02    7.529170e-05
  2.598054e-02    7.426305e-05
  2.627947e-02    7.251911e-05
  2.657840e-02    7.106830e-05
  2.687733e-02    6.972141e-05
  2.717626e-02    6.828133e-05
  2.747519e-02    6.693113e-05
  2.777412e-02    6.547704e-05
  2.807305e-02    6.449339e-05
  2.837198e-02    6.277700e-05
  2.867092e-02    6.160962e-05
  2.896985e-02    6.009980e-05
  2.926878e-02    5.943548e-05
  2.956771e-02    5.849172e-05
  2.986664e-02    5.744729e-05
  3.016557e-02    5.600878e-05
  3.046450e-02    5.486336e-05
  3.076343e-02    5.357636e-05
  3.106236e-02    5.258761e-05
  3.136129e-02    5.141126e-05
  3.166022e-02    5.012770e-05
  3.195915e-02    4.953134e-05
  3.225808e-02    4.888403e-05
  3.255701e-02    4.803226e-05
  3.285594e-02    4.743851e-05
  3.315487e-02    4.672353e-05
  3.345380e-02    4.556704e-05
  3.375273e-02    4.490240e-05
  3.405166e-02    4.452387e-05
  3.435059e-02    4.381336e-05
  3.464952e-02    4.314201e-05
  3.494845e-02    4.286414e-05
  3.524738e-02    4.224773e-05
  3.554631e-02    4.150973e-05
  3.584524e-02    4.104861e-05
  3.614417e-02    4.065829e-05
  3.644310e-02    3.970447e-05
  3.674204e-02    3.937885e-05
  3.704097e-02    3.908841e-05
  3.733990e-02    3.837663e-05
  3.763883e-02    3.800568e-05
  3.793776e-02    3.795407e-05
  3.823669e-02    3.775749e-05
  3.853562e-02    3.733481e-05
  3.883455e-02    3.657393e-05
  3.913348e-02    3.655136e-05
  3.943241e-02    3.646797e-05
  3.973134e-02    3.621566e-05
  4.003027e-02    3.602477e-05
  4.032920e-02    3.553676e-05
  4.062813e-02    3.520363e-05
  4.092706e-02    3.481926e-05
  4.122599e-02    3.447628e-05
  4.152492e-02    3.410757e-05
  4.182385e-02    3.386523e-05
  4.212278e-02    3.345526e-05
  4.242171e-02    3.321783e-05
  4.272064e-02    3.303614e-05
  4.301957e-02    3.256786e-05
  4.331850e-02    3.231435e-05
  4.361743e-02    3.215102e-05
  4.391636e-02    3.178996e-05
  4.421529e-02    3.159568e-05
  4.451423e-02    3.103247e-05
  4.481316e-02    3.059694e-05
  4.511209e-02    3.029253e-05
  4.541102e-02    2.979627e-05
  4.570995e-02    2.960127e-05
  4.600888e-02    2.944837e-05
  4.630781e-02    2.898891e-05
  4.660674e-02    2.875498e-05
  4.690567e-02    2.827902e-05
  4.720460e-02    2.782467e-05
  4.750353e-02    2.730918e-05
  4.780246e-02    2.714071e-05
  4.810139e-02    2.685174e-05
  4.840032e-02    2.629561e-05
  4.869925e-02    2.611386e-05
  4.899818e-02    2.559869e-05
  4.929711e-02    2.530238e-05
  4.959604e-02    2.515922e-05
  4.989497e-02    2.452793e-05
  5.019390e-02    2.387905e-05
  5.049283e-02    2.356674e-05
  5.079176e-02    2.327335e-05
  5.109069e-02    2.293752e-05
  5.138962e-02    2.278113e-05
  5.168855e-02    2.275367e-05
  5.198748e-02    2.237341e-05
  5.228642e-02    2.179662e-05
  5.258535e-02    2.104357e-05
  5.288428e-02    2.084842e-05
  5.318321e-02    2.059168e-05
  5.348214e-02    2.001896e-05
  5.378107e-02    1.983224e-05
  5.408000e-02    1.945394e-05
  5.437893e-02    1.904506e-05
  5.467786e-02    1.880859e-05
  5.497679e-02    1.858368e-05
  5.527572e-02    1.835092e-05
  5.557465e-02    1.825091e-05
  5.587358e-02    1.772509e-05
  5.617251e-02    1.745849e-05
  5.647144e-02    1.712492e-05
  5.677037e-02    1.693577e-05
  5.706930e-02    1.662478e-05
  5.736823e-02    1.631805e-05
  5.766716e-02    1.597886e-05
  5.796609e-02    1.556515e-05
  5.826502e-02    1.549501e-05
  5.856395e-02    1.543198e-05
  5.886288e-02    1.524244e-05
  5.916181e-02    1.495934e-05
  5.946074e-02    1.472173e-05
  5.975967e-02    1.457780e-05
  6.005861e-02    1.436617e-05
  6.035754e-02    1.417395e-05
  6.065647e-02    1.401511e-05
  6.095540e-02    1.375867e-05
  6.125433e-02    1.359401e-05
  6.155326e-02    1.341905e-05
  6.185219e-02    1.310186e-05
  6.215112e-02    1.284172e-05
  6.245005e-02    1.275781e-05
  6.274898e-02    1.260308e-05
  6.304791e-02    1.243994e-05
  6.334684e-02    1.242718e-05
  6.364577e-02    1.221643e-05
  6.394470e-02    1.210681e-05
  6.424363e-02    1.208726e-05
  6.454256e-02    1.194588e-05
  6.484149e-02    1.178285e-05
  6.514042e-02    1.163942e-05
  6.543935e-02    1.148983e-05
  6.573828e-02    1.145098e-05
  6.603721e-02    1.136792e-05
  6.633614e-02    1.119552e-05
  6.663507e-02    1.095706e-05
  6.693400e-02    1.090015e-05
  6.723293e-02    1.081492e-05
  6.753186e-02    1.066052e-05
  6.783080e-02    1.060216e-05
  6.812973e-02    1.060544e-05
  6.842866e-02    1.062273e-05
  6.872759e-02    1.064236e-05
  6.902652e-02    1.043830e-05
  6.932545e-02    1.023864e-05
  6.962438e-02    1.016556e-05
  6.992331e-02    1.014740e-05
  7.022224e-02    1.009908e-05
  7.052117e-02    1.007699e-05
  7.082010e-02    9.837314e-06
  7.111903e-02    9.660499e-06
  7.141796e-02    9.761434e-06
  7.171689e-02    9.749242e-06
  7.201582e-02    9.635955e-06
  7.231475e-02    9.678883e-06
  7.261368e-02    9.742870e-06
  7.291261e-02    9.443922e-06
  7.321154e-02    9.340501e-06
  7.351047e-02    9.529922e-06
  7.380940e-02    9.330338e-06
  7.410833e-02    9.139389e-06
  7.440726e-02    9.317218e-06
  7.470619e-02    9.329477e-06
  7.500512e-02    9.262367e-06
  7.530405e-02    9.285922e-06
  7.560299e-02    9.138192e-06
  7.590192e-02    9.088811e-06
  7.620085e-02    9.107143e-06
  7.649978e-02    9.007007e-06
  7.679871e-02    8.872097e-06
  7.709764e-02    8.803344e-06
  7.739657e-02    8.884367e-06
  7.769550e-02    8.985174e-06
  7.799443e-02    8.816848e-06
  7.829336e-02    8.706161e-06
  7.859229e-02    8.667527e-06
  7.889122e-02    8.808684e-06
  7.919015e-02    8.763593e-06
  7.948908e-02    8.663915e-06
  7.978801e-02    8.643418e-06
  8.008694e-02    8.626226e-06
  8.038587e-02    8.744436e-06
  8.068480e-02    8.633720e-06
  8.098373e-02    8.608828e-06
  8.128266e-02    8.655992e-06
  8.158159e-02    8.589972e-06
  8.188052e-02    8.415782e-06
  8.217945e-02    8.467494e-06
  8.247838e-02    8.666027e-06
  8.277731e-02    8.630480e-06
  8.307624e-02    8.556000e-06
  8.337518e-02    8.542961e-06
  8.367411e-02    8.534188e-06
  8.397304e-02    8.634296e-06
  8.427197e-02    8.652873e-06
  8.457090e-02    8.559042e-06
