# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 832470.4
# --> AL_F127_220301_ab1af57e-0d05-41e4-94d1-75eaa1e98c9f_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.444332e-03
  4.756484e-03    1.931155e-03
  5.055415e-03    1.346949e-03
  5.354345e-03    8.768994e-04
  5.653276e-03    6.410133e-04
  5.952206e-03    9.604821e-04
  6.251136e-03    8.779237e-04
  6.550067e-03    7.691439e-04
  6.848997e-03    6.602533e-04
  7.147927e-03    5.629066e-04
  7.446858e-03    4.831119e-04
  7.745788e-03    4.171041e-04
  8.044719e-03    3.599495e-04
  8.343649e-03    3.116934e-04
  8.642579e-03    2.735196e-04
  8.941510e-03    2.434215e-04
  9.240440e-03    2.158052e-04
  9.539371e-03    1.925437e-04
  9.838301e-03    1.730583e-04
  1.013723e-02    1.571406e-04
  1.043616e-02    1.411778e-04
  1.073509e-02    1.286723e-04
  1.103402e-02    1.179553e-04
  1.133295e-02    1.074334e-04
  1.163188e-02    9.922675e-05
  1.193081e-02    9.090318e-05
  1.222974e-02    8.365940e-05
  1.252867e-02    7.955008e-05
  1.282760e-02    7.436296e-05
  1.312654e-02    6.903747e-05
  1.342547e-02    6.462523e-05
  1.372440e-02    6.135704e-05
  1.402333e-02    5.806524e-05
  1.432226e-02    5.522546e-05
  1.462119e-02    5.212105e-05
  1.492012e-02    4.896097e-05
  1.521905e-02    4.692113e-05
  1.551798e-02    4.564628e-05
  1.581691e-02    4.430777e-05
  1.611584e-02    4.305298e-05
  1.641477e-02    4.246523e-05
  1.671370e-02    4.142490e-05
  1.701263e-02    4.016513e-05
  1.731156e-02    3.908641e-05
  1.761049e-02    3.854777e-05
  1.790942e-02    3.813415e-05
  1.820835e-02    3.794289e-05
  1.850728e-02    3.826791e-05
  1.880621e-02    3.863784e-05
  1.910514e-02    3.866210e-05
  1.940407e-02    3.912280e-05
  1.970300e-02    3.917736e-05
  2.000193e-02    4.003679e-05
  2.030086e-02    4.131018e-05
  2.059979e-02    4.210251e-05
  2.089873e-02    4.276265e-05
  2.119766e-02    4.346799e-05
  2.149659e-02    4.499505e-05
  2.179552e-02    4.579770e-05
  2.209445e-02    4.681097e-05
  2.239338e-02    4.883663e-05
  2.269231e-02    4.995894e-05
  2.299124e-02    5.037673e-05
