# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 3748755.3999999994
# --> AL_F127_220301_ad3fba48-e661-4598-b1ce-8116f20c968e_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.009482e-03
  4.756484e-03    1.625919e-03
  5.055415e-03    1.200004e-03
  5.354345e-03    8.553375e-04
  5.653276e-03    6.651985e-04
  5.952206e-03    1.037019e-03
  6.251136e-03    9.360874e-04
  6.550067e-03    8.033743e-04
  6.848997e-03    6.764404e-04
  7.147927e-03    5.743047e-04
  7.446858e-03    4.931629e-04
  7.745788e-03    4.276521e-04
  8.044719e-03    3.741671e-04
  8.343649e-03    3.306109e-04
  8.642579e-03    2.920964e-04
  8.941510e-03    2.600253e-04
  9.240440e-03    2.335947e-04
  9.539371e-03    2.111081e-04
  9.838301e-03    1.912595e-04
  1.013723e-02    1.739278e-04
  1.043616e-02    1.593686e-04
  1.073509e-02    1.475430e-04
  1.103402e-02    1.371944e-04
  1.133295e-02    1.269217e-04
  1.163188e-02    1.186521e-04
  1.193081e-02    1.115842e-04
  1.222974e-02    1.058943e-04
  1.252867e-02    1.001063e-04
  1.282760e-02    9.513328e-05
  1.312654e-02    9.143927e-05
  1.342547e-02    8.765984e-05
  1.372440e-02    8.435322e-05
  1.402333e-02    8.164337e-05
  1.432226e-02    7.956007e-05
  1.462119e-02    7.752112e-05
  1.492012e-02    7.561759e-05
  1.521905e-02    7.426729e-05
  1.551798e-02    7.324651e-05
  1.581691e-02    7.262432e-05
  1.611584e-02    7.242009e-05
  1.641477e-02    7.207617e-05
  1.671370e-02    7.204763e-05
  1.701263e-02    7.247508e-05
  1.731156e-02    7.323035e-05
  1.761049e-02    7.398609e-05
  1.790942e-02    7.507900e-05
  1.820835e-02    7.606122e-05
  1.850728e-02    7.761255e-05
  1.880621e-02    7.935925e-05
  1.910514e-02    8.107425e-05
  1.940407e-02    8.330845e-05
  1.970300e-02    8.574681e-05
  2.000193e-02    8.845627e-05
  2.030086e-02    9.119353e-05
  2.059979e-02    9.418220e-05
  2.089873e-02    9.694096e-05
  2.119766e-02    9.997050e-05
  2.149659e-02    1.034169e-04
  2.179552e-02    1.061890e-04
  2.209445e-02    1.088256e-04
  2.239338e-02    1.123305e-04
  2.269231e-02    1.155640e-04
  2.299124e-02    1.183748e-04
  2.329017e-02    1.205573e-04
  2.358910e-02    1.233143e-04
  2.388803e-02    1.250737e-04
  2.418696e-02    1.268216e-04
  2.448589e-02    1.279906e-04
  2.478482e-02    1.288542e-04
  2.508375e-02    1.284486e-04
  2.538268e-02    1.277948e-04
  2.568161e-02    1.271441e-04
  2.598054e-02    1.254101e-04
  2.627947e-02    1.234505e-04
  2.657840e-02    1.210900e-04
  2.687733e-02    1.182742e-04
  2.717626e-02    1.152080e-04
  2.747519e-02    1.117677e-04
  2.777412e-02    1.083973e-04
  2.807305e-02    1.048612e-04
  2.837198e-02    1.015790e-04
  2.867092e-02    9.830865e-05
  2.896985e-02    9.466543e-05
  2.926878e-02    9.150356e-05
  2.956771e-02    8.861323e-05
  2.986664e-02    8.576609e-05
  3.016557e-02    8.317122e-05
  3.046450e-02    8.054154e-05
  3.076343e-02    7.804553e-05
  3.106236e-02    7.595125e-05
  3.136129e-02    7.365387e-05
  3.166022e-02    7.181780e-05
  3.195915e-02    7.011319e-05
  3.225808e-02    6.832014e-05
  3.255701e-02    6.681911e-05
  3.285594e-02    6.502859e-05
  3.315487e-02    6.365177e-05
