# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 16838628.8
# --> AL_F127_220301_b425f2ad-de44-4ff9-850b-951a81a4e330_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    5.475549e-04
  4.756484e-03    4.297751e-04
  5.055415e-03    3.118288e-04
  5.354345e-03    2.240005e-04
  5.653276e-03    1.748552e-04
  5.952206e-03    2.730372e-04
  6.251136e-03    2.458254e-04
  6.550067e-03    2.101561e-04
  6.848997e-03    1.769388e-04
  7.147927e-03    1.498364e-04
  7.446858e-03    1.283467e-04
  7.745788e-03    1.108314e-04
  8.044719e-03    9.625438e-05
  8.343649e-03    8.451844e-05
  8.642579e-03    7.438964e-05
  8.941510e-03    6.585515e-05
  9.240440e-03    5.885675e-05
  9.539371e-03    5.269880e-05
  9.838301e-03    4.734163e-05
  1.013723e-02    4.290382e-05
  1.043616e-02    3.883537e-05
  1.073509e-02    3.525438e-05
  1.103402e-02    3.257129e-05
  1.133295e-02    2.986960e-05
  1.163188e-02    2.742890e-05
  1.193081e-02    2.539755e-05
  1.222974e-02    2.353869e-05
  1.252867e-02    2.190207e-05
  1.282760e-02    2.054014e-05
  1.312654e-02    1.935860e-05
  1.342547e-02    1.820663e-05
  1.372440e-02    1.716277e-05
  1.402333e-02    1.630127e-05
  1.432226e-02    1.562417e-05
  1.462119e-02    1.482937e-05
  1.492012e-02    1.415351e-05
  1.521905e-02    1.360750e-05
  1.551798e-02    1.312930e-05
  1.581691e-02    1.272573e-05
  1.611584e-02    1.233588e-05
  1.641477e-02    1.204824e-05
  1.671370e-02    1.176188e-05
  1.701263e-02    1.162085e-05
  1.731156e-02    1.148685e-05
  1.761049e-02    1.133746e-05
  1.790942e-02    1.116957e-05
  1.820835e-02    1.112171e-05
  1.850728e-02    1.111290e-05
  1.880621e-02    1.116883e-05
  1.910514e-02    1.129880e-05
  1.940407e-02    1.135794e-05
  1.970300e-02    1.142606e-05
  2.000193e-02    1.155854e-05
  2.030086e-02    1.176758e-05
  2.059979e-02    1.202903e-05
  2.089873e-02    1.225759e-05
  2.119766e-02    1.255414e-05
  2.149659e-02    1.278187e-05
  2.179552e-02    1.304102e-05
  2.209445e-02    1.330377e-05
  2.239338e-02    1.362086e-05
  2.269231e-02    1.393066e-05
  2.299124e-02    1.422441e-05
  2.329017e-02    1.450307e-05
  2.358910e-02    1.475027e-05
  2.388803e-02    1.498760e-05
  2.418696e-02    1.518276e-05
  2.448589e-02    1.533249e-05
  2.478482e-02    1.550155e-05
  2.508375e-02    1.564826e-05
  2.538268e-02    1.576605e-05
  2.568161e-02    1.573996e-05
  2.598054e-02    1.573141e-05
  2.627947e-02    1.568138e-05
  2.657840e-02    1.557784e-05
  2.687733e-02    1.547256e-05
  2.717626e-02    1.527667e-05
  2.747519e-02    1.496118e-05
  2.777412e-02    1.476137e-05
  2.807305e-02    1.459464e-05
  2.837198e-02    1.426683e-05
  2.867092e-02    1.396234e-05
  2.896985e-02    1.365552e-05
  2.926878e-02    1.334582e-05
  2.956771e-02    1.310929e-05
  2.986664e-02    1.284386e-05
  3.016557e-02    1.259518e-05
