# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 4610424.2
# --> AL_F127_220301_bdbaeaef-2f82-44ec-b99b-efe1136d292b_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.547729e-03
  4.756484e-03    1.223343e-03
  5.055415e-03    8.789464e-04
  5.354345e-03    6.177520e-04
  5.653276e-03    4.823140e-04
  5.952206e-03    7.635474e-04
  6.251136e-03    6.941531e-04
  6.550067e-03    5.995975e-04
  6.848997e-03    5.052359e-04
  7.147927e-03    4.267012e-04
  7.446858e-03    3.654792e-04
  7.745788e-03    3.153041e-04
  8.044719e-03    2.742203e-04
  8.343649e-03    2.410635e-04
  8.642579e-03    2.116608e-04
  8.941510e-03    1.868937e-04
  9.240440e-03    1.671560e-04
  9.539371e-03    1.497042e-04
  9.838301e-03    1.341230e-04
  1.013723e-02    1.220986e-04
  1.043616e-02    1.114397e-04
  1.073509e-02    1.017581e-04
  1.103402e-02    9.314489e-05
  1.133295e-02    8.576725e-05
  1.163188e-02    7.944679e-05
  1.193081e-02    7.349974e-05
  1.222974e-02    6.879186e-05
  1.252867e-02    6.436618e-05
  1.282760e-02    6.015672e-05
  1.312654e-02    5.659435e-05
  1.342547e-02    5.399815e-05
  1.372440e-02    5.119147e-05
  1.402333e-02    4.903396e-05
  1.432226e-02    4.716060e-05
  1.462119e-02    4.520603e-05
  1.492012e-02    4.395132e-05
  1.521905e-02    4.266688e-05
  1.551798e-02    4.133071e-05
  1.581691e-02    4.047380e-05
  1.611584e-02    3.985632e-05
  1.641477e-02    3.931941e-05
  1.671370e-02    3.889997e-05
  1.701263e-02    3.881767e-05
  1.731156e-02    3.879103e-05
  1.761049e-02    3.884931e-05
  1.790942e-02    3.903625e-05
