# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 859330.4000000003
# --> AL_F127_220301_c5fcf3f6-29e8-40b5-9ec7-6529272ceb82_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.406692e-03
  4.756484e-03    1.905697e-03
  5.055415e-03    1.357442e-03
  5.354345e-03    9.223982e-04
  5.653276e-03    6.826186e-04
  5.952206e-03    1.000905e-03
  6.251136e-03    9.208163e-04
  6.550067e-03    8.134322e-04
  6.848997e-03    6.952361e-04
  7.147927e-03    5.971440e-04
  7.446858e-03    5.236308e-04
  7.745788e-03    4.597184e-04
  8.044719e-03    4.071001e-04
  8.343649e-03    3.642093e-04
  8.642579e-03    3.258536e-04
  8.941510e-03    2.947246e-04
  9.240440e-03    2.710655e-04
  9.539371e-03    2.520156e-04
  9.838301e-03    2.354652e-04
  1.013723e-02    2.179496e-04
  1.043616e-02    2.043689e-04
  1.073509e-02    1.929382e-04
  1.103402e-02    1.855765e-04
  1.133295e-02    1.793662e-04
  1.163188e-02    1.717222e-04
  1.193081e-02    1.654365e-04
  1.222974e-02    1.624719e-04
  1.252867e-02    1.585858e-04
  1.282760e-02    1.561801e-04
  1.312654e-02    1.543994e-04
  1.342547e-02    1.525496e-04
  1.372440e-02    1.517232e-04
  1.402333e-02    1.501177e-04
  1.432226e-02    1.497741e-04
  1.462119e-02    1.492473e-04
  1.492012e-02    1.499438e-04
  1.521905e-02    1.506846e-04
  1.551798e-02    1.524571e-04
  1.581691e-02    1.548348e-04
  1.611584e-02    1.567243e-04
