# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1747021.8000000005
# --> AL_F127_220301_c7cebd52-aecd-4793-97d8-f56d634c8c11_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.305067e-03
  4.756484e-03    1.780082e-03
  5.055415e-03    1.231959e-03
  5.354345e-03    8.184299e-04
  5.653276e-03    6.025258e-04
  5.952206e-03    8.961497e-04
  6.251136e-03    8.118318e-04
  6.550067e-03    7.051551e-04
  6.848997e-03    6.019761e-04
  7.147927e-03    5.131165e-04
  7.446858e-03    4.420349e-04
  7.745788e-03    3.826759e-04
  8.044719e-03    3.303302e-04
  8.343649e-03    2.895445e-04
  8.642579e-03    2.526987e-04
  8.941510e-03    2.239246e-04
  9.240440e-03    2.010651e-04
  9.539371e-03    1.794064e-04
  9.838301e-03    1.601108e-04
  1.013723e-02    1.456791e-04
  1.043616e-02    1.318902e-04
  1.073509e-02    1.196677e-04
  1.103402e-02    1.105314e-04
  1.133295e-02    1.015540e-04
  1.163188e-02    9.440619e-05
  1.193081e-02    8.791295e-05
  1.222974e-02    8.141637e-05
  1.252867e-02    7.541368e-05
  1.282760e-02    7.137955e-05
  1.312654e-02    6.730021e-05
  1.342547e-02    6.367120e-05
  1.372440e-02    5.964080e-05
  1.402333e-02    5.671798e-05
  1.432226e-02    5.395283e-05
  1.462119e-02    5.200113e-05
  1.492012e-02    5.056794e-05
  1.521905e-02    4.891337e-05
  1.551798e-02    4.737355e-05
  1.581691e-02    4.585722e-05
  1.611584e-02    4.527696e-05
  1.641477e-02    4.446099e-05
  1.671370e-02    4.363202e-05
  1.701263e-02    4.343473e-05
  1.731156e-02    4.305643e-05
  1.761049e-02    4.323108e-05
  1.790942e-02    4.340398e-05
  1.820835e-02    4.347510e-05
  1.850728e-02    4.351899e-05
  1.880621e-02    4.400482e-05
  1.910514e-02    4.475235e-05
  1.940407e-02    4.535774e-05
  1.970300e-02    4.667322e-05
  2.000193e-02    4.787541e-05
  2.030086e-02    4.845179e-05
  2.059979e-02    4.958722e-05
  2.089873e-02    5.124477e-05
  2.119766e-02    5.252211e-05
  2.149659e-02    5.415596e-05
  2.179552e-02    5.586742e-05
  2.209445e-02    5.773153e-05
  2.239338e-02    5.940904e-05
  2.269231e-02    6.106339e-05
  2.299124e-02    6.273715e-05
  2.329017e-02    6.367204e-05
  2.358910e-02    6.464220e-05
  2.388803e-02    6.564349e-05
  2.418696e-02    6.650844e-05
  2.448589e-02    6.759090e-05
  2.478482e-02    6.781635e-05
  2.508375e-02    6.767530e-05
  2.538268e-02    6.779791e-05
  2.568161e-02    6.754802e-05
  2.598054e-02    6.705917e-05
  2.627947e-02    6.584519e-05
  2.657840e-02    6.474347e-05
  2.687733e-02    6.382402e-05
  2.717626e-02    6.244367e-05
  2.747519e-02    6.113798e-05
  2.777412e-02    5.985142e-05
  2.807305e-02    5.845127e-05
  2.837198e-02    5.676023e-05
  2.867092e-02    5.523697e-05
  2.896985e-02    5.395320e-05
  2.926878e-02    5.258687e-05
  2.956771e-02    5.129964e-05
  2.986664e-02    5.002096e-05
  3.016557e-02    4.889105e-05
  3.046450e-02    4.775593e-05
  3.076343e-02    4.676576e-05
  3.106236e-02    4.593396e-05
  3.136129e-02    4.506445e-05
  3.166022e-02    4.407457e-05
  3.195915e-02    4.316577e-05
  3.225808e-02    4.270617e-05
  3.255701e-02    4.221183e-05
  3.285594e-02    4.164850e-05
  3.315487e-02    4.074363e-05
  3.345380e-02    4.035887e-05
  3.375273e-02    4.009657e-05
  3.405166e-02    3.937701e-05
  3.435059e-02    3.891490e-05
  3.464952e-02    3.849163e-05
  3.494845e-02    3.819419e-05
  3.524738e-02    3.789785e-05
  3.554631e-02    3.744817e-05
  3.584524e-02    3.713442e-05
  3.614417e-02    3.699444e-05
  3.644310e-02    3.681081e-05
  3.674204e-02    3.664215e-05
  3.704097e-02    3.658679e-05
  3.733990e-02    3.640326e-05
  3.763883e-02    3.652937e-05
  3.793776e-02    3.632234e-05
  3.823669e-02    3.619300e-05
  3.853562e-02    3.608265e-05
  3.883455e-02    3.578728e-05
  3.913348e-02    3.583046e-05
  3.943241e-02    3.578418e-05
  3.973134e-02    3.563549e-05
  4.003027e-02    3.553823e-05
  4.032920e-02    3.548227e-05
