# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 4895535.200000001
# --> AL_F127_220301_cdea2e26-27ab-498f-9a22-1e39237dbb1a_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    8.637778e-03
  4.756484e-03    6.844787e-03
  5.055415e-03    4.979107e-03
  5.354345e-03    3.577308e-03
  5.653276e-03    2.807845e-03
  5.952206e-03    4.558880e-03
  6.251136e-03    4.141512e-03
  6.550067e-03    3.573681e-03
  6.848997e-03    3.020906e-03
  7.147927e-03    2.555888e-03
  7.446858e-03    2.186400e-03
  7.745788e-03    1.875955e-03
  8.044719e-03    1.615890e-03
  8.343649e-03    1.410097e-03
  8.642579e-03    1.234899e-03
  8.941510e-03    1.088486e-03
  9.240440e-03    9.649856e-04
  9.539371e-03    8.578293e-04
  9.838301e-03    7.640339e-04
  1.013723e-02    6.852637e-04
  1.043616e-02    6.174234e-04
  1.073509e-02    5.545405e-04
  1.103402e-02    5.020397e-04
  1.133295e-02    4.556545e-04
  1.163188e-02    4.150894e-04
  1.193081e-02    3.790385e-04
  1.222974e-02    3.470762e-04
  1.252867e-02    3.187232e-04
  1.282760e-02    2.938616e-04
  1.312654e-02    2.712132e-04
  1.342547e-02    2.502085e-04
  1.372440e-02    2.324699e-04
  1.402333e-02    2.160786e-04
  1.432226e-02    2.000073e-04
  1.462119e-02    1.866527e-04
  1.492012e-02    1.752288e-04
  1.521905e-02    1.638835e-04
  1.551798e-02    1.536638e-04
  1.581691e-02    1.445282e-04
  1.611584e-02    1.358248e-04
  1.641477e-02    1.278025e-04
  1.671370e-02    1.213557e-04
  1.701263e-02    1.150579e-04
  1.731156e-02    1.087306e-04
  1.761049e-02    1.029791e-04
  1.790942e-02    9.806518e-05
  1.820835e-02    9.365709e-05
  1.850728e-02    8.932645e-05
  1.880621e-02    8.525536e-05
  1.910514e-02    8.168478e-05
  1.940407e-02    7.824334e-05
  1.970300e-02    7.519579e-05
  2.000193e-02    7.258113e-05
  2.030086e-02    6.982001e-05
  2.059979e-02    6.717366e-05
  2.089873e-02    6.458141e-05
  2.119766e-02    6.255194e-05
  2.149659e-02    6.083633e-05
  2.179552e-02    5.874634e-05
  2.209445e-02    5.688224e-05
  2.239338e-02    5.515719e-05
  2.269231e-02    5.368823e-05
  2.299124e-02    5.209646e-05
  2.329017e-02    5.087352e-05
  2.358910e-02    4.980624e-05
  2.388803e-02    4.832234e-05
  2.418696e-02    4.707831e-05
  2.448589e-02    4.605432e-05
  2.478482e-02    4.487229e-05
  2.508375e-02    4.380391e-05
  2.538268e-02    4.301878e-05
  2.568161e-02    4.230429e-05
  2.598054e-02    4.163835e-05
  2.627947e-02    4.078503e-05
  2.657840e-02    3.987849e-05
  2.687733e-02    3.940214e-05
  2.717626e-02    3.895560e-05
  2.747519e-02    3.835210e-05
  2.777412e-02    3.772273e-05
  2.807305e-02    3.696217e-05
  2.837198e-02    3.648990e-05
  2.867092e-02    3.589254e-05
  2.896985e-02    3.541158e-05
  2.926878e-02    3.505830e-05
  2.956771e-02    3.460895e-05
  2.986664e-02    3.437556e-05
  3.016557e-02    3.385944e-05
  3.046450e-02    3.343046e-05
  3.076343e-02    3.320365e-05
  3.106236e-02    3.287588e-05
  3.136129e-02    3.264671e-05
  3.166022e-02    3.232310e-05
  3.195915e-02    3.203422e-05
  3.225808e-02    3.154531e-05
  3.255701e-02    3.132827e-05
  3.285594e-02    3.112343e-05
  3.315487e-02    3.075934e-05
  3.345380e-02    3.040590e-05
  3.375273e-02    3.004389e-05
  3.405166e-02    2.985636e-05
  3.435059e-02    2.962717e-05
  3.464952e-02    2.936830e-05
  3.494845e-02    2.909302e-05
  3.524738e-02    2.888962e-05
  3.554631e-02    2.872873e-05
  3.584524e-02    2.840444e-05
  3.614417e-02    2.808511e-05
  3.644310e-02    2.796585e-05
  3.674204e-02    2.779299e-05
  3.704097e-02    2.751756e-05
  3.733990e-02    2.735237e-05
  3.763883e-02    2.710794e-05
  3.793776e-02    2.700698e-05
  3.823669e-02    2.689038e-05
  3.853562e-02    2.666685e-05
  3.883455e-02    2.648788e-05
