# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 16787342.0
# --> AL_F127_220301_d0f94195-e515-458f-9331-24fc5d45bd1c_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    4.217775e-04
  4.756484e-03    3.339308e-04
  5.055415e-03    2.390778e-04
  5.354345e-03    1.654327e-04
  5.653276e-03    1.267187e-04
  5.952206e-03    1.964517e-04
  6.251136e-03    1.776831e-04
  6.550067e-03    1.529796e-04
  6.848997e-03    1.300583e-04
  7.147927e-03    1.100339e-04
  7.446858e-03    9.405591e-05
  7.745788e-03    8.104341e-05
  8.044719e-03    7.060932e-05
  8.343649e-03    6.238347e-05
  8.642579e-03    5.491623e-05
  8.941510e-03    4.907447e-05
  9.240440e-03    4.395685e-05
  9.539371e-03    3.943772e-05
  9.838301e-03    3.561619e-05
  1.013723e-02    3.240521e-05
  1.043616e-02    2.978200e-05
  1.073509e-02    2.727048e-05
  1.103402e-02    2.518152e-05
  1.133295e-02    2.327359e-05
  1.163188e-02    2.172128e-05
  1.193081e-02    2.044064e-05
  1.222974e-02    1.910500e-05
  1.252867e-02    1.809882e-05
  1.282760e-02    1.720616e-05
  1.312654e-02    1.636176e-05
  1.342547e-02    1.564796e-05
  1.372440e-02    1.499530e-05
  1.402333e-02    1.447737e-05
  1.432226e-02    1.395969e-05
  1.462119e-02    1.351995e-05
  1.492012e-02    1.320546e-05
  1.521905e-02    1.297828e-05
  1.551798e-02    1.269853e-05
  1.581691e-02    1.252159e-05
  1.611584e-02    1.239770e-05
  1.641477e-02    1.232047e-05
  1.671370e-02    1.236095e-05
  1.701263e-02    1.233046e-05
  1.731156e-02    1.229269e-05
  1.761049e-02    1.244525e-05
  1.790942e-02    1.257532e-05
  1.820835e-02    1.267715e-05
  1.850728e-02    1.282625e-05
  1.880621e-02    1.304480e-05
  1.910514e-02    1.325422e-05
  1.940407e-02    1.348453e-05
  1.970300e-02    1.379310e-05
  2.000193e-02    1.414185e-05
  2.030086e-02    1.448823e-05
  2.059979e-02    1.477084e-05
  2.089873e-02    1.505992e-05
  2.119766e-02    1.536595e-05
  2.149659e-02    1.568820e-05
  2.179552e-02    1.589931e-05
  2.209445e-02    1.621112e-05
  2.239338e-02    1.652953e-05
  2.269231e-02    1.663296e-05
  2.299124e-02    1.681952e-05
  2.329017e-02    1.690238e-05
  2.358910e-02    1.692298e-05
  2.388803e-02    1.697791e-05
  2.418696e-02    1.699080e-05
  2.448589e-02    1.689510e-05
  2.478482e-02    1.676165e-05
  2.508375e-02    1.659978e-05
  2.538268e-02    1.638900e-05
  2.568161e-02    1.619871e-05
  2.598054e-02    1.589055e-05
  2.627947e-02    1.560933e-05
  2.657840e-02    1.535468e-05
  2.687733e-02    1.502791e-05
  2.717626e-02    1.461444e-05
  2.747519e-02    1.421614e-05
  2.777412e-02    1.391495e-05
  2.807305e-02    1.357452e-05
  2.837198e-02    1.320622e-05
  2.867092e-02    1.288573e-05
  2.896985e-02    1.257232e-05
  2.926878e-02    1.224130e-05
  2.956771e-02    1.195866e-05
  2.986664e-02    1.171924e-05
  3.016557e-02    1.149790e-05
  3.046450e-02    1.123261e-05
  3.076343e-02    1.100153e-05
  3.106236e-02    1.077780e-05
  3.136129e-02    1.055159e-05
  3.166022e-02    1.033314e-05
  3.195915e-02    1.016050e-05
  3.225808e-02    9.962180e-06
  3.255701e-02    9.724321e-06
  3.285594e-02    9.611751e-06
  3.315487e-02    9.473067e-06
  3.345380e-02    9.310971e-06
  3.375273e-02    9.195989e-06
  3.405166e-02    9.060335e-06
  3.435059e-02    8.904963e-06
  3.464952e-02    8.781379e-06
  3.494845e-02    8.685550e-06
  3.524738e-02    8.598822e-06
  3.554631e-02    8.524760e-06
  3.584524e-02    8.388532e-06
  3.614417e-02    8.300433e-06
  3.644310e-02    8.276145e-06
  3.674204e-02    8.207414e-06
  3.704097e-02    8.101538e-06
  3.733990e-02    8.051507e-06
  3.763883e-02    7.995716e-06
  3.793776e-02    7.920007e-06
  3.823669e-02    7.844830e-06
  3.853562e-02    7.819417e-06
  3.883455e-02    7.780344e-06
  3.913348e-02    7.722285e-06
  3.943241e-02    7.674927e-06
  3.973134e-02    7.595038e-06
  4.003027e-02    7.543115e-06
  4.032920e-02    7.498715e-06
  4.062813e-02    7.483111e-06
  4.092706e-02    7.446016e-06
  4.122599e-02    7.387404e-06
  4.152492e-02    7.322612e-06
  4.182385e-02    7.328746e-06
  4.212278e-02    7.310267e-06
  4.242171e-02    7.205411e-06
  4.272064e-02    7.102324e-06
  4.301957e-02    7.080023e-06
  4.331850e-02    7.041408e-06
  4.361743e-02    6.961819e-06
  4.391636e-02    6.935120e-06
  4.421529e-02    6.878015e-06
  4.451423e-02    6.779861e-06
  4.481316e-02    6.740763e-06
  4.511209e-02    6.688615e-06
  4.541102e-02    6.628844e-06
  4.570995e-02    6.551400e-06
  4.600888e-02    6.469108e-06
  4.630781e-02    6.391461e-06
  4.660674e-02    6.327502e-06
  4.690567e-02    6.274372e-06
  4.720460e-02    6.187297e-06
  4.750353e-02    6.104977e-06
  4.780246e-02    6.044189e-06
  4.810139e-02    5.959709e-06
  4.840032e-02    5.857066e-06
  4.869925e-02    5.737395e-06
  4.899818e-02    5.658801e-06
  4.929711e-02    5.621445e-06
  4.959604e-02    5.543188e-06
  4.989497e-02    5.435060e-06
  5.019390e-02    5.337462e-06
  5.049283e-02    5.264203e-06
  5.079176e-02    5.213317e-06
  5.109069e-02    5.132999e-06
  5.138962e-02    5.046962e-06
  5.168855e-02    4.962787e-06
  5.198748e-02    4.874301e-06
  5.228642e-02    4.791912e-06
  5.258535e-02    4.689824e-06
  5.288428e-02    4.596877e-06
  5.318321e-02    4.534629e-06
  5.348214e-02    4.449823e-06
  5.378107e-02    4.382955e-06
  5.408000e-02    4.315241e-06
  5.437893e-02    4.233936e-06
  5.467786e-02    4.149715e-06
  5.497679e-02    4.091602e-06
  5.527572e-02    4.044525e-06
  5.557465e-02    3.959395e-06
  5.587358e-02    3.884283e-06
  5.617251e-02    3.841957e-06
  5.647144e-02    3.777159e-06
  5.677037e-02    3.724968e-06
  5.706930e-02    3.665149e-06
  5.736823e-02    3.607882e-06
  5.766716e-02    3.562632e-06
  5.796609e-02    3.509890e-06
  5.826502e-02    3.441776e-06
  5.856395e-02    3.414229e-06
  5.886288e-02    3.359381e-06
  5.916181e-02    3.290536e-06
  5.946074e-02    3.254331e-06
  5.975967e-02    3.214088e-06
  6.005861e-02    3.177955e-06
  6.035754e-02    3.146981e-06
  6.065647e-02    3.108462e-06
  6.095540e-02    3.069774e-06
  6.125433e-02    3.025626e-06
  6.155326e-02    3.001137e-06
  6.185219e-02    2.951705e-06
  6.215112e-02    2.907855e-06
  6.245005e-02    2.882166e-06
  6.274898e-02    2.844578e-06
  6.304791e-02    2.807613e-06
  6.334684e-02    2.777763e-06
  6.364577e-02    2.744900e-06
  6.394470e-02    2.718577e-06
  6.424363e-02    2.691536e-06
  6.454256e-02    2.649820e-06
  6.484149e-02    2.621440e-06
  6.514042e-02    2.585039e-06
  6.543935e-02    2.556409e-06
  6.573828e-02    2.541962e-06
  6.603721e-02    2.506331e-06
  6.633614e-02    2.492158e-06
  6.663507e-02    2.479325e-06
  6.693400e-02    2.451828e-06
  6.723293e-02    2.444874e-06
  6.753186e-02    2.417981e-06
  6.783080e-02    2.402022e-06
  6.812973e-02    2.373046e-06
  6.842866e-02    2.342895e-06
  6.872759e-02    2.320462e-06
  6.902652e-02    2.320261e-06
  6.932545e-02    2.311108e-06
  6.962438e-02    2.304130e-06
  6.992331e-02    2.290298e-06
  7.022224e-02    2.265653e-06
  7.052117e-02    2.249333e-06
  7.082010e-02    2.221080e-06
  7.111903e-02    2.199016e-06
  7.141796e-02    2.186318e-06
  7.171689e-02    2.175093e-06
  7.201582e-02    2.176623e-06
  7.231475e-02    2.169318e-06
  7.261368e-02    2.144182e-06
  7.291261e-02    2.128627e-06
  7.321154e-02    2.111990e-06
  7.351047e-02    2.094339e-06
  7.380940e-02    2.097569e-06
  7.410833e-02    2.099649e-06
  7.440726e-02    2.085029e-06
  7.470619e-02    2.073972e-06
  7.500512e-02    2.061031e-06
  7.530405e-02    2.054255e-06
  7.560299e-02    2.051039e-06
  7.590192e-02    2.040383e-06
  7.620085e-02    2.020848e-06
  7.649978e-02    2.009931e-06
  7.679871e-02    2.012958e-06
  7.709764e-02    2.024812e-06
  7.739657e-02    2.005857e-06
  7.769550e-02    2.006777e-06
  7.799443e-02    1.999599e-06
  7.829336e-02    1.997261e-06
  7.859229e-02    1.994911e-06
  7.889122e-02    1.965740e-06
  7.919015e-02    1.963690e-06
  7.948908e-02    1.958382e-06
  7.978801e-02    1.957458e-06
  8.008694e-02    1.963683e-06
  8.038587e-02    1.956282e-06
  8.068480e-02    1.960174e-06
  8.098373e-02    1.943787e-06
  8.128266e-02    1.926875e-06
  8.158159e-02    1.942251e-06
  8.188052e-02    1.941075e-06
  8.217945e-02    1.919654e-06
  8.247838e-02    1.917779e-06
  8.277731e-02    1.923653e-06
  8.307624e-02    1.909385e-06
  8.337518e-02    1.918055e-06
  8.367411e-02    1.918942e-06
  8.397304e-02    1.920097e-06
  8.427197e-02    1.916088e-06
  8.457090e-02    1.907376e-06
  8.486983e-02    1.898778e-06
  8.516876e-02    1.896766e-06
  8.546769e-02    1.900548e-06
  8.576662e-02    1.896404e-06
  8.606555e-02    1.899625e-06
  8.636448e-02    1.898296e-06
  8.666341e-02    1.894328e-06
  8.696234e-02    1.901108e-06
  8.726127e-02    1.904743e-06
  8.756020e-02    1.904022e-06
  8.785913e-02    1.905299e-06
  8.815806e-02    1.889998e-06
  8.845699e-02    1.891023e-06
  8.875592e-02    1.892936e-06
  8.905485e-02    1.887076e-06
  8.935378e-02    1.883947e-06
  8.965271e-02    1.884499e-06
  8.995164e-02    1.877617e-06
  9.025057e-02    1.890256e-06
  9.054950e-02    1.881423e-06
  9.084843e-02    1.884762e-06
  9.114737e-02    1.887065e-06
  9.144630e-02    1.882460e-06
  9.174523e-02    1.881459e-06
  9.204416e-02    1.884016e-06
  9.234309e-02    1.875035e-06
  9.264202e-02    1.880423e-06
  9.294095e-02    1.875479e-06
  9.323988e-02    1.878702e-06
  9.353881e-02    1.879461e-06
  9.383774e-02    1.881612e-06
  9.413667e-02    1.886655e-06
  9.443560e-02    1.879096e-06
  9.473453e-02    1.872260e-06
  9.503346e-02    1.872151e-06
  9.533239e-02    1.881527e-06
  9.563132e-02    1.879340e-06
  9.593025e-02    1.884403e-06
  9.622918e-02    1.868364e-06
  9.652811e-02    1.869157e-06
  9.682704e-02    1.884401e-06
  9.712597e-02    1.880208e-06
  9.742490e-02    1.866797e-06
  9.772383e-02    1.867802e-06
  9.802276e-02    1.873339e-06
  9.832169e-02    1.871054e-06
  9.862062e-02    1.866737e-06
  9.891956e-02    1.876925e-06
  9.921849e-02    1.885844e-06
  9.951742e-02    1.877737e-06
  9.981635e-02    1.880875e-06
  1.001153e-01    1.876575e-06
  1.004142e-01    1.867479e-06
  1.007131e-01    1.862228e-06
  1.010121e-01    1.862076e-06
  1.013110e-01    1.869017e-06
  1.016099e-01    1.863201e-06
  1.019089e-01    1.862897e-06
  1.022078e-01    1.866006e-06
  1.025067e-01    1.853272e-06
  1.028057e-01    1.848527e-06
  1.031046e-01    1.856726e-06
  1.034035e-01    1.850578e-06
  1.037024e-01    1.849146e-06
  1.040014e-01    1.852581e-06
  1.043003e-01    1.857288e-06
  1.045992e-01    1.855592e-06
  1.048982e-01    1.852437e-06
  1.051971e-01    1.853816e-06
  1.054960e-01    1.846687e-06
  1.057950e-01    1.837762e-06
  1.060939e-01    1.834626e-06
  1.063928e-01    1.854438e-06
  1.066917e-01    1.852915e-06
  1.069907e-01    1.839620e-06
  1.072896e-01    1.844002e-06
  1.075885e-01    1.848270e-06
  1.078875e-01    1.859803e-06
  1.081864e-01    1.858253e-06
  1.084853e-01    1.851724e-06
  1.087843e-01    1.852413e-06
  1.090832e-01    1.839281e-06
  1.093821e-01    1.841803e-06
  1.096810e-01    1.842484e-06
  1.099800e-01    1.837454e-06
  1.102789e-01    1.836398e-06
  1.105778e-01    1.833222e-06
  1.108768e-01    1.825794e-06
  1.111757e-01    1.826085e-06
  1.114746e-01    1.814462e-06
  1.117736e-01    1.809294e-06
  1.120725e-01    1.810898e-06
  1.123714e-01    1.804325e-06
  1.126704e-01    1.794176e-06
  1.129693e-01    1.766857e-06
  1.132682e-01    1.732450e-06
  1.135671e-01    1.696168e-06
  1.138661e-01    1.668570e-06
  1.141650e-01    1.654083e-06
  1.144639e-01    1.655191e-06
  1.147629e-01    1.621243e-06
  1.150618e-01    1.629761e-06
  1.153607e-01    1.649615e-06
  1.156597e-01    1.603117e-06
  1.159586e-01    1.578696e-06
  1.162575e-01    1.573519e-06
  1.165564e-01    1.578032e-06
  1.168554e-01    1.601884e-06
  1.171543e-01    1.583799e-06
  1.174532e-01    1.588353e-06
  1.177522e-01    1.617618e-06
  1.180511e-01    1.606178e-06
  1.183500e-01    1.588484e-06
  1.186490e-01    1.567383e-06
  1.189479e-01    1.563784e-06
  1.192468e-01    1.573273e-06
  1.195458e-01    1.594353e-06
  1.198447e-01    1.578718e-06
  1.201436e-01    1.510856e-06
  1.204425e-01    1.512532e-06
  1.207415e-01    1.697771e-06
  1.210404e-01    1.848302e-06
  1.213393e-01    0.000000e+00
  1.216383e-01    0.000000e+00
  1.219372e-01    0.000000e+00
  1.222361e-01    0.000000e+00
  1.225351e-01    0.000000e+00
  1.228340e-01    0.000000e+00
  1.231329e-01    0.000000e+00
  1.234318e-01    0.000000e+00
  1.237308e-01    0.000000e+00
  1.240297e-01    0.000000e+00
  1.243286e-01    0.000000e+00
  1.246276e-01    0.000000e+00
  1.249265e-01    0.000000e+00
  1.252254e-01    0.000000e+00
  1.255244e-01    0.000000e+00
  1.258233e-01    0.000000e+00
  1.261222e-01    0.000000e+00
  1.264212e-01    0.000000e+00
  1.267201e-01    0.000000e+00
  1.270190e-01    0.000000e+00
  1.273179e-01    0.000000e+00
  1.276169e-01    0.000000e+00
  1.279158e-01    0.000000e+00
  1.282147e-01    0.000000e+00
  1.285137e-01    0.000000e+00
  1.288126e-01    0.000000e+00
  1.291115e-01    0.000000e+00
