# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 3296354.0
# --> AL_F127_220301_d49c2890-4af5-493b-9a5b-bfbf7899fbea_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.115926e-03
  4.756484e-03    1.671877e-03
  5.055415e-03    1.222641e-03
  5.354345e-03    8.745112e-04
  5.653276e-03    6.825650e-04
  5.952206e-03    1.091360e-03
  6.251136e-03    1.016028e-03
  6.550067e-03    8.858550e-04
  6.848997e-03    7.552566e-04
  7.147927e-03    6.412909e-04
  7.446858e-03    5.524840e-04
  7.745788e-03    4.776089e-04
  8.044719e-03    4.166371e-04
  8.343649e-03    3.692763e-04
  8.642579e-03    3.271905e-04
  8.941510e-03    2.923528e-04
  9.240440e-03    2.634062e-04
  9.539371e-03    2.386881e-04
  9.838301e-03    2.182342e-04
  1.013723e-02    1.999003e-04
  1.043616e-02    1.836476e-04
  1.073509e-02    1.704400e-04
  1.103402e-02    1.601519e-04
  1.133295e-02    1.500904e-04
  1.163188e-02    1.411479e-04
  1.193081e-02    1.335190e-04
  1.222974e-02    1.270776e-04
  1.252867e-02    1.218700e-04
  1.282760e-02    1.173675e-04
  1.312654e-02    1.131637e-04
  1.342547e-02    1.091724e-04
  1.372440e-02    1.059618e-04
  1.402333e-02    1.034992e-04
  1.432226e-02    1.021199e-04
  1.462119e-02    1.003427e-04
  1.492012e-02    9.879764e-05
  1.521905e-02    9.767315e-05
  1.551798e-02    9.712931e-05
  1.581691e-02    9.717143e-05
  1.611584e-02    9.771773e-05
  1.641477e-02    9.814942e-05
  1.671370e-02    9.950747e-05
  1.701263e-02    1.010948e-04
  1.731156e-02    1.030020e-04
  1.761049e-02    1.055392e-04
  1.790942e-02    1.086864e-04
  1.820835e-02    1.118890e-04
  1.850728e-02    1.153233e-04
  1.880621e-02    1.197254e-04
  1.910514e-02    1.242433e-04
  1.940407e-02    1.294169e-04
  1.970300e-02    1.348183e-04
  2.000193e-02    1.413662e-04
  2.030086e-02    1.487964e-04
  2.059979e-02    1.558511e-04
  2.089873e-02    1.626748e-04
  2.119766e-02    1.709439e-04
  2.149659e-02    1.799255e-04
  2.179552e-02    1.884192e-04
  2.209445e-02    1.972217e-04
  2.239338e-02    2.071525e-04
  2.269231e-02    2.166649e-04
  2.299124e-02    2.255060e-04
  2.329017e-02    2.342082e-04
  2.358910e-02    2.420425e-04
  2.388803e-02    2.487495e-04
  2.418696e-02    2.549017e-04
  2.448589e-02    2.605529e-04
  2.478482e-02    2.650182e-04
  2.508375e-02    2.673616e-04
  2.538268e-02    2.681427e-04
  2.568161e-02    2.677006e-04
  2.598054e-02    2.657758e-04
  2.627947e-02    2.628824e-04
  2.657840e-02    2.590639e-04
  2.687733e-02    2.536712e-04
  2.717626e-02    2.472032e-04
  2.747519e-02    2.395414e-04
  2.777412e-02    2.309874e-04
  2.807305e-02    2.236076e-04
  2.837198e-02    2.152576e-04
  2.867092e-02    2.059293e-04
  2.896985e-02    1.970590e-04
  2.926878e-02    1.888643e-04
  2.956771e-02    1.812180e-04
  2.986664e-02    1.736913e-04
  3.016557e-02    1.655758e-04
  3.046450e-02    1.582603e-04
  3.076343e-02    1.514846e-04
  3.106236e-02    1.453365e-04
  3.136129e-02    1.396583e-04
  3.166022e-02    1.338255e-04
  3.195915e-02    1.292028e-04
  3.225808e-02    1.245114e-04
  3.255701e-02    1.201998e-04
  3.285594e-02    1.163603e-04
  3.315487e-02    1.123234e-04
  3.345380e-02    1.086914e-04
  3.375273e-02    1.052003e-04
  3.405166e-02    1.020986e-04
  3.435059e-02    9.960288e-05
  3.464952e-02    9.698505e-05
  3.494845e-02    9.467469e-05
  3.524738e-02    9.236387e-05
  3.554631e-02    9.023767e-05
  3.584524e-02    8.830609e-05
  3.614417e-02    8.647481e-05
  3.644310e-02    8.487927e-05
  3.674204e-02    8.352660e-05
  3.704097e-02    8.203142e-05
  3.733990e-02    8.063331e-05
  3.763883e-02    7.946418e-05
  3.793776e-02    7.821812e-05
  3.823669e-02    7.718916e-05
  3.853562e-02    7.597993e-05
  3.883455e-02    7.511857e-05
  3.913348e-02    7.458700e-05
  3.943241e-02    7.367900e-05
  3.973134e-02    7.277601e-05
  4.003027e-02    7.201892e-05
  4.032920e-02    7.164591e-05
  4.062813e-02    7.087050e-05
  4.092706e-02    7.021460e-05
  4.122599e-02    6.971283e-05
  4.152492e-02    6.926697e-05
  4.182385e-02    6.856643e-05
  4.212278e-02    6.800215e-05
  4.242171e-02    6.740856e-05
  4.272064e-02    6.723922e-05
  4.301957e-02    6.687931e-05
  4.331850e-02    6.618864e-05
  4.361743e-02    6.564936e-05
  4.391636e-02    6.497182e-05
  4.421529e-02    6.453731e-05
  4.451423e-02    6.427615e-05
  4.481316e-02    6.346204e-05
  4.511209e-02    6.297534e-05
  4.541102e-02    6.230835e-05
  4.570995e-02    6.165534e-05
  4.600888e-02    6.115218e-05
  4.630781e-02    6.045397e-05
  4.660674e-02    5.977563e-05
  4.690567e-02    5.897622e-05
  4.720460e-02    5.832550e-05
  4.750353e-02    5.753311e-05
  4.780246e-02    5.676511e-05
  4.810139e-02    5.601504e-05
  4.840032e-02    5.520762e-05
