# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 12314915.0
# --> AL_F127_220301_dd101086-72da-4bd0-8fc4-fc9f06668594_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.919756e-03
  4.756484e-03    1.494479e-03
  5.055415e-03    1.050489e-03
  5.354345e-03    7.214816e-04
  5.653276e-03    5.433771e-04
  5.952206e-03    8.654405e-04
  6.251136e-03    7.904692e-04
  6.550067e-03    6.873042e-04
  6.848997e-03    5.848288e-04
  7.147927e-03    4.944058e-04
  7.446858e-03    4.220259e-04
  7.745788e-03    3.615650e-04
  8.044719e-03    3.108749e-04
  8.343649e-03    2.709140e-04
  8.642579e-03    2.371527e-04
  8.941510e-03    2.084810e-04
  9.240440e-03    1.844551e-04
  9.539371e-03    1.640072e-04
  9.838301e-03    1.460267e-04
  1.013723e-02    1.304511e-04
  1.043616e-02    1.174519e-04
  1.073509e-02    1.059820e-04
  1.103402e-02    9.588445e-05
  1.133295e-02    8.683251e-05
  1.163188e-02    7.920212e-05
  1.193081e-02    7.236503e-05
  1.222974e-02    6.648454e-05
  1.252867e-02    6.133572e-05
  1.282760e-02    5.634507e-05
  1.312654e-02    5.179982e-05
  1.342547e-02    4.802397e-05
  1.372440e-02    4.470879e-05
  1.402333e-02    4.154691e-05
  1.432226e-02    3.880195e-05
  1.462119e-02    3.610948e-05
  1.492012e-02    3.371125e-05
  1.521905e-02    3.165346e-05
  1.551798e-02    2.981013e-05
  1.581691e-02    2.804494e-05
  1.611584e-02    2.640160e-05
  1.641477e-02    2.497055e-05
  1.671370e-02    2.359185e-05
  1.701263e-02    2.240830e-05
  1.731156e-02    2.133292e-05
  1.761049e-02    2.033432e-05
  1.790942e-02    1.936649e-05
  1.820835e-02    1.842894e-05
  1.850728e-02    1.760701e-05
  1.880621e-02    1.685826e-05
  1.910514e-02    1.612302e-05
  1.940407e-02    1.544780e-05
  1.970300e-02    1.482505e-05
  2.000193e-02    1.432419e-05
  2.030086e-02    1.383076e-05
  2.059979e-02    1.333942e-05
  2.089873e-02    1.298116e-05
  2.119766e-02    1.260029e-05
  2.149659e-02    1.221273e-05
  2.179552e-02    1.181776e-05
  2.209445e-02    1.143645e-05
  2.239338e-02    1.113419e-05
  2.269231e-02    1.082547e-05
  2.299124e-02    1.049635e-05
  2.329017e-02    1.031744e-05
  2.358910e-02    1.012495e-05
  2.388803e-02    9.851321e-06
  2.418696e-02    9.611866e-06
  2.448589e-02    9.455373e-06
  2.478482e-02    9.228424e-06
  2.508375e-02    9.050199e-06
  2.538268e-02    8.879902e-06
  2.568161e-02    8.754583e-06
  2.598054e-02    8.640149e-06
  2.627947e-02    8.448680e-06
  2.657840e-02    8.315839e-06
  2.687733e-02    8.253505e-06
  2.717626e-02    8.138663e-06
  2.747519e-02    8.001512e-06
  2.777412e-02    7.895778e-06
  2.807305e-02    7.788551e-06
  2.837198e-02    7.670415e-06
  2.867092e-02    7.579432e-06
  2.896985e-02    7.477959e-06
  2.926878e-02    7.399382e-06
  2.956771e-02    7.365727e-06
  2.986664e-02    7.294485e-06
  3.016557e-02    7.173872e-06
  3.046450e-02    7.094040e-06
  3.076343e-02    7.037180e-06
  3.106236e-02    6.961593e-06
  3.136129e-02    6.918597e-06
  3.166022e-02    6.841357e-06
  3.195915e-02    6.783574e-06
  3.225808e-02    6.729899e-06
  3.255701e-02    6.693997e-06
  3.285594e-02    6.594945e-06
  3.315487e-02    6.491667e-06
  3.345380e-02    6.479242e-06
  3.375273e-02    6.470501e-06
  3.405166e-02    6.375597e-06
  3.435059e-02    6.314609e-06
  3.464952e-02    6.240866e-06
  3.494845e-02    6.200536e-06
  3.524738e-02    6.132298e-06
  3.554631e-02    6.044934e-06
  3.584524e-02    6.036150e-06
  3.614417e-02    6.009122e-06
  3.644310e-02    5.989519e-06
  3.674204e-02    5.911515e-06
  3.704097e-02    5.834690e-06
  3.733990e-02    5.784435e-06
  3.763883e-02    5.759322e-06
  3.793776e-02    5.693737e-06
  3.823669e-02    5.660545e-06
  3.853562e-02    5.647527e-06
  3.883455e-02    5.614588e-06
  3.913348e-02    5.565330e-06
  3.943241e-02    5.530335e-06
  3.973134e-02    5.524841e-06
  4.003027e-02    5.478488e-06
  4.032920e-02    5.473920e-06
  4.062813e-02    5.482598e-06
  4.092706e-02    5.449749e-06
  4.122599e-02    5.398090e-06
  4.152492e-02    5.333063e-06
  4.182385e-02    5.309559e-06
  4.212278e-02    5.320202e-06
  4.242171e-02    5.302881e-06
  4.272064e-02    5.273554e-06
  4.301957e-02    5.234477e-06
  4.331850e-02    5.235741e-06
  4.361743e-02    5.228067e-06
  4.391636e-02    5.212927e-06
  4.421529e-02    5.208868e-06
  4.451423e-02    5.205898e-06
  4.481316e-02    5.175992e-06
  4.511209e-02    5.167599e-06
  4.541102e-02    5.191924e-06
  4.570995e-02    5.164403e-06
  4.600888e-02    5.167085e-06
  4.630781e-02    5.169899e-06
  4.660674e-02    5.154714e-06
  4.690567e-02    5.183826e-06
  4.720460e-02    5.185896e-06
  4.750353e-02    5.174949e-06
