# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 28721998.399999995
# --> AL_F127_220301_ecbc2c36-173d-427d-8625-2ff89e238e0f_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.437002e-04
  4.756484e-03    1.860098e-04
  5.055415e-03    1.292712e-04
  5.354345e-03    8.867270e-05
  5.653276e-03    6.706166e-05
  5.952206e-03    1.053024e-04
  6.251136e-03    9.557405e-05
  6.550067e-03    8.281031e-05
  6.848997e-03    7.046284e-05
  7.147927e-03    5.938471e-05
  7.446858e-03    5.065252e-05
  7.745788e-03    4.350799e-05
  8.044719e-03    3.759935e-05
  8.343649e-03    3.293625e-05
  8.642579e-03    2.897747e-05
  8.941510e-03    2.558686e-05
  9.240440e-03    2.268615e-05
  9.539371e-03    2.018503e-05
  9.838301e-03    1.810061e-05
  1.013723e-02    1.630827e-05
  1.043616e-02    1.474729e-05
  1.073509e-02    1.334125e-05
  1.103402e-02    1.207876e-05
  1.133295e-02    1.102885e-05
  1.163188e-02    1.014601e-05
  1.193081e-02    9.288521e-06
  1.222974e-02    8.608486e-06
  1.252867e-02    7.952881e-06
  1.282760e-02    7.396337e-06
  1.312654e-02    6.904515e-06
  1.342547e-02    6.418611e-06
  1.372440e-02    5.963993e-06
  1.402333e-02    5.579339e-06
  1.432226e-02    5.245467e-06
  1.462119e-02    4.948771e-06
  1.492012e-02    4.652191e-06
  1.521905e-02    4.402823e-06
  1.551798e-02    4.197588e-06
  1.581691e-02    3.990517e-06
  1.611584e-02    3.779159e-06
  1.641477e-02    3.602298e-06
  1.671370e-02    3.456633e-06
  1.701263e-02    3.320605e-06
  1.731156e-02    3.187227e-06
  1.761049e-02    3.051503e-06
  1.790942e-02    2.948324e-06
  1.820835e-02    2.854795e-06
  1.850728e-02    2.796329e-06
  1.880621e-02    2.721247e-06
  1.910514e-02    2.646050e-06
  1.940407e-02    2.571672e-06
  1.970300e-02    2.512279e-06
  2.000193e-02    2.473367e-06
  2.030086e-02    2.466048e-06
  2.059979e-02    2.409204e-06
  2.089873e-02    2.382071e-06
  2.119766e-02    2.382358e-06
  2.149659e-02    2.380847e-06
  2.179552e-02    2.391865e-06
  2.209445e-02    2.381168e-06
  2.239338e-02    2.398469e-06
  2.269231e-02    2.429436e-06
  2.299124e-02    2.446833e-06
  2.329017e-02    2.468439e-06
  2.358910e-02    2.512994e-06
  2.388803e-02    2.535905e-06
  2.418696e-02    2.577931e-06
  2.448589e-02    2.615169e-06
  2.478482e-02    2.644662e-06
  2.508375e-02    2.672987e-06
  2.538268e-02    2.719720e-06
  2.568161e-02    2.724309e-06
  2.598054e-02    2.731692e-06
  2.627947e-02    2.781270e-06
  2.657840e-02    2.793141e-06
  2.687733e-02    2.773577e-06
  2.717626e-02    2.784001e-06
  2.747519e-02    2.764789e-06
  2.777412e-02    2.753333e-06
  2.807305e-02    2.744984e-06
  2.837198e-02    2.742848e-06
  2.867092e-02    2.718200e-06
  2.896985e-02    2.713896e-06
  2.926878e-02    2.709113e-06
  2.956771e-02    2.676573e-06
  2.986664e-02    2.660196e-06
  3.016557e-02    2.632451e-06
  3.046450e-02    2.609997e-06
  3.076343e-02    2.588176e-06
  3.106236e-02    2.572669e-06
  3.136129e-02    2.561146e-06
  3.166022e-02    2.544723e-06
  3.195915e-02    2.521827e-06
  3.225808e-02    2.516464e-06
  3.255701e-02    2.522696e-06
  3.285594e-02    2.504474e-06
  3.315487e-02    2.480377e-06
  3.345380e-02    2.470599e-06
  3.375273e-02    2.481720e-06
  3.405166e-02    2.480176e-06
  3.435059e-02    2.464802e-06
  3.464952e-02    2.441050e-06
  3.494845e-02    2.455339e-06
  3.524738e-02    2.459381e-06
  3.554631e-02    2.455522e-06
  3.584524e-02    2.464743e-06
  3.614417e-02    2.462969e-06
  3.644310e-02    2.469370e-06
  3.674204e-02    2.479106e-06
  3.704097e-02    2.473403e-06
  3.733990e-02    2.472404e-06
  3.763883e-02    2.474032e-06
  3.793776e-02    2.506839e-06
  3.823669e-02    2.518833e-06
  3.853562e-02    2.525331e-06
  3.883455e-02    2.533970e-06
  3.913348e-02    2.536264e-06
  3.943241e-02    2.543030e-06
  3.973134e-02    2.562862e-06
  4.003027e-02    2.580648e-06
  4.032920e-02    2.584371e-06
  4.062813e-02    2.590616e-06
  4.092706e-02    2.595250e-06
  4.122599e-02    2.615864e-06
  4.152492e-02    2.632351e-06
  4.182385e-02    2.639592e-06
  4.212278e-02    2.669645e-06
  4.242171e-02    2.676636e-06
  4.272064e-02    2.674479e-06
  4.301957e-02    2.687618e-06
  4.331850e-02    2.686478e-06
  4.361743e-02    2.696318e-06
  4.391636e-02    2.697452e-06
  4.421529e-02    2.700233e-06
  4.451423e-02    2.699883e-06
  4.481316e-02    2.705629e-06
  4.511209e-02    2.715022e-06
  4.541102e-02    2.711833e-06
  4.570995e-02    2.704596e-06
  4.600888e-02    2.715344e-06
  4.630781e-02    2.721855e-06
  4.660674e-02    2.694016e-06
  4.690567e-02    2.681011e-06
  4.720460e-02    2.697183e-06
  4.750353e-02    2.680616e-06
  4.780246e-02    2.664741e-06
  4.810139e-02    2.643716e-06
  4.840032e-02    2.615943e-06
  4.869925e-02    2.600818e-06
  4.899818e-02    2.585733e-06
  4.929711e-02    2.571225e-06
  4.959604e-02    2.550829e-06
  4.989497e-02    2.530221e-06
  5.019390e-02    2.499464e-06
  5.049283e-02    2.475354e-06
  5.079176e-02    2.458486e-06
  5.109069e-02    2.441335e-06
  5.138962e-02    2.425433e-06
  5.168855e-02    2.404547e-06
  5.198748e-02    2.364045e-06
  5.228642e-02    2.320382e-06
  5.258535e-02    2.278190e-06
  5.288428e-02    2.243106e-06
  5.318321e-02    2.239757e-06
  5.348214e-02    2.203130e-06
  5.378107e-02    2.170808e-06
  5.408000e-02    2.139943e-06
  5.437893e-02    2.100611e-06
  5.467786e-02    2.069615e-06
  5.497679e-02    2.038618e-06
  5.527572e-02    2.008999e-06
  5.557465e-02    1.995189e-06
  5.587358e-02    1.969861e-06
  5.617251e-02    1.945383e-06
  5.647144e-02    1.920400e-06
  5.677037e-02    1.886201e-06
  5.706930e-02    1.854858e-06
  5.736823e-02    1.827691e-06
  5.766716e-02    1.813069e-06
  5.796609e-02    1.785284e-06
  5.826502e-02    1.770034e-06
  5.856395e-02    1.759403e-06
  5.886288e-02    1.732501e-06
  5.916181e-02    1.697940e-06
  5.946074e-02    1.681830e-06
  5.975967e-02    1.653410e-06
  6.005861e-02    1.636823e-06
  6.035754e-02    1.622947e-06
  6.065647e-02    1.598814e-06
  6.095540e-02    1.588863e-06
  6.125433e-02    1.582638e-06
  6.155326e-02    1.569722e-06
  6.185219e-02    1.537849e-06
  6.215112e-02    1.515780e-06
  6.245005e-02    1.502821e-06
  6.274898e-02    1.483476e-06
  6.304791e-02    1.461749e-06
  6.334684e-02    1.450210e-06
  6.364577e-02    1.443844e-06
  6.394470e-02    1.426082e-06
  6.424363e-02    1.411542e-06
  6.454256e-02    1.411740e-06
  6.484149e-02    1.394664e-06
  6.514042e-02    1.380731e-06
  6.543935e-02    1.369379e-06
  6.573828e-02    1.347916e-06
  6.603721e-02    1.336314e-06
  6.633614e-02    1.324999e-06
  6.663507e-02    1.317625e-06
  6.693400e-02    1.309571e-06
  6.723293e-02    1.297430e-06
  6.753186e-02    1.289027e-06
  6.783080e-02    1.289368e-06
  6.812973e-02    1.285387e-06
  6.842866e-02    1.272368e-06
  6.872759e-02    1.264431e-06
  6.902652e-02    1.254270e-06
  6.932545e-02    1.241937e-06
  6.962438e-02    1.229946e-06
  6.992331e-02    1.223937e-06
  7.022224e-02    1.212382e-06
  7.052117e-02    1.205531e-06
  7.082010e-02    1.202579e-06
  7.111903e-02    1.189965e-06
  7.141796e-02    1.187839e-06
  7.171689e-02    1.186118e-06
  7.201582e-02    1.182267e-06
  7.231475e-02    1.173581e-06
  7.261368e-02    1.170537e-06
  7.291261e-02    1.160072e-06
  7.321154e-02    1.144163e-06
  7.351047e-02    1.141546e-06
  7.380940e-02    1.134998e-06
  7.410833e-02    1.127407e-06
  7.440726e-02    1.118328e-06
  7.470619e-02    1.124554e-06
  7.500512e-02    1.115701e-06
  7.530405e-02    1.102498e-06
  7.560299e-02    1.092848e-06
  7.590192e-02    1.093821e-06
  7.620085e-02    1.098429e-06
  7.649978e-02    1.094731e-06
  7.679871e-02    1.090028e-06
  7.709764e-02    1.082377e-06
  7.739657e-02    1.070494e-06
  7.769550e-02    1.068695e-06
  7.799443e-02    1.068688e-06
  7.829336e-02    1.061054e-06
  7.859229e-02    1.057222e-06
  7.889122e-02    1.056671e-06
  7.919015e-02    1.057704e-06
  7.948908e-02    1.053003e-06
  7.978801e-02    1.049201e-06
  8.008694e-02    1.047663e-06
  8.038587e-02    1.040896e-06
  8.068480e-02    1.037864e-06
  8.098373e-02    1.040765e-06
  8.128266e-02    1.033203e-06
  8.158159e-02    1.030553e-06
  8.188052e-02    1.027930e-06
  8.217945e-02    1.022590e-06
  8.247838e-02    1.019889e-06
  8.277731e-02    1.018255e-06
  8.307624e-02    1.013370e-06
  8.337518e-02    1.016214e-06
  8.367411e-02    1.012981e-06
  8.397304e-02    1.006309e-06
  8.427197e-02    1.005781e-06
  8.457090e-02    1.007073e-06
  8.486983e-02    9.990279e-07
  8.516876e-02    9.960208e-07
  8.546769e-02    9.957322e-07
  8.576662e-02    9.917484e-07
  8.606555e-02    9.938551e-07
  8.636448e-02    9.883762e-07
  8.666341e-02    9.872892e-07
  8.696234e-02    9.783646e-07
  8.726127e-02    9.862505e-07
  8.756020e-02    9.857727e-07
  8.785913e-02    9.784320e-07
  8.815806e-02    9.779216e-07
  8.845699e-02    9.772303e-07
  8.875592e-02    9.740812e-07
  8.905485e-02    9.768517e-07
  8.935378e-02    9.717922e-07
  8.965271e-02    9.749454e-07
  8.995164e-02    9.738219e-07
  9.025057e-02    9.687751e-07
  9.054950e-02    9.704315e-07
  9.084843e-02    9.734666e-07
  9.114737e-02    9.756241e-07
  9.144630e-02    9.690252e-07
  9.174523e-02    9.629387e-07
  9.204416e-02    9.704050e-07
  9.234309e-02    9.662948e-07
  9.264202e-02    9.589431e-07
  9.294095e-02    9.635962e-07
  9.323988e-02    9.614294e-07
  9.353881e-02    9.602389e-07
  9.383774e-02    9.532337e-07
  9.413667e-02    9.522803e-07
  9.443560e-02    9.566342e-07
  9.473453e-02    9.595366e-07
  9.503346e-02    9.565714e-07
  9.533239e-02    9.513613e-07
  9.563132e-02    9.587017e-07
  9.593025e-02    9.566156e-07
  9.622918e-02    9.581328e-07
  9.652811e-02    9.621546e-07
  9.682704e-02    9.584908e-07
  9.712597e-02    9.598450e-07
  9.742490e-02    9.607262e-07
  9.772383e-02    9.479429e-07
  9.802276e-02    9.413172e-07
  9.832169e-02    9.497845e-07
  9.862062e-02    9.481707e-07
  9.891956e-02    9.439777e-07
  9.921849e-02    9.459584e-07
  9.951742e-02    9.450342e-07
  9.981635e-02    9.489219e-07
  1.001153e-01    9.543945e-07
  1.004142e-01    9.473276e-07
  1.007131e-01    9.387411e-07
  1.010121e-01    9.418774e-07
  1.013110e-01    9.419114e-07
  1.016099e-01    9.420165e-07
  1.019089e-01    9.448891e-07
  1.022078e-01    9.426927e-07
  1.025067e-01    9.353759e-07
  1.028057e-01    9.435366e-07
  1.031046e-01    9.401811e-07
  1.034035e-01    9.350921e-07
  1.037024e-01    9.398211e-07
  1.040014e-01    9.406949e-07
  1.043003e-01    9.388181e-07
  1.045992e-01    9.376028e-07
  1.048982e-01    9.346672e-07
  1.051971e-01    9.321042e-07
  1.054960e-01    9.286491e-07
  1.057950e-01    9.282713e-07
  1.060939e-01    9.239321e-07
  1.063928e-01    9.315167e-07
  1.066917e-01    9.303686e-07
  1.069907e-01    9.231162e-07
  1.072896e-01    9.383309e-07
  1.075885e-01    9.324151e-07
  1.078875e-01    9.260279e-07
  1.081864e-01    9.366744e-07
  1.084853e-01    9.369267e-07
  1.087843e-01    9.423631e-07
  1.090832e-01    9.373223e-07
  1.093821e-01    9.326683e-07
  1.096810e-01    9.305940e-07
  1.099800e-01    9.294777e-07
  1.102789e-01    9.295296e-07
  1.105778e-01    9.264715e-07
  1.108768e-01    9.212270e-07
  1.111757e-01    9.146325e-07
  1.114746e-01    9.092325e-07
  1.117736e-01    9.076396e-07
  1.120725e-01    9.001017e-07
  1.123714e-01    9.052984e-07
  1.126704e-01    9.028616e-07
  1.129693e-01    8.959876e-07
  1.132682e-01    8.927921e-07
  1.135671e-01    8.835071e-07
  1.138661e-01    8.733363e-07
  1.141650e-01    8.747531e-07
  1.144639e-01    8.745067e-07
  1.147629e-01    8.576661e-07
  1.150618e-01    8.513982e-07
  1.153607e-01    8.703009e-07
  1.156597e-01    8.803358e-07
  1.159586e-01    8.793766e-07
  1.162575e-01    8.646151e-07
  1.165564e-01    8.625726e-07
  1.168554e-01    8.748185e-07
  1.171543e-01    8.819555e-07
  1.174532e-01    8.734800e-07
  1.177522e-01    8.592272e-07
  1.180511e-01    8.463858e-07
  1.183500e-01    8.547415e-07
  1.186490e-01    8.754189e-07
  1.189479e-01    8.679332e-07
  1.192468e-01    8.540046e-07
  1.195458e-01    8.608201e-07
  1.198447e-01    8.585867e-07
  1.201436e-01    8.816084e-07
  1.204425e-01    9.525638e-07
  1.207415e-01    9.944175e-07
  1.210404e-01    9.060495e-07
  1.213393e-01    0.000000e+00
  1.216383e-01    0.000000e+00
  1.219372e-01    0.000000e+00
  1.222361e-01    0.000000e+00
  1.225351e-01    0.000000e+00
  1.228340e-01    0.000000e+00
  1.231329e-01    0.000000e+00
  1.234318e-01    0.000000e+00
  1.237308e-01    0.000000e+00
  1.240297e-01    0.000000e+00
  1.243286e-01    0.000000e+00
  1.246276e-01    0.000000e+00
  1.249265e-01    0.000000e+00
  1.252254e-01    0.000000e+00
  1.255244e-01    0.000000e+00
  1.258233e-01    0.000000e+00
  1.261222e-01    0.000000e+00
  1.264212e-01    0.000000e+00
  1.267201e-01    0.000000e+00
  1.270190e-01    0.000000e+00
  1.273179e-01    0.000000e+00
  1.276169e-01    0.000000e+00
  1.279158e-01    0.000000e+00
  1.282147e-01    0.000000e+00
  1.285137e-01    0.000000e+00
  1.288126e-01    0.000000e+00
  1.291115e-01    0.000000e+00
  1.294105e-01    0.000000e+00
  1.297094e-01    0.000000e+00
  1.300083e-01    0.000000e+00
  1.303072e-01    0.000000e+00
  1.306062e-01    0.000000e+00
  1.309051e-01    0.000000e+00
  1.312040e-01    0.000000e+00
  1.315030e-01    0.000000e+00
  1.318019e-01    0.000000e+00
  1.321008e-01    0.000000e+00
  1.323998e-01    0.000000e+00
  1.326987e-01    0.000000e+00
  1.329976e-01    0.000000e+00
  1.332965e-01    0.000000e+00
  1.335955e-01    0.000000e+00
  1.338944e-01    0.000000e+00
  1.341933e-01    0.000000e+00
  1.344923e-01    0.000000e+00
  1.347912e-01    0.000000e+00
  1.350901e-01    0.000000e+00
  1.353891e-01    0.000000e+00
  1.356880e-01    0.000000e+00
  1.359869e-01    0.000000e+00
  1.362859e-01    0.000000e+00
  1.365848e-01    0.000000e+00
  1.368837e-01    0.000000e+00
  1.371826e-01    0.000000e+00
  1.374816e-01    0.000000e+00
  1.377805e-01    0.000000e+00
  1.380794e-01    0.000000e+00
  1.383784e-01    0.000000e+00
  1.386773e-01    0.000000e+00
  1.389762e-01    0.000000e+00
  1.392752e-01    0.000000e+00
  1.395741e-01    0.000000e+00
  1.398730e-01    0.000000e+00
  1.401719e-01    0.000000e+00
  1.404709e-01    0.000000e+00
  1.407698e-01    0.000000e+00
  1.410687e-01    0.000000e+00
  1.413677e-01    0.000000e+00
  1.416666e-01    0.000000e+00
  1.419655e-01    0.000000e+00
  1.422645e-01    0.000000e+00
  1.425634e-01    0.000000e+00
  1.428623e-01    0.000000e+00
  1.431613e-01    0.000000e+00
  1.434602e-01    0.000000e+00
  1.437591e-01    0.000000e+00
  1.440580e-01    0.000000e+00
  1.443570e-01    0.000000e+00
  1.446559e-01    0.000000e+00
  1.449548e-01    0.000000e+00
  1.452538e-01    0.000000e+00
  1.455527e-01    0.000000e+00
  1.458516e-01    0.000000e+00
  1.461506e-01    0.000000e+00
  1.464495e-01    0.000000e+00
  1.467484e-01    0.000000e+00
  1.470473e-01    0.000000e+00
  1.473463e-01    0.000000e+00
  1.476452e-01    0.000000e+00
  1.479441e-01    0.000000e+00
  1.482431e-01    0.000000e+00
  1.485420e-01    0.000000e+00
  1.488409e-01    0.000000e+00
  1.491399e-01    0.000000e+00
  1.494388e-01    0.000000e+00
  1.497377e-01    0.000000e+00
  1.500367e-01    0.000000e+00
  1.503356e-01    0.000000e+00
  1.506345e-01    0.000000e+00
  1.509334e-01    0.000000e+00
  1.512324e-01    0.000000e+00
