# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 4728023.600000001
# --> F127_115.224_hexanes_57.612_NaCl_17.333mgml_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.859092e-03
  4.756484e-03    1.454227e-03
  5.055415e-03    1.030956e-03
  5.354345e-03    7.164378e-04
  5.653276e-03    5.435832e-04
  5.952206e-03    8.815535e-04
  6.251136e-03    8.051861e-04
  6.550067e-03    7.009682e-04
  6.848997e-03    5.964251e-04
  7.147927e-03    5.051562e-04
  7.446858e-03    4.308006e-04
  7.745788e-03    3.686552e-04
  8.044719e-03    3.167682e-04
  8.343649e-03    2.765923e-04
  8.642579e-03    2.415630e-04
  8.941510e-03    2.123334e-04
  9.240440e-03    1.880628e-04
  9.539371e-03    1.667851e-04
  9.838301e-03    1.481117e-04
  1.013723e-02    1.325649e-04
  1.043616e-02    1.195081e-04
  1.073509e-02    1.073137e-04
  1.103402e-02    9.702141e-05
  1.133295e-02    8.759010e-05
  1.163188e-02    7.947215e-05
  1.193081e-02    7.283394e-05
  1.222974e-02    6.680076e-05
  1.252867e-02    6.136997e-05
  1.282760e-02    5.639929e-05
  1.312654e-02    5.206781e-05
  1.342547e-02    4.793650e-05
  1.372440e-02    4.455611e-05
  1.402333e-02    4.140510e-05
  1.432226e-02    3.841304e-05
  1.462119e-02    3.586587e-05
  1.492012e-02    3.362945e-05
  1.521905e-02    3.137870e-05
  1.551798e-02    2.924013e-05
  1.581691e-02    2.744282e-05
  1.611584e-02    2.595979e-05
  1.641477e-02    2.465958e-05
  1.671370e-02    2.323864e-05
  1.701263e-02    2.185181e-05
  1.731156e-02    2.090498e-05
  1.761049e-02    1.978411e-05
  1.790942e-02    1.881960e-05
  1.820835e-02    1.787926e-05
  1.850728e-02    1.713113e-05
  1.880621e-02    1.632220e-05
  1.910514e-02    1.561646e-05
  1.940407e-02    1.489540e-05
  1.970300e-02    1.424999e-05
  2.000193e-02    1.384123e-05
  2.030086e-02    1.339529e-05
  2.059979e-02    1.291853e-05
  2.089873e-02    1.245988e-05
  2.119766e-02    1.197141e-05
  2.149659e-02    1.159040e-05
  2.179552e-02    1.125652e-05
  2.209445e-02    1.092482e-05
  2.239338e-02    1.057393e-05
  2.269231e-02    1.035083e-05
  2.299124e-02    1.009505e-05
  2.329017e-02    9.817229e-06
  2.358910e-02    9.478548e-06
  2.388803e-02    9.227831e-06
  2.418696e-02    8.965991e-06
  2.448589e-02    8.877804e-06
  2.478482e-02    8.712757e-06
  2.508375e-02    8.544785e-06
  2.538268e-02    8.342409e-06
  2.568161e-02    8.135314e-06
  2.598054e-02    8.060285e-06
  2.627947e-02    7.951162e-06
  2.657840e-02    7.875151e-06
  2.687733e-02    7.743341e-06
  2.717626e-02    7.597888e-06
  2.747519e-02    7.482275e-06
  2.777412e-02    7.381876e-06
  2.807305e-02    7.238059e-06
  2.837198e-02    7.145465e-06
  2.867092e-02    7.052468e-06
  2.896985e-02    6.976925e-06
  2.926878e-02    6.930135e-06
