# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 11857789.4
# --> F127_151.960_hexanes_51.666_EtOH_94.757_NaCl_100.000mgml_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.981826e-03
  4.756484e-03    1.590256e-03
  5.055415e-03    1.155010e-03
  5.354345e-03    8.195888e-04
  5.653276e-03    6.389954e-04
  5.952206e-03    1.037857e-03
  6.251136e-03    9.493572e-04
  6.550067e-03    8.278614e-04
  6.848997e-03    7.066474e-04
  7.147927e-03    5.965411e-04
  7.446858e-03    5.103094e-04
  7.745788e-03    4.379978e-04
  8.044719e-03    3.775300e-04
  8.343649e-03    3.297073e-04
  8.642579e-03    2.886837e-04
  8.941510e-03    2.540232e-04
  9.240440e-03    2.251590e-04
  9.539371e-03    1.999776e-04
  9.838301e-03    1.775943e-04
  1.013723e-02    1.590136e-04
  1.043616e-02    1.430703e-04
  1.073509e-02    1.285372e-04
  1.103402e-02    1.163383e-04
  1.133295e-02    1.053087e-04
  1.163188e-02    9.583946e-05
  1.193081e-02    8.745748e-05
  1.222974e-02    7.992856e-05
  1.252867e-02    7.336344e-05
  1.282760e-02    6.749323e-05
  1.312654e-02    6.219504e-05
  1.342547e-02    5.732432e-05
  1.372440e-02    5.309399e-05
  1.402333e-02    4.925015e-05
  1.432226e-02    4.580846e-05
  1.462119e-02    4.261344e-05
  1.492012e-02    3.977822e-05
  1.521905e-02    3.722792e-05
  1.551798e-02    3.489215e-05
  1.581691e-02    3.266212e-05
  1.611584e-02    3.069825e-05
  1.641477e-02    2.886309e-05
  1.671370e-02    2.709984e-05
  1.701263e-02    2.559815e-05
  1.731156e-02    2.430056e-05
  1.761049e-02    2.316713e-05
  1.790942e-02    2.207417e-05
  1.820835e-02    2.088641e-05
  1.850728e-02    1.995795e-05
  1.880621e-02    1.910886e-05
  1.910514e-02    1.819992e-05
  1.940407e-02    1.732615e-05
  1.970300e-02    1.664522e-05
  2.000193e-02    1.599185e-05
  2.030086e-02    1.539493e-05
  2.059979e-02    1.481700e-05
  2.089873e-02    1.429303e-05
  2.119766e-02    1.375441e-05
  2.149659e-02    1.328461e-05
  2.179552e-02    1.283475e-05
  2.209445e-02    1.246909e-05
  2.239338e-02    1.213404e-05
  2.269231e-02    1.171033e-05
  2.299124e-02    1.135029e-05
  2.329017e-02    1.109647e-05
  2.358910e-02    1.084841e-05
  2.388803e-02    1.046580e-05
  2.418696e-02    1.024713e-05
  2.448589e-02    1.005016e-05
  2.478482e-02    9.798545e-06
  2.508375e-02    9.572819e-06
  2.538268e-02    9.365676e-06
  2.568161e-02    9.198845e-06
  2.598054e-02    9.080856e-06
  2.627947e-02    8.955888e-06
  2.657840e-02    8.774050e-06
  2.687733e-02    8.612030e-06
  2.717626e-02    8.441470e-06
  2.747519e-02    8.352006e-06
  2.777412e-02    8.242714e-06
  2.807305e-02    8.045551e-06
  2.837198e-02    8.008618e-06
  2.867092e-02    7.895806e-06
  2.896985e-02    7.762069e-06
  2.926878e-02    7.656263e-06
  2.956771e-02    7.571593e-06
  2.986664e-02    7.492466e-06
  3.016557e-02    7.438020e-06
  3.046450e-02    7.359066e-06
  3.076343e-02    7.295144e-06
  3.106236e-02    7.187796e-06
  3.136129e-02    7.142882e-06
  3.166022e-02    7.111412e-06
  3.195915e-02    7.022873e-06
  3.225808e-02    6.910810e-06
  3.255701e-02    6.848547e-06
  3.285594e-02    6.834962e-06
  3.315487e-02    6.733267e-06
  3.345380e-02    6.679520e-06
  3.375273e-02    6.693178e-06
  3.405166e-02    6.598609e-06
  3.435059e-02    6.531016e-06
  3.464952e-02    6.446006e-06
  3.494845e-02    6.385862e-06
  3.524738e-02    6.340242e-06
  3.554631e-02    6.325975e-06
  3.584524e-02    6.264706e-06
  3.614417e-02    6.204791e-06
  3.644310e-02    6.164250e-06
  3.674204e-02    6.175149e-06
  3.704097e-02    6.148617e-06
  3.733990e-02    6.057719e-06
  3.763883e-02    6.000065e-06
  3.793776e-02    5.941924e-06
  3.823669e-02    5.862125e-06
  3.853562e-02    5.818633e-06
  3.883455e-02    5.765710e-06
  3.913348e-02    5.742366e-06
  3.943241e-02    5.725559e-06
  3.973134e-02    5.701057e-06
  4.003027e-02    5.628483e-06
  4.032920e-02    5.581242e-06
  4.062813e-02    5.567510e-06
  4.092706e-02    5.555964e-06
  4.122599e-02    5.552086e-06
  4.152492e-02    5.517445e-06
  4.182385e-02    5.456818e-06
  4.212278e-02    5.454254e-06
  4.242171e-02    5.415939e-06
  4.272064e-02    5.384939e-06
  4.301957e-02    5.371961e-06
  4.331850e-02    5.363712e-06
  4.361743e-02    5.335075e-06
  4.391636e-02    5.320230e-06
  4.421529e-02    5.299053e-06
  4.451423e-02    5.317361e-06
  4.481316e-02    5.325494e-06
  4.511209e-02    5.277489e-06
  4.541102e-02    5.252985e-06
  4.570995e-02    5.265340e-06
  4.600888e-02    5.285297e-06
  4.630781e-02    5.269290e-06
  4.660674e-02    5.257275e-06
  4.690567e-02    5.200607e-06
  4.720460e-02    5.180626e-06
  4.750353e-02    5.205567e-06
  4.780246e-02    5.192364e-06
  4.810139e-02    5.181133e-06
  4.840032e-02    5.207229e-06
  4.869925e-02    5.182319e-06
  4.899818e-02    5.193146e-06
  4.929711e-02    5.189583e-06
  4.959604e-02    5.171235e-06
  4.989497e-02    5.150191e-06
  5.019390e-02    5.202779e-06
  5.049283e-02    5.174977e-06
  5.079176e-02    5.156580e-06
  5.109069e-02    5.198548e-06
  5.138962e-02    5.249468e-06
  5.168855e-02    5.311819e-06
  5.198748e-02    5.401498e-06
  5.228642e-02    5.356085e-06
  5.258535e-02    5.171933e-06
  5.288428e-02    5.109805e-06
  5.318321e-02    5.104973e-06
  5.348214e-02    5.134263e-06
  5.378107e-02    5.145012e-06
  5.408000e-02    5.152909e-06
  5.437893e-02    5.146715e-06
  5.467786e-02    5.173081e-06
  5.497679e-02    5.152967e-06
  5.527572e-02    5.144339e-06
  5.557465e-02    5.133077e-06
  5.587358e-02    5.159392e-06
  5.617251e-02    5.135318e-06
  5.647144e-02    5.107784e-06
  5.677037e-02    5.165850e-06
  5.706930e-02    5.170851e-06
  5.736823e-02    5.164979e-06
  5.766716e-02    5.151802e-06
  5.796609e-02    5.150652e-06
  5.826502e-02    5.172559e-06
  5.856395e-02    5.169375e-06
  5.886288e-02    5.169327e-06
  5.916181e-02    5.193537e-06
  5.946074e-02    5.180732e-06
  5.975967e-02    5.180583e-06
  6.005861e-02    5.221748e-06
  6.035754e-02    5.257944e-06
  6.065647e-02    5.260838e-06
  6.095540e-02    5.304140e-06
  6.125433e-02    5.377637e-06
  6.155326e-02    5.396388e-06
  6.185219e-02    5.337083e-06
  6.215112e-02    5.295718e-06
  6.245005e-02    5.289368e-06
  6.274898e-02    5.273368e-06
  6.304791e-02    5.247830e-06
  6.334684e-02    5.291912e-06
  6.364577e-02    5.304542e-06
  6.394470e-02    5.282141e-06
  6.424363e-02    5.297460e-06
  6.454256e-02    5.327932e-06
  6.484149e-02    5.326611e-06
  6.514042e-02    5.325350e-06
  6.543935e-02    5.337713e-06
  6.573828e-02    5.342767e-06
  6.603721e-02    5.367101e-06
  6.633614e-02    5.363549e-06
  6.663507e-02    5.389803e-06
  6.693400e-02    5.411929e-06
  6.723293e-02    5.399731e-06
  6.753186e-02    5.416030e-06
  6.783080e-02    5.425099e-06
  6.812973e-02    5.415189e-06
  6.842866e-02    5.405032e-06
  6.872759e-02    5.420738e-06
  6.902652e-02    5.440700e-06
  6.932545e-02    5.435085e-06
  6.962438e-02    5.455519e-06
  6.992331e-02    5.465427e-06
  7.022224e-02    5.462486e-06
  7.052117e-02    5.497626e-06
  7.082010e-02    5.498279e-06
  7.111903e-02    5.486165e-06
  7.141796e-02    5.510090e-06
  7.171689e-02    5.533813e-06
  7.201582e-02    5.535339e-06
  7.231475e-02    5.513382e-06
  7.261368e-02    5.517140e-06
  7.291261e-02    5.545740e-06
  7.321154e-02    5.529766e-06
  7.351047e-02    5.536515e-06
  7.380940e-02    5.504123e-06
  7.410833e-02    5.497334e-06
  7.440726e-02    5.508103e-06
  7.470619e-02    5.521852e-06
  7.500512e-02    5.509708e-06
  7.530405e-02    5.508890e-06
  7.560299e-02    5.517014e-06
  7.590192e-02    5.522941e-06
  7.620085e-02    5.532575e-06
  7.649978e-02    5.520933e-06
  7.679871e-02    5.546441e-06
  7.709764e-02    5.510448e-06
  7.739657e-02    5.469984e-06
  7.769550e-02    5.483186e-06
  7.799443e-02    5.522924e-06
  7.829336e-02    5.506877e-06
  7.859229e-02    5.501612e-06
  7.889122e-02    5.496646e-06
  7.919015e-02    5.495391e-06
  7.948908e-02    5.474230e-06
  7.978801e-02    5.467446e-06
  8.008694e-02    5.491488e-06
  8.038587e-02    5.492352e-06
  8.068480e-02    5.498161e-06
  8.098373e-02    5.507128e-06
  8.128266e-02    5.491740e-06
  8.158159e-02    5.475361e-06
  8.188052e-02    5.456068e-06
  8.217945e-02    5.442592e-06
  8.247838e-02    5.455473e-06
  8.277731e-02    5.445345e-06
  8.307624e-02    5.428972e-06
  8.337518e-02    5.446488e-06
  8.367411e-02    5.442835e-06
  8.397304e-02    5.460838e-06
  8.427197e-02    5.453381e-06
  8.457090e-02    5.409983e-06
  8.486983e-02    5.385076e-06
  8.516876e-02    5.396659e-06
  8.546769e-02    5.385494e-06
  8.576662e-02    5.359810e-06
  8.606555e-02    5.353586e-06
  8.636448e-02    5.339753e-06
  8.666341e-02    5.328390e-06
  8.696234e-02    5.318194e-06
  8.726127e-02    5.310763e-06
  8.756020e-02    5.331521e-06
  8.785913e-02    5.318957e-06
  8.815806e-02    5.287329e-06
  8.845699e-02    5.289716e-06
  8.875592e-02    5.308096e-06
  8.905485e-02    5.289409e-06
  8.935378e-02    5.256346e-06
  8.965271e-02    5.284498e-06
  8.995164e-02    5.273754e-06
  9.025057e-02    5.260430e-06
  9.054950e-02    5.244885e-06
  9.084843e-02    5.259286e-06
  9.114737e-02    5.252570e-06
  9.144630e-02    5.232667e-06
  9.174523e-02    5.205508e-06
  9.204416e-02    5.175290e-06
  9.234309e-02    5.190846e-06
  9.264202e-02    5.165488e-06
  9.294095e-02    5.150981e-06
  9.323988e-02    5.138856e-06
  9.353881e-02    5.128896e-06
  9.383774e-02    5.104618e-06
  9.413667e-02    5.098792e-06
  9.443560e-02    5.108869e-06
  9.473453e-02    5.104328e-06
  9.503346e-02    5.074748e-06
  9.533239e-02    5.089923e-06
  9.563132e-02    5.110511e-06
  9.593025e-02    5.106862e-06
  9.622918e-02    5.107992e-06
  9.652811e-02    5.101860e-06
  9.682704e-02    5.093238e-06
  9.712597e-02    5.085837e-06
  9.742490e-02    5.059354e-06
  9.772383e-02    5.056710e-06
  9.802276e-02    5.028084e-06
  9.832169e-02    4.995666e-06
  9.862062e-02    4.972816e-06
  9.891956e-02    4.958285e-06
  9.921849e-02    4.965887e-06
  9.951742e-02    4.933871e-06
  9.981635e-02    4.935150e-06
  1.001153e-01    4.907228e-06
  1.004142e-01    4.898268e-06
  1.007131e-01    4.909432e-06
  1.010121e-01    4.911889e-06
  1.013110e-01    4.878422e-06
  1.016099e-01    4.869868e-06
  1.019089e-01    4.853933e-06
  1.022078e-01    4.840328e-06
  1.025067e-01    4.838760e-06
  1.028057e-01    4.844373e-06
  1.031046e-01    4.853837e-06
  1.034035e-01    4.833755e-06
  1.037024e-01    4.825045e-06
  1.040014e-01    4.823075e-06
  1.043003e-01    4.803906e-06
  1.045992e-01    4.784851e-06
  1.048982e-01    4.769264e-06
  1.051971e-01    4.755867e-06
  1.054960e-01    4.741882e-06
