# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 5625416.2
# --> F127_24.500_hexanes_22.050_NaCl_0.000mgml_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.314554e-03
  4.756484e-03    1.799596e-03
  5.055415e-03    1.266813e-03
  5.354345e-03    8.864488e-04
  5.653276e-03    6.771377e-04
  5.952206e-03    1.092338e-03
  6.251136e-03    9.995733e-04
  6.550067e-03    8.707846e-04
  6.848997e-03    7.412221e-04
  7.147927e-03    6.258935e-04
  7.446858e-03    5.344762e-04
  7.745788e-03    4.573775e-04
  8.044719e-03    3.922637e-04
  8.343649e-03    3.424943e-04
  8.642579e-03    3.005039e-04
  8.941510e-03    2.639901e-04
  9.240440e-03    2.331586e-04
  9.539371e-03    2.071863e-04
  9.838301e-03    1.845283e-04
  1.013723e-02    1.643775e-04
  1.043616e-02    1.472002e-04
  1.073509e-02    1.319352e-04
  1.103402e-02    1.198372e-04
  1.133295e-02    1.091053e-04
  1.163188e-02    9.894319e-05
  1.193081e-02    8.992021e-05
  1.222974e-02    8.232048e-05
  1.252867e-02    7.553952e-05
  1.282760e-02    6.946291e-05
  1.312654e-02    6.373945e-05
  1.342547e-02    5.921036e-05
  1.372440e-02    5.487293e-05
  1.402333e-02    5.097201e-05
  1.432226e-02    4.736450e-05
  1.462119e-02    4.412838e-05
  1.492012e-02    4.119671e-05
  1.521905e-02    3.839520e-05
  1.551798e-02    3.593147e-05
  1.581691e-02    3.375102e-05
  1.611584e-02    3.183151e-05
  1.641477e-02    3.008985e-05
  1.671370e-02    2.850109e-05
  1.701263e-02    2.676664e-05
  1.731156e-02    2.526719e-05
  1.761049e-02    2.408579e-05
  1.790942e-02    2.286576e-05
  1.820835e-02    2.176064e-05
  1.850728e-02    2.069359e-05
  1.880621e-02    1.973272e-05
  1.910514e-02    1.908498e-05
  1.940407e-02    1.835010e-05
  1.970300e-02    1.752693e-05
  2.000193e-02    1.678660e-05
  2.030086e-02    1.617243e-05
  2.059979e-02    1.555453e-05
  2.089873e-02    1.504093e-05
  2.119766e-02    1.456120e-05
  2.149659e-02    1.420931e-05
  2.179552e-02    1.376421e-05
  2.209445e-02    1.330623e-05
  2.239338e-02    1.292940e-05
  2.269231e-02    1.253898e-05
  2.299124e-02    1.214565e-05
  2.329017e-02    1.182444e-05
  2.358910e-02    1.147248e-05
  2.388803e-02    1.117368e-05
  2.418696e-02    1.092101e-05
  2.448589e-02    1.069678e-05
  2.478482e-02    1.058171e-05
  2.508375e-02    1.030941e-05
  2.538268e-02    1.012066e-05
  2.568161e-02    9.998852e-06
  2.598054e-02    9.724826e-06
  2.627947e-02    9.562616e-06
  2.657840e-02    9.421828e-06
  2.687733e-02    9.323814e-06
  2.717626e-02    9.163562e-06
  2.747519e-02    8.993665e-06
  2.777412e-02    8.940492e-06
  2.807305e-02    8.842534e-06
  2.837198e-02    8.759424e-06
  2.867092e-02    8.600376e-06
  2.896985e-02    8.425409e-06
  2.926878e-02    8.306841e-06
  2.956771e-02    8.328787e-06
  2.986664e-02    8.226712e-06
  3.016557e-02    8.086258e-06
  3.046450e-02    8.036737e-06
  3.076343e-02    7.948690e-06
  3.106236e-02    7.827931e-06
  3.136129e-02    7.802555e-06
  3.166022e-02    7.719873e-06
  3.195915e-02    7.628407e-06
  3.225808e-02    7.506431e-06
  3.255701e-02    7.531045e-06
  3.285594e-02    7.426965e-06
  3.315487e-02    7.378706e-06
  3.345380e-02    7.341078e-06
  3.375273e-02    7.257852e-06
  3.405166e-02    7.224695e-06
  3.435059e-02    7.083748e-06
  3.464952e-02    6.931480e-06
  3.494845e-02    6.929877e-06
  3.524738e-02    6.861902e-06
  3.554631e-02    6.789644e-06
