# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 6010035.600000001
# --> F127_76.908_hexanes_29.665_EtOH_67.841NaCl_100.000mgml_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.640727e-03
  4.756484e-03    1.316835e-03
  5.055415e-03    9.459700e-04
  5.354345e-03    6.681352e-04
  5.653276e-03    5.228781e-04
  5.952206e-03    8.674004e-04
  6.251136e-03    7.988380e-04
  6.550067e-03    6.989894e-04
  6.848997e-03    5.990096e-04
  7.147927e-03    5.079174e-04
  7.446858e-03    4.328800e-04
  7.745788e-03    3.712008e-04
  8.044719e-03    3.202208e-04
  8.343649e-03    2.794866e-04
  8.642579e-03    2.444468e-04
  8.941510e-03    2.153200e-04
  9.240440e-03    1.901764e-04
  9.539371e-03    1.692001e-04
  9.838301e-03    1.506671e-04
  1.013723e-02    1.351199e-04
  1.043616e-02    1.211764e-04
  1.073509e-02    1.082524e-04
  1.103402e-02    9.810369e-05
  1.133295e-02    8.882496e-05
  1.163188e-02    8.056159e-05
  1.193081e-02    7.368153e-05
  1.222974e-02    6.734204e-05
  1.252867e-02    6.185157e-05
  1.282760e-02    5.684979e-05
  1.312654e-02    5.228673e-05
  1.342547e-02    4.802949e-05
  1.372440e-02    4.422584e-05
  1.402333e-02    4.105417e-05
  1.432226e-02    3.826929e-05
  1.462119e-02    3.552001e-05
  1.492012e-02    3.302136e-05
  1.521905e-02    3.088693e-05
  1.551798e-02    2.906375e-05
  1.581691e-02    2.713801e-05
  1.611584e-02    2.533470e-05
  1.641477e-02    2.399195e-05
  1.671370e-02    2.254335e-05
  1.701263e-02    2.113505e-05
  1.731156e-02    2.008745e-05
  1.761049e-02    1.908001e-05
  1.790942e-02    1.809770e-05
  1.820835e-02    1.705789e-05
  1.850728e-02    1.623844e-05
  1.880621e-02    1.558234e-05
  1.910514e-02    1.488458e-05
  1.940407e-02    1.418426e-05
  1.970300e-02    1.354676e-05
  2.000193e-02    1.294970e-05
  2.030086e-02    1.244701e-05
  2.059979e-02    1.203643e-05
  2.089873e-02    1.168086e-05
  2.119766e-02    1.120651e-05
  2.149659e-02    1.079003e-05
  2.179552e-02    1.040758e-05
  2.209445e-02    1.004907e-05
  2.239338e-02    9.797284e-06
  2.269231e-02    9.503526e-06
  2.299124e-02    9.190506e-06
  2.329017e-02    8.956942e-06
  2.358910e-02    8.632495e-06
  2.388803e-02    8.345724e-06
  2.418696e-02    8.185387e-06
  2.448589e-02    7.965998e-06
  2.478482e-02    7.766122e-06
  2.508375e-02    7.654100e-06
  2.538268e-02    7.469910e-06
  2.568161e-02    7.258177e-06
  2.598054e-02    7.187526e-06
  2.627947e-02    7.056003e-06
  2.657840e-02    6.931467e-06
  2.687733e-02    6.749379e-06
  2.717626e-02    6.609483e-06
  2.747519e-02    6.563713e-06
  2.777412e-02    6.493779e-06
  2.807305e-02    6.425023e-06
  2.837198e-02    6.252030e-06
  2.867092e-02    6.163096e-06
  2.896985e-02    6.112142e-06
  2.926878e-02    6.046192e-06
  2.956771e-02    5.943040e-06
  2.986664e-02    5.774470e-06
  3.016557e-02    5.725326e-06
