# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 12059002.4
# --> F127_80.845_NaCl_0.000_limonene_0.000mgml_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.886346e-03
  4.756484e-03    1.506081e-03
  5.055415e-03    1.102477e-03
  5.354345e-03    7.987192e-04
  5.653276e-03    6.362830e-04
  5.952206e-03    1.027533e-03
  6.251136e-03    9.210269e-04
  6.550067e-03    7.851389e-04
  6.848997e-03    6.593320e-04
  7.147927e-03    5.561224e-04
  7.446858e-03    4.767454e-04
  7.745788e-03    4.113931e-04
  8.044719e-03    3.576070e-04
  8.343649e-03    3.146381e-04
  8.642579e-03    2.776223e-04
  8.941510e-03    2.463172e-04
  9.240440e-03    2.203584e-04
  9.539371e-03    1.977098e-04
  9.838301e-03    1.777915e-04
  1.013723e-02    1.612517e-04
  1.043616e-02    1.467315e-04
  1.073509e-02    1.339280e-04
  1.103402e-02    1.230284e-04
  1.133295e-02    1.133942e-04
  1.163188e-02    1.047063e-04
  1.193081e-02    9.697418e-05
  1.222974e-02    9.029829e-05
  1.252867e-02    8.414740e-05
  1.282760e-02    7.859671e-05
  1.312654e-02    7.356599e-05
  1.342547e-02    6.945323e-05
  1.372440e-02    6.558027e-05
  1.402333e-02    6.191880e-05
  1.432226e-02    5.865957e-05
  1.462119e-02    5.566603e-05
  1.492012e-02    5.306797e-05
  1.521905e-02    5.064398e-05
  1.551798e-02    4.839357e-05
  1.581691e-02    4.635268e-05
  1.611584e-02    4.447783e-05
  1.641477e-02    4.263048e-05
  1.671370e-02    4.105991e-05
  1.701263e-02    3.954001e-05
  1.731156e-02    3.811015e-05
  1.761049e-02    3.685054e-05
  1.790942e-02    3.570686e-05
  1.820835e-02    3.456185e-05
  1.850728e-02    3.346788e-05
  1.880621e-02    3.242485e-05
  1.910514e-02    3.155417e-05
  1.940407e-02    3.066604e-05
  1.970300e-02    2.970817e-05
  2.000193e-02    2.905055e-05
  2.030086e-02    2.840109e-05
  2.059979e-02    2.767331e-05
  2.089873e-02    2.705583e-05
  2.119766e-02    2.638044e-05
  2.149659e-02    2.585662e-05
  2.179552e-02    2.523242e-05
  2.209445e-02    2.455617e-05
  2.239338e-02    2.413916e-05
  2.269231e-02    2.366937e-05
  2.299124e-02    2.304791e-05
  2.329017e-02    2.246654e-05
  2.358910e-02    2.206104e-05
  2.388803e-02    2.170648e-05
  2.418696e-02    2.127646e-05
  2.448589e-02    2.079455e-05
  2.478482e-02    2.042037e-05
  2.508375e-02    2.001257e-05
  2.538268e-02    1.961989e-05
  2.568161e-02    1.920263e-05
  2.598054e-02    1.890982e-05
  2.627947e-02    1.860422e-05
  2.657840e-02    1.826819e-05
  2.687733e-02    1.793940e-05
  2.717626e-02    1.757417e-05
  2.747519e-02    1.724292e-05
  2.777412e-02    1.694198e-05
  2.807305e-02    1.663325e-05
  2.837198e-02    1.634205e-05
  2.867092e-02    1.603841e-05
  2.896985e-02    1.571317e-05
  2.926878e-02    1.543376e-05
  2.956771e-02    1.524422e-05
  2.986664e-02    1.498716e-05
  3.016557e-02    1.473867e-05
  3.046450e-02    1.446460e-05
