# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 49557.490000000005
# --> MT-AL_DowExpt1_220227_01146fe9-c5fe-4e08-be5d-13ccce9ea5a4_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    4.181747e-02
  4.756484e-03    3.255092e-02
  5.055415e-03    2.362848e-02
  5.354345e-03    1.749482e-02
  5.653276e-03    1.373750e-02
  5.952206e-03    2.127418e-02
  6.251136e-03    1.936236e-02
  6.550067e-03    1.690926e-02
  6.848997e-03    1.440954e-02
  7.147927e-03    1.212344e-02
  7.446858e-03    1.035427e-02
  7.745788e-03    8.943998e-03
  8.044719e-03    7.772321e-03
  8.343649e-03    6.806270e-03
  8.642579e-03    5.911383e-03
  8.941510e-03    5.215381e-03
  9.240440e-03    4.633956e-03
  9.539371e-03    4.131254e-03
  9.838301e-03    3.689234e-03
  1.013723e-02    3.300696e-03
  1.043616e-02    2.929072e-03
  1.073509e-02    2.626632e-03
  1.103402e-02    2.374414e-03
  1.133295e-02    2.145501e-03
  1.163188e-02    1.960540e-03
  1.193081e-02    1.801202e-03
  1.222974e-02    1.652437e-03
  1.252867e-02    1.518863e-03
  1.282760e-02    1.400404e-03
  1.312654e-02    1.290529e-03
  1.342547e-02    1.173220e-03
  1.372440e-02    1.083682e-03
  1.402333e-02    1.012324e-03
  1.432226e-02    9.337875e-04
  1.462119e-02    8.725396e-04
  1.492012e-02    8.154275e-04
  1.521905e-02    7.638360e-04
