# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 60023.41
# --> MT-AL_DowExpt1_220227_09b7223b-bd6e-4a1e-91ba-6007efd211f0_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    4.879084e-02
  4.756484e-03    4.006430e-02
  5.055415e-03    3.051522e-02
  5.354345e-03    2.281351e-02
  5.653276e-03    1.857409e-02
  5.952206e-03    3.113001e-02
  6.251136e-03    2.861018e-02
  6.550067e-03    2.492878e-02
  6.848997e-03    2.114365e-02
  7.147927e-03    1.788074e-02
  7.446858e-03    1.527944e-02
  7.745788e-03    1.305759e-02
  8.044719e-03    1.118548e-02
  8.343649e-03    9.747229e-03
  8.642579e-03    8.551127e-03
  8.941510e-03    7.492514e-03
  9.240440e-03    6.610825e-03
  9.539371e-03    5.868794e-03
  9.838301e-03    5.195042e-03
  1.013723e-02    4.629056e-03
  1.043616e-02    4.151454e-03
  1.073509e-02    3.724037e-03
  1.103402e-02    3.373085e-03
  1.133295e-02    3.026339e-03
  1.163188e-02    2.744454e-03
  1.193081e-02    2.495492e-03
  1.222974e-02    2.282150e-03
  1.252867e-02    2.084266e-03
  1.282760e-02    1.929925e-03
  1.312654e-02    1.774922e-03
  1.342547e-02    1.625903e-03
  1.372440e-02    1.498895e-03
  1.402333e-02    1.400356e-03
  1.432226e-02    1.300242e-03
  1.462119e-02    1.207592e-03
  1.492012e-02    1.120329e-03
  1.521905e-02    1.036491e-03
  1.551798e-02    9.640948e-04
  1.581691e-02    8.992653e-04
  1.611584e-02    8.427724e-04
  1.641477e-02    7.934707e-04
  1.671370e-02    7.397736e-04
  1.701263e-02    7.044209e-04
  1.731156e-02    6.667283e-04
  1.761049e-02    6.200218e-04
  1.790942e-02    5.922568e-04
  1.820835e-02    5.576779e-04
  1.850728e-02    5.311050e-04
  1.880621e-02    5.069239e-04
  1.910514e-02    4.799250e-04
  1.940407e-02    4.514662e-04
  1.970300e-02    4.315890e-04
  2.000193e-02    4.098465e-04
  2.030086e-02    3.905623e-04
  2.059979e-02    3.742400e-04
  2.089873e-02    3.611081e-04
  2.119766e-02    3.467331e-04
  2.149659e-02    3.317326e-04
  2.179552e-02    3.199824e-04
  2.209445e-02    3.108196e-04
  2.239338e-02    2.976583e-04
  2.269231e-02    2.847140e-04
  2.299124e-02    2.762667e-04
  2.329017e-02    2.679133e-04
  2.358910e-02    2.579680e-04
  2.388803e-02    2.504265e-04
  2.418696e-02    2.421339e-04
  2.448589e-02    2.372909e-04
  2.478482e-02    2.304681e-04
  2.508375e-02    2.261535e-04
  2.538268e-02    2.217760e-04
  2.568161e-02    2.129408e-04
  2.598054e-02    2.062647e-04
  2.627947e-02    1.995621e-04
  2.657840e-02    1.972511e-04
  2.687733e-02    1.923611e-04
  2.717626e-02    1.874420e-04
  2.747519e-02    1.822625e-04
  2.777412e-02    1.787385e-04
  2.807305e-02    1.789038e-04
  2.837198e-02    1.782998e-04
  2.867092e-02    1.728488e-04
  2.896985e-02    1.675809e-04
  2.926878e-02    1.634073e-04
  2.956771e-02    1.623387e-04
  2.986664e-02    1.609891e-04
  3.016557e-02    1.574604e-04
  3.046450e-02    1.573186e-04
  3.076343e-02    1.576043e-04
  3.106236e-02    1.500850e-04
  3.136129e-02    1.463961e-04
  3.166022e-02    1.460229e-04
  3.195915e-02    1.471416e-04
  3.225808e-02    1.453682e-04
  3.255701e-02    1.435637e-04
  3.285594e-02    1.404670e-04
  3.315487e-02    1.399296e-04
  3.345380e-02    1.359379e-04
  3.375273e-02    1.342802e-04
  3.405166e-02    1.333125e-04
  3.435059e-02    1.328473e-04
  3.464952e-02    1.299037e-04
  3.494845e-02    1.273303e-04
  3.524738e-02    1.252636e-04
  3.554631e-02    1.250950e-04
  3.584524e-02    1.238812e-04
  3.614417e-02    1.206967e-04
  3.644310e-02    1.234006e-04
  3.674204e-02    1.223460e-04
  3.704097e-02    1.213402e-04
  3.733990e-02    1.193926e-04
  3.763883e-02    1.165729e-04
  3.793776e-02    1.157693e-04
  3.823669e-02    1.155752e-04
  3.853562e-02    1.162649e-04
  3.883455e-02    1.162020e-04
  3.913348e-02    1.130257e-04
  3.943241e-02    1.121840e-04
  3.973134e-02    1.130458e-04
  4.003027e-02    1.126834e-04
  4.032920e-02    1.110985e-04
  4.062813e-02    1.089943e-04
  4.092706e-02    1.075313e-04
  4.122599e-02    1.076847e-04
  4.152492e-02    1.118524e-04
  4.182385e-02    1.080005e-04
  4.212278e-02    1.064017e-04
  4.242171e-02    1.070571e-04
  4.272064e-02    1.063669e-04
  4.301957e-02    1.060731e-04
  4.331850e-02    1.069214e-04
  4.361743e-02    1.049516e-04
  4.391636e-02    1.029304e-04
  4.421529e-02    1.050003e-04
  4.451423e-02    1.061264e-04
  4.481316e-02    1.040572e-04
  4.511209e-02    1.042138e-04
  4.541102e-02    1.034017e-04
  4.570995e-02    1.038964e-04
  4.600888e-02    1.036470e-04
  4.630781e-02    1.028908e-04
  4.660674e-02    1.022541e-04
  4.690567e-02    1.031055e-04
  4.720460e-02    1.041382e-04
  4.750353e-02    1.032690e-04
  4.780246e-02    1.024264e-04
  4.810139e-02    1.024736e-04
  4.840032e-02    1.014052e-04
  4.869925e-02    1.023520e-04
  4.899818e-02    1.018573e-04
  4.929711e-02    1.019457e-04
  4.959604e-02    1.036027e-04
  4.989497e-02    1.033181e-04
  5.019390e-02    1.023361e-04
  5.049283e-02    1.023697e-04
  5.079176e-02    1.022040e-04
  5.109069e-02    1.002095e-04
  5.138962e-02    1.036344e-04
  5.168855e-02    1.049635e-04
  5.198748e-02    1.043830e-04
  5.228642e-02    1.030253e-04
