# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 4684.7
# --> MT-AL_DowExpt1_220227_0c75284c-679a-4a3f-9cf4-b2116dad6e31_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    6.289868e-01
  4.756484e-03    5.110520e-01
  5.055415e-03    3.862360e-01
  5.354345e-03    2.854754e-01
  5.653276e-03    2.269349e-01
  5.952206e-03    3.518261e-01
  6.251136e-03    3.182178e-01
  6.550067e-03    2.748748e-01
  6.848997e-03    2.321386e-01
  7.147927e-03    1.960553e-01
  7.446858e-03    1.690935e-01
  7.745788e-03    1.461119e-01
  8.044719e-03    1.261518e-01
  8.343649e-03    1.104855e-01
  8.642579e-03    9.660847e-02
  8.941510e-03    8.530811e-02
  9.240440e-03    7.598031e-02
  9.539371e-03    6.741872e-02
  9.838301e-03    6.031384e-02
  1.013723e-02    5.409415e-02
  1.043616e-02    4.859233e-02
  1.073509e-02    4.375192e-02
  1.103402e-02    3.958214e-02
  1.133295e-02    3.584059e-02
  1.163188e-02    3.262808e-02
  1.193081e-02    2.977224e-02
  1.222974e-02    2.723485e-02
  1.252867e-02    2.495931e-02
  1.282760e-02    2.288143e-02
  1.312654e-02    2.122278e-02
  1.342547e-02    1.968707e-02
  1.372440e-02    1.800716e-02
  1.402333e-02    1.685984e-02
  1.432226e-02    1.562614e-02
  1.462119e-02    1.449904e-02
  1.492012e-02    1.359101e-02
  1.521905e-02    1.256016e-02
  1.551798e-02    1.173209e-02
  1.581691e-02    1.106270e-02
  1.611584e-02    1.036384e-02
  1.641477e-02    9.783662e-03
  1.671370e-02    9.117928e-03
  1.701263e-02    8.572695e-03
  1.731156e-02    8.074027e-03
  1.761049e-02    7.776060e-03
  1.790942e-02    7.351482e-03
  1.820835e-02    6.965489e-03
  1.850728e-02    6.609536e-03
  1.880621e-02    6.297547e-03
  1.910514e-02    6.069613e-03
  1.940407e-02    5.770083e-03
  1.970300e-02    5.534769e-03
  2.000193e-02    5.251686e-03
  2.030086e-02    5.018629e-03
  2.059979e-02    4.865556e-03
  2.089873e-02    4.738110e-03
  2.119766e-02    4.526813e-03
  2.149659e-02    4.348463e-03
  2.179552e-02    4.258698e-03
  2.209445e-02    4.103045e-03
  2.239338e-02    3.963342e-03
  2.269231e-02    3.847514e-03
  2.299124e-02    3.727202e-03
  2.329017e-02    3.601158e-03
  2.358910e-02    3.592105e-03
  2.388803e-02    3.468205e-03
  2.418696e-02    3.380994e-03
  2.448589e-02    3.302763e-03
  2.478482e-02    3.199066e-03
  2.508375e-02    3.098346e-03
  2.538268e-02    3.019339e-03
  2.568161e-02    3.054285e-03
  2.598054e-02    2.978888e-03
  2.627947e-02    2.844513e-03
  2.657840e-02    2.834663e-03
  2.687733e-02    2.762457e-03
  2.717626e-02    2.659088e-03
  2.747519e-02    2.635761e-03
  2.777412e-02    2.613933e-03
  2.807305e-02    2.576556e-03
  2.837198e-02    2.531999e-03
  2.867092e-02    2.471672e-03
  2.896985e-02    2.419857e-03
  2.926878e-02    2.410007e-03
  2.956771e-02    2.396675e-03
  2.986664e-02    2.421504e-03
