# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 70228.63
# --> MT-AL_DowExpt1_220227_1abf699d-2c94-4f19-b1ad-a3067eec5faf_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    3.055116e-02
  4.756484e-03    2.401128e-02
  5.055415e-03    1.723151e-02
  5.354345e-03    1.236620e-02
  5.653276e-03    9.622850e-03
  5.952206e-03    1.547021e-02
  6.251136e-03    1.400427e-02
  6.550067e-03    1.202386e-02
  6.848997e-03    1.018902e-02
  7.147927e-03    8.627570e-03
  7.446858e-03    7.311887e-03
  7.745788e-03    6.305305e-03
  8.044719e-03    5.437428e-03
  8.343649e-03    4.720127e-03
  8.642579e-03    4.114591e-03
  8.941510e-03    3.623748e-03
  9.240440e-03    3.220425e-03
  9.539371e-03    2.858509e-03
  9.838301e-03    2.546471e-03
  1.013723e-02    2.269398e-03
  1.043616e-02    2.058698e-03
  1.073509e-02    1.843670e-03
  1.103402e-02    1.655762e-03
  1.133295e-02    1.510816e-03
  1.163188e-02    1.379346e-03
  1.193081e-02    1.251367e-03
  1.222974e-02    1.134534e-03
  1.252867e-02    1.058108e-03
  1.282760e-02    9.796333e-04
  1.312654e-02    8.932800e-04
  1.342547e-02    8.310632e-04
  1.372440e-02    7.621502e-04
  1.402333e-02    7.112277e-04
  1.432226e-02    6.706977e-04
  1.462119e-02    6.187313e-04
  1.492012e-02    5.753881e-04
  1.521905e-02    5.345293e-04
  1.551798e-02    5.034742e-04
  1.581691e-02    4.734776e-04
  1.611584e-02    4.431111e-04
  1.641477e-02    4.150450e-04
  1.671370e-02    3.904702e-04
  1.701263e-02    3.799486e-04
  1.731156e-02    3.598133e-04
  1.761049e-02    3.355910e-04
  1.790942e-02    3.204536e-04
  1.820835e-02    3.095695e-04
  1.850728e-02    2.946314e-04
  1.880621e-02    2.771877e-04
  1.910514e-02    2.707782e-04
  1.940407e-02    2.568666e-04
  1.970300e-02    2.463899e-04
  2.000193e-02    2.361994e-04
  2.030086e-02    2.236744e-04
  2.059979e-02    2.189034e-04
  2.089873e-02    2.125934e-04
  2.119766e-02    2.035018e-04
  2.149659e-02    1.987132e-04
  2.179552e-02    1.924470e-04
  2.209445e-02    1.851565e-04
  2.239338e-02    1.793339e-04
  2.269231e-02    1.766891e-04
  2.299124e-02    1.718315e-04
  2.329017e-02    1.679523e-04
  2.358910e-02    1.610266e-04
  2.388803e-02    1.551860e-04
  2.418696e-02    1.548654e-04
  2.448589e-02    1.513142e-04
  2.478482e-02    1.449717e-04
  2.508375e-02    1.431257e-04
  2.538268e-02    1.433480e-04
  2.568161e-02    1.376974e-04
  2.598054e-02    1.332032e-04
  2.627947e-02    1.315961e-04
  2.657840e-02    1.329193e-04
  2.687733e-02    1.308576e-04
  2.717626e-02    1.283443e-04
  2.747519e-02    1.254402e-04
  2.777412e-02    1.234493e-04
  2.807305e-02    1.213634e-04
  2.837198e-02    1.211180e-04
  2.867092e-02    1.195592e-04
  2.896985e-02    1.163863e-04
  2.926878e-02    1.156646e-04
  2.956771e-02    1.126127e-04
  2.986664e-02    1.103847e-04
  3.016557e-02    1.083324e-04
  3.046450e-02    1.069209e-04
  3.076343e-02    1.049319e-04
  3.106236e-02    1.041595e-04
  3.136129e-02    1.054351e-04
  3.166022e-02    1.057374e-04
  3.195915e-02    1.015853e-04
  3.225808e-02    1.005095e-04
  3.255701e-02    1.016774e-04
  3.285594e-02    1.001395e-04
  3.315487e-02    9.916080e-05
  3.345380e-02    9.933457e-05
  3.375273e-02    9.945533e-05
  3.405166e-02    9.709972e-05
  3.435059e-02    9.746248e-05
  3.464952e-02    9.781860e-05
  3.494845e-02    9.578033e-05
  3.524738e-02    9.512016e-05
  3.554631e-02    9.604055e-05
  3.584524e-02    9.220999e-05
  3.614417e-02    9.189051e-05
  3.644310e-02    9.075582e-05
  3.674204e-02    9.067077e-05
  3.704097e-02    8.996296e-05
  3.733990e-02    9.013264e-05
  3.763883e-02    8.885870e-05
  3.793776e-02    8.775635e-05
  3.823669e-02    8.902574e-05
  3.853562e-02    8.870327e-05
  3.883455e-02    8.797389e-05
  3.913348e-02    8.591599e-05
  3.943241e-02    8.717212e-05
  3.973134e-02    8.560349e-05
  4.003027e-02    8.566974e-05
  4.032920e-02    8.541549e-05
