# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 33582.11
# --> MT-AL_DowExpt1_220227_22bcedb4-ea5b-4267-a0b7-a2f1a7ede658_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    3.222435e-02
  4.756484e-03    2.514273e-02
  5.055415e-03    1.760665e-02
  5.354345e-03    1.244499e-02
  5.653276e-03    9.614708e-03
  5.952206e-03    1.560400e-02
  6.251136e-03    1.431811e-02
  6.550067e-03    1.245554e-02
  6.848997e-03    1.060517e-02
  7.147927e-03    8.925603e-03
  7.446858e-03    7.682052e-03
  7.745788e-03    6.579377e-03
  8.044719e-03    5.647690e-03
  8.343649e-03    4.903817e-03
  8.642579e-03    4.260573e-03
  8.941510e-03    3.751619e-03
  9.240440e-03    3.310709e-03
  9.539371e-03    2.927619e-03
  9.838301e-03    2.619751e-03
  1.013723e-02    2.346959e-03
  1.043616e-02    2.109365e-03
  1.073509e-02    1.906331e-03
  1.103402e-02    1.723375e-03
  1.133295e-02    1.568146e-03
  1.163188e-02    1.421616e-03
  1.193081e-02    1.308028e-03
  1.222974e-02    1.195039e-03
  1.252867e-02    1.084088e-03
  1.282760e-02    1.002513e-03
  1.312654e-02    9.142443e-04
  1.342547e-02    8.459260e-04
  1.372440e-02    7.886562e-04
  1.402333e-02    7.273571e-04
  1.432226e-02    6.711311e-04
  1.462119e-02    6.256773e-04
  1.492012e-02    5.909047e-04
  1.521905e-02    5.386772e-04
  1.551798e-02    5.018542e-04
  1.581691e-02    4.657165e-04
  1.611584e-02    4.444877e-04
  1.641477e-02    4.264652e-04
  1.671370e-02    4.015617e-04
  1.701263e-02    3.781658e-04
  1.731156e-02    3.522080e-04
  1.761049e-02    3.367900e-04
  1.790942e-02    3.180810e-04
  1.820835e-02    3.003141e-04
  1.850728e-02    2.978247e-04
  1.880621e-02    2.867066e-04
  1.910514e-02    2.724519e-04
  1.940407e-02    2.613828e-04
  1.970300e-02    2.431598e-04
  2.000193e-02    2.349917e-04
  2.030086e-02    2.283890e-04
  2.059979e-02    2.165378e-04
  2.089873e-02    2.080334e-04
  2.119766e-02    2.051913e-04
  2.149659e-02    2.025182e-04
  2.179552e-02    1.948505e-04
  2.209445e-02    1.849683e-04
  2.239338e-02    1.749105e-04
  2.269231e-02    1.722216e-04
  2.299124e-02    1.676826e-04
  2.329017e-02    1.632305e-04
  2.358910e-02    1.574629e-04
  2.388803e-02    1.514351e-04
  2.418696e-02    1.501231e-04
  2.448589e-02    1.473772e-04
  2.478482e-02    1.444132e-04
  2.508375e-02    1.444315e-04
  2.538268e-02    1.391093e-04
  2.568161e-02    1.373523e-04
  2.598054e-02    1.330247e-04
  2.627947e-02    1.292870e-04
  2.657840e-02    1.276240e-04
  2.687733e-02    1.300328e-04
  2.717626e-02    1.271289e-04
  2.747519e-02    1.207917e-04
  2.777412e-02    1.162113e-04
  2.807305e-02    1.161693e-04
  2.837198e-02    1.146167e-04
  2.867092e-02    1.136524e-04
  2.896985e-02    1.114314e-04
  2.926878e-02    1.106668e-04
  2.956771e-02    1.120084e-04
  2.986664e-02    1.115803e-04
  3.016557e-02    1.065073e-04
  3.046450e-02    1.050134e-04
  3.076343e-02    1.057035e-04
  3.106236e-02    1.068423e-04
  3.136129e-02    1.048403e-04
  3.166022e-02    1.037986e-04
  3.195915e-02    1.025910e-04
  3.225808e-02    1.019119e-04
  3.255701e-02    9.983479e-05
  3.285594e-02    9.953282e-05
  3.315487e-02    9.487371e-05
  3.345380e-02    9.254329e-05
