# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 10569.41
# --> MT-AL_DowExpt1_220227_320f43e3-819e-40b5-bfad-004d1d11ab96_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    5.511316e-02
  4.756484e-03    4.499389e-02
  5.055415e-03    3.180201e-02
  5.354345e-03    2.201902e-02
  5.653276e-03    1.808229e-02
  5.952206e-03    3.195093e-02
  6.251136e-03    2.920611e-02
  6.550067e-03    2.558533e-02
  6.848997e-03    2.178007e-02
  7.147927e-03    1.831479e-02
  7.446858e-03    1.549395e-02
  7.745788e-03    1.317787e-02
  8.044719e-03    1.125683e-02
  8.343649e-03    9.809819e-03
  8.642579e-03    8.633905e-03
  8.941510e-03    7.604769e-03
  9.240440e-03    6.725687e-03
  9.539371e-03    5.918611e-03
  9.838301e-03    5.325189e-03
  1.013723e-02    4.804645e-03
  1.043616e-02    4.265390e-03
  1.073509e-02    3.773369e-03
  1.103402e-02    3.368118e-03
  1.133295e-02    3.040856e-03
  1.163188e-02    2.733848e-03
  1.193081e-02    2.509984e-03
  1.222974e-02    2.274963e-03
  1.252867e-02    2.100366e-03
  1.282760e-02    1.946506e-03
  1.312654e-02    1.755743e-03
  1.342547e-02    1.616307e-03
  1.372440e-02    1.490896e-03
  1.402333e-02    1.395531e-03
  1.432226e-02    1.296194e-03
  1.462119e-02    1.187191e-03
  1.492012e-02    1.095676e-03
  1.521905e-02    1.027224e-03
  1.551798e-02    9.678412e-04
  1.581691e-02    8.824212e-04
  1.611584e-02    8.392381e-04
  1.641477e-02    7.906009e-04
  1.671370e-02    7.437407e-04
  1.701263e-02    7.238625e-04
  1.731156e-02    6.872753e-04
  1.761049e-02    6.257168e-04
  1.790942e-02    5.973444e-04
  1.820835e-02    5.715674e-04
  1.850728e-02    5.301698e-04
  1.880621e-02    5.061802e-04
  1.910514e-02    4.854405e-04
  1.940407e-02    4.549458e-04
  1.970300e-02    4.305867e-04
  2.000193e-02    4.165104e-04
  2.030086e-02    3.969015e-04
  2.059979e-02    3.851910e-04
  2.089873e-02    3.705797e-04
  2.119766e-02    3.479053e-04
  2.149659e-02    3.194677e-04
  2.179552e-02    3.039021e-04
  2.209445e-02    3.005169e-04
  2.239338e-02    2.993919e-04
  2.269231e-02    2.789936e-04
  2.299124e-02    2.656616e-04
  2.329017e-02    2.593460e-04
  2.358910e-02    2.566220e-04
  2.388803e-02    2.501089e-04
  2.418696e-02    2.447194e-04
  2.448589e-02    2.353484e-04
  2.478482e-02    2.285021e-04
  2.508375e-02    2.228653e-04
  2.538268e-02    2.221688e-04
  2.568161e-02    2.195782e-04
  2.598054e-02    2.029255e-04
  2.627947e-02    1.993112e-04
  2.657840e-02    2.028007e-04
  2.687733e-02    1.968563e-04
  2.717626e-02    1.949825e-04
