# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 76423.81
# --> MT-AL_DowExpt1_220227_3c4869d4-2145-4f5c-8bad-739e86bce49b_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    4.013715e-02
  4.756484e-03    3.319421e-02
  5.055415e-03    2.525199e-02
  5.354345e-03    1.884772e-02
  5.653276e-03    1.523120e-02
  5.952206e-03    2.457285e-02
  6.251136e-03    2.239892e-02
  6.550067e-03    1.935154e-02
  6.848997e-03    1.638858e-02
  7.147927e-03    1.385963e-02
  7.446858e-03    1.188106e-02
  7.745788e-03    1.026906e-02
  8.044719e-03    8.878585e-03
  8.343649e-03    7.761356e-03
  8.642579e-03    6.787139e-03
  8.941510e-03    6.012752e-03
  9.240440e-03    5.349491e-03
  9.539371e-03    4.748406e-03
  9.838301e-03    4.237485e-03
  1.013723e-02    3.795109e-03
  1.043616e-02    3.396019e-03
  1.073509e-02    3.059223e-03
  1.103402e-02    2.769053e-03
  1.133295e-02    2.493081e-03
  1.163188e-02    2.273014e-03
  1.193081e-02    2.076451e-03
  1.222974e-02    1.889118e-03
  1.252867e-02    1.740430e-03
  1.282760e-02    1.610891e-03
  1.312654e-02    1.483413e-03
  1.342547e-02    1.365983e-03
  1.372440e-02    1.255317e-03
  1.402333e-02    1.165841e-03
  1.432226e-02    1.077429e-03
  1.462119e-02    1.009642e-03
  1.492012e-02    9.505263e-04
  1.521905e-02    8.807298e-04
  1.551798e-02    8.123518e-04
  1.581691e-02    7.635705e-04
  1.611584e-02    7.172493e-04
  1.641477e-02    6.763330e-04
  1.671370e-02    6.315380e-04
  1.701263e-02    5.960396e-04
  1.731156e-02    5.701163e-04
  1.761049e-02    5.354470e-04
  1.790942e-02    5.099947e-04
  1.820835e-02    4.782962e-04
  1.850728e-02    4.562485e-04
  1.880621e-02    4.364037e-04
  1.910514e-02    4.177440e-04
  1.940407e-02    4.012995e-04
  1.970300e-02    3.835527e-04
  2.000193e-02    3.653402e-04
  2.030086e-02    3.487813e-04
  2.059979e-02    3.323431e-04
  2.089873e-02    3.153183e-04
  2.119766e-02    3.049414e-04
  2.149659e-02    2.950141e-04
  2.179552e-02    2.862068e-04
  2.209445e-02    2.773368e-04
  2.239338e-02    2.683887e-04
  2.269231e-02    2.549337e-04
  2.299124e-02    2.483086e-04
  2.329017e-02    2.403425e-04
  2.358910e-02    2.321620e-04
  2.388803e-02    2.270133e-04
  2.418696e-02    2.198050e-04
  2.448589e-02    2.138847e-04
  2.478482e-02    2.113008e-04
  2.508375e-02    2.044643e-04
  2.538268e-02    2.009358e-04
  2.568161e-02    1.938451e-04
  2.598054e-02    1.920720e-04
  2.627947e-02    1.876292e-04
  2.657840e-02    1.819881e-04
  2.687733e-02    1.808348e-04
  2.717626e-02    1.765014e-04
  2.747519e-02    1.713376e-04
  2.777412e-02    1.686845e-04
