# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 15407.37
# --> MT-AL_DowExpt1_220227_736cd135-a80e-4d48-adb9-fadcb03f207b_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    5.051572e-02
  4.756484e-03    4.048702e-02
  5.055415e-03    2.845704e-02
  5.354345e-03    2.010670e-02
  5.653276e-03    1.570519e-02
  5.952206e-03    2.708319e-02
  6.251136e-03    2.486035e-02
  6.550067e-03    2.142702e-02
  6.848997e-03    1.824514e-02
  7.147927e-03    1.530083e-02
  7.446858e-03    1.298463e-02
  7.745788e-03    1.103410e-02
  8.044719e-03    9.384021e-03
  8.343649e-03    8.094179e-03
  8.642579e-03    7.068302e-03
  8.941510e-03    6.184732e-03
  9.240440e-03    5.431723e-03
  9.539371e-03    4.831046e-03
  9.838301e-03    4.314674e-03
  1.013723e-02    3.840698e-03
  1.043616e-02    3.378803e-03
  1.073509e-02    3.027041e-03
  1.103402e-02    2.696516e-03
  1.133295e-02    2.458712e-03
  1.163188e-02    2.233058e-03
  1.193081e-02    2.066436e-03
  1.222974e-02    1.861772e-03
  1.252867e-02    1.686281e-03
  1.282760e-02    1.537337e-03
  1.312654e-02    1.402138e-03
  1.342547e-02    1.322685e-03
  1.372440e-02    1.240866e-03
  1.402333e-02    1.122261e-03
  1.432226e-02    1.037950e-03
  1.462119e-02    9.765419e-04
  1.492012e-02    9.052633e-04
  1.521905e-02    8.378205e-04
  1.551798e-02    7.749209e-04
  1.581691e-02    7.237541e-04
  1.611584e-02    6.764647e-04
  1.641477e-02    6.341254e-04
  1.671370e-02    6.128600e-04
  1.701263e-02    5.709615e-04
  1.731156e-02    5.408468e-04
  1.761049e-02    5.088600e-04
  1.790942e-02    4.765666e-04
  1.820835e-02    4.503303e-04
  1.850728e-02    4.270984e-04
  1.880621e-02    4.129524e-04
  1.910514e-02    3.968432e-04
  1.940407e-02    3.914007e-04
  1.970300e-02    3.769532e-04
  2.000193e-02    3.554015e-04
  2.030086e-02    3.301493e-04
  2.059979e-02    3.105497e-04
  2.089873e-02    3.073512e-04
  2.119766e-02    2.926012e-04
  2.149659e-02    2.819022e-04
  2.179552e-02    2.781621e-04
  2.209445e-02    2.617179e-04
  2.239338e-02    2.487419e-04
  2.269231e-02    2.461092e-04
  2.299124e-02    2.387299e-04
  2.329017e-02    2.282162e-04
  2.358910e-02    2.232089e-04
  2.388803e-02    2.220889e-04
  2.418696e-02    2.206870e-04
  2.448589e-02    2.042844e-04
  2.478482e-02    2.003034e-04
  2.508375e-02    1.994196e-04
  2.538268e-02    1.949675e-04
  2.568161e-02    1.846055e-04
  2.598054e-02    1.818160e-04
  2.627947e-02    1.874254e-04
  2.657840e-02    1.843727e-04
  2.687733e-02    1.823146e-04
  2.717626e-02    1.740205e-04
  2.747519e-02    1.687120e-04
  2.777412e-02    1.659820e-04
  2.807305e-02    1.592699e-04
  2.837198e-02    1.622745e-04
  2.867092e-02    1.593629e-04
  2.896985e-02    1.592326e-04
  2.926878e-02    1.609171e-04
  2.956771e-02    1.497120e-04
  2.986664e-02    1.472746e-04
  3.016557e-02    1.475683e-04
  3.046450e-02    1.473313e-04
  3.076343e-02    1.538707e-04
  3.106236e-02    1.542966e-04
  3.136129e-02    1.454339e-04
  3.166022e-02    1.408735e-04
  3.195915e-02    1.423645e-04
  3.225808e-02    1.368500e-04
  3.255701e-02    1.420621e-04
  3.285594e-02    1.391277e-04
  3.315487e-02    1.310170e-04
  3.345380e-02    1.309979e-04
  3.375273e-02    1.275689e-04
  3.405166e-02    1.312082e-04
  3.435059e-02    1.273671e-04
  3.464952e-02    1.224049e-04
  3.494845e-02    1.248333e-04
  3.524738e-02    1.268736e-04
  3.554631e-02    1.247531e-04
  3.584524e-02    1.206199e-04
  3.614417e-02    1.214851e-04
  3.644310e-02    1.252870e-04
  3.674204e-02    1.247006e-04
  3.704097e-02    1.177362e-04
  3.733990e-02    1.104596e-04
  3.763883e-02    1.101837e-04
  3.793776e-02    1.124717e-04
  3.823669e-02    1.103868e-04
  3.853562e-02    1.112972e-04
  3.883455e-02    1.150569e-04
  3.913348e-02    1.091827e-04
  3.943241e-02    1.089959e-04
  3.973134e-02    1.133482e-04
  4.003027e-02    1.087261e-04
  4.032920e-02    1.052330e-04
  4.062813e-02    1.089603e-04
  4.092706e-02    1.100152e-04
  4.122599e-02    1.083643e-04
  4.152492e-02    1.108633e-04
  4.182385e-02    1.085312e-04
  4.212278e-02    1.047894e-04
  4.242171e-02    1.031960e-04
  4.272064e-02    1.012374e-04
  4.301957e-02    1.028286e-04
  4.331850e-02    1.036697e-04
  4.361743e-02    9.833931e-05
  4.391636e-02    9.925820e-05
  4.421529e-02    9.980669e-05
  4.451423e-02    9.899371e-05
  4.481316e-02    9.691747e-05
  4.511209e-02    1.000619e-04
  4.541102e-02    9.921173e-05
  4.570995e-02    9.830560e-05
  4.600888e-02    9.890511e-05
  4.630781e-02    9.434728e-05
  4.660674e-02    9.903251e-05
  4.690567e-02    9.972887e-05
  4.720460e-02    1.006904e-04
  4.750353e-02    1.011538e-04
  4.780246e-02    1.025739e-04
  4.810139e-02    1.006951e-04
  4.840032e-02    9.795798e-05
  4.869925e-02    1.014534e-04
