# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 78506.25
# --> MT-AL_DowExpt1_220227_797693af-0bb0-4d68-b2c8-2a5ef8ea2ed0_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    3.580622e-02
  4.756484e-03    2.912353e-02
  5.055415e-03    2.174722e-02
  5.354345e-03    1.584332e-02
  5.653276e-03    1.267462e-02
  5.952206e-03    2.089940e-02
  6.251136e-03    1.880974e-02
  6.550067e-03    1.601052e-02
  6.848997e-03    1.353813e-02
  7.147927e-03    1.141324e-02
  7.446858e-03    9.687585e-03
  7.745788e-03    8.365255e-03
  8.044719e-03    7.209594e-03
  8.343649e-03    6.237182e-03
  8.642579e-03    5.422601e-03
  8.941510e-03    4.783730e-03
  9.240440e-03    4.246441e-03
  9.539371e-03    3.773650e-03
  9.838301e-03    3.354609e-03
  1.013723e-02    3.005174e-03
  1.043616e-02    2.684251e-03
  1.073509e-02    2.421106e-03
  1.103402e-02    2.202488e-03
  1.133295e-02    1.984050e-03
  1.163188e-02    1.798841e-03
  1.193081e-02    1.651709e-03
  1.222974e-02    1.515733e-03
  1.252867e-02    1.377888e-03
  1.282760e-02    1.270470e-03
  1.312654e-02    1.182408e-03
  1.342547e-02    1.085208e-03
  1.372440e-02    9.979636e-04
  1.402333e-02    9.356814e-04
  1.432226e-02    8.678911e-04
  1.462119e-02    8.082168e-04
  1.492012e-02    7.585552e-04
  1.521905e-02    7.055124e-04
  1.551798e-02    6.583599e-04
  1.581691e-02    6.135211e-04
  1.611584e-02    5.852035e-04
  1.641477e-02    5.508398e-04
  1.671370e-02    5.175652e-04
  1.701263e-02    4.912799e-04
  1.731156e-02    4.659799e-04
  1.761049e-02    4.363894e-04
  1.790942e-02    4.112146e-04
  1.820835e-02    3.939179e-04
  1.850728e-02    3.761363e-04
  1.880621e-02    3.564425e-04
  1.910514e-02    3.437524e-04
  1.940407e-02    3.338997e-04
  1.970300e-02    3.157178e-04
  2.000193e-02    2.998018e-04
  2.030086e-02    2.924036e-04
  2.059979e-02    2.811326e-04
  2.089873e-02    2.677877e-04
  2.119766e-02    2.547629e-04
