# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 36923.020000000004
# --> MT-AL_DowExpt1_220227_88a1b1c6-e2b1-43a9-9a5f-6e6bb53063e6_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    4.194153e-02
  4.756484e-03    3.403750e-02
  5.055415e-03    2.467016e-02
  5.354345e-03    1.756777e-02
  5.653276e-03    1.372440e-02
  5.952206e-03    2.225694e-02
  6.251136e-03    2.031774e-02
  6.550067e-03    1.761381e-02
  6.848997e-03    1.491742e-02
  7.147927e-03    1.265191e-02
  7.446858e-03    1.075207e-02
  7.745788e-03    9.216318e-03
  8.044719e-03    7.967218e-03
  8.343649e-03    6.920091e-03
  8.642579e-03    6.024397e-03
  8.941510e-03    5.320803e-03
  9.240440e-03    4.708888e-03
  9.539371e-03    4.142411e-03
  9.838301e-03    3.662460e-03
  1.013723e-02    3.309224e-03
  1.043616e-02    2.974620e-03
  1.073509e-02    2.662548e-03
  1.103402e-02    2.400091e-03
  1.133295e-02    2.185494e-03
  1.163188e-02    1.985413e-03
  1.193081e-02    1.796494e-03
  1.222974e-02    1.640444e-03
  1.252867e-02    1.503491e-03
  1.282760e-02    1.390441e-03
  1.312654e-02    1.287920e-03
  1.342547e-02    1.182764e-03
  1.372440e-02    1.085122e-03
  1.402333e-02    1.006500e-03
  1.432226e-02    9.369865e-04
  1.462119e-02    8.631742e-04
  1.492012e-02    7.997152e-04
  1.521905e-02    7.418287e-04
  1.551798e-02    7.020903e-04
  1.581691e-02    6.654363e-04
  1.611584e-02    6.242355e-04
  1.641477e-02    5.876250e-04
  1.671370e-02    5.542596e-04
  1.701263e-02    5.204404e-04
  1.731156e-02    4.965787e-04
  1.761049e-02    4.643218e-04
