# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 42464.87000000001
# --> MT-AL_DowExpt1_220227_8fdd133c-6263-4777-b93e-ceaa60173c9a_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    4.275291e-02
  4.756484e-03    3.378043e-02
  5.055415e-03    2.504251e-02
  5.354345e-03    1.856186e-02
  5.653276e-03    1.453673e-02
  5.952206e-03    2.288627e-02
  6.251136e-03    2.118652e-02
  6.550067e-03    1.852559e-02
  6.848997e-03    1.570342e-02
  7.147927e-03    1.345051e-02
  7.446858e-03    1.149783e-02
  7.745788e-03    9.913975e-03
  8.044719e-03    8.558829e-03
  8.343649e-03    7.454256e-03
  8.642579e-03    6.584594e-03
  8.941510e-03    5.791859e-03
  9.240440e-03    5.184198e-03
  9.539371e-03    4.608924e-03
  9.838301e-03    4.072352e-03
  1.013723e-02    3.652930e-03
  1.043616e-02    3.314470e-03
  1.073509e-02    2.966290e-03
  1.103402e-02    2.674687e-03
  1.133295e-02    2.441284e-03
  1.163188e-02    2.215060e-03
  1.193081e-02    2.004094e-03
  1.222974e-02    1.839679e-03
  1.252867e-02    1.693411e-03
  1.282760e-02    1.562754e-03
  1.312654e-02    1.438293e-03
  1.342547e-02    1.324783e-03
  1.372440e-02    1.225586e-03
  1.402333e-02    1.137113e-03
  1.432226e-02    1.055771e-03
  1.462119e-02    9.734110e-04
  1.492012e-02    9.085645e-04
  1.521905e-02    8.562484e-04
  1.551798e-02    7.986899e-04
  1.581691e-02    7.366955e-04
  1.611584e-02    6.939738e-04
  1.641477e-02    6.497528e-04
  1.671370e-02    6.078072e-04
  1.701263e-02    5.758855e-04
  1.731156e-02    5.588279e-04
  1.761049e-02    5.288242e-04
  1.790942e-02    4.954714e-04
  1.820835e-02    4.720295e-04
  1.850728e-02    4.469901e-04
  1.880621e-02    4.210421e-04
  1.910514e-02    4.020782e-04
  1.940407e-02    3.903382e-04
  1.970300e-02    3.713189e-04
  2.000193e-02    3.573505e-04
  2.030086e-02    3.391458e-04
  2.059979e-02    3.254180e-04
  2.089873e-02    3.145798e-04
  2.119766e-02    3.051708e-04
  2.149659e-02    2.926688e-04
  2.179552e-02    2.798374e-04
  2.209445e-02    2.706833e-04
  2.239338e-02    2.600138e-04
  2.269231e-02    2.453563e-04
  2.299124e-02    2.418929e-04
  2.329017e-02    2.404672e-04
  2.358910e-02    2.354142e-04
  2.388803e-02    2.270245e-04
  2.418696e-02    2.168783e-04
  2.448589e-02    2.123839e-04
  2.478482e-02    2.030056e-04
  2.508375e-02    1.983700e-04
  2.538268e-02    1.990086e-04
  2.568161e-02    1.935473e-04
  2.598054e-02    1.890565e-04
  2.627947e-02    1.870468e-04
  2.657840e-02    1.815386e-04
  2.687733e-02    1.795955e-04
  2.717626e-02    1.793342e-04
  2.747519e-02    1.711266e-04
  2.777412e-02    1.666034e-04
  2.807305e-02    1.642352e-04
  2.837198e-02    1.641345e-04
  2.867092e-02    1.625035e-04
  2.896985e-02    1.537484e-04
  2.926878e-02    1.533687e-04
  2.956771e-02    1.534961e-04
  2.986664e-02    1.511166e-04
  3.016557e-02    1.510952e-04
  3.046450e-02    1.525054e-04
  3.076343e-02    1.481744e-04
  3.106236e-02    1.445307e-04
  3.136129e-02    1.443707e-04
  3.166022e-02    1.395086e-04
  3.195915e-02    1.363461e-04
  3.225808e-02    1.343413e-04
  3.255701e-02    1.327085e-04
  3.285594e-02    1.338034e-04
  3.315487e-02    1.318793e-04
  3.345380e-02    1.295840e-04
  3.375273e-02    1.290057e-04
  3.405166e-02    1.276213e-04
  3.435059e-02    1.266619e-04
  3.464952e-02    1.276313e-04
  3.494845e-02    1.248356e-04
  3.524738e-02    1.236407e-04
  3.554631e-02    1.276580e-04
  3.584524e-02    1.224999e-04
  3.614417e-02    1.198986e-04
  3.644310e-02    1.189192e-04
  3.674204e-02    1.169386e-04
  3.704097e-02    1.156700e-04
  3.733990e-02    1.153990e-04
  3.763883e-02    1.167982e-04
  3.793776e-02    1.131440e-04
  3.823669e-02    1.095807e-04
  3.853562e-02    1.112145e-04
  3.883455e-02    1.136306e-04
  3.913348e-02    1.116163e-04
  3.943241e-02    1.095215e-04
  3.973134e-02    1.108283e-04
  4.003027e-02    1.097794e-04
  4.032920e-02    1.063706e-04
  4.062813e-02    1.078779e-04
  4.092706e-02    1.081489e-04
  4.122599e-02    1.071248e-04
  4.152492e-02    1.052107e-04
  4.182385e-02    1.065305e-04
  4.212278e-02    1.074847e-04
  4.242171e-02    1.071491e-04
  4.272064e-02    1.044740e-04
  4.301957e-02    1.061373e-04
  4.331850e-02    1.100964e-04
  4.361743e-02    1.079152e-04
  4.391636e-02    1.059398e-04
  4.421529e-02    1.053835e-04
  4.451423e-02    1.057103e-04
  4.481316e-02    1.056656e-04
  4.511209e-02    1.024615e-04
  4.541102e-02    1.015392e-04
  4.570995e-02    1.047268e-04
  4.600888e-02    1.026010e-04
  4.630781e-02    1.016184e-04
  4.660674e-02    1.010678e-04
  4.690567e-02    1.030821e-04
  4.720460e-02    1.047735e-04
  4.750353e-02    1.067045e-04
  4.780246e-02    1.058964e-04
  4.810139e-02    1.023716e-04
  4.840032e-02    1.030144e-04
  4.869925e-02    1.025238e-04
  4.899818e-02    1.018445e-04
  4.929711e-02    1.017170e-04
  4.959604e-02    1.039666e-04
  4.989497e-02    1.041857e-04
  5.019390e-02    1.017820e-04
  5.049283e-02    1.019992e-04
  5.079176e-02    1.033344e-04
  5.109069e-02    1.017139e-04
  5.138962e-02    1.022826e-04
  5.168855e-02    1.047497e-04
  5.198748e-02    1.063874e-04
  5.228642e-02    1.056917e-04
  5.258535e-02    1.017903e-04
  5.288428e-02    1.001032e-04
  5.318321e-02    1.016888e-04
  5.348214e-02    1.027429e-04
  5.378107e-02    1.010744e-04
  5.408000e-02    9.991373e-05
  5.437893e-02    1.005097e-04
