# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 64911.930000000015
# --> MT-AL_DowExpt1_220227_9acb3a8c-f1e6-4d74-a26c-38b5878ab071_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    4.236598e-02
  4.756484e-03    3.403845e-02
  5.055415e-03    2.502391e-02
  5.354345e-03    1.855945e-02
  5.653276e-03    1.508215e-02
  5.952206e-03    2.431930e-02
  6.251136e-03    2.237981e-02
  6.550067e-03    1.944766e-02
  6.848997e-03    1.651929e-02
  7.147927e-03    1.392355e-02
  7.446858e-03    1.186358e-02
  7.745788e-03    1.015655e-02
  8.044719e-03    8.780297e-03
  8.343649e-03    7.672586e-03
  8.642579e-03    6.697921e-03
  8.941510e-03    5.871359e-03
  9.240440e-03    5.178771e-03
  9.539371e-03    4.596991e-03
  9.838301e-03    4.085186e-03
  1.013723e-02    3.664200e-03
  1.043616e-02    3.285070e-03
  1.073509e-02    2.962956e-03
  1.103402e-02    2.685207e-03
  1.133295e-02    2.428992e-03
  1.163188e-02    2.205308e-03
  1.193081e-02    2.003521e-03
  1.222974e-02    1.837752e-03
  1.252867e-02    1.672422e-03
  1.282760e-02    1.519457e-03
  1.312654e-02    1.398769e-03
  1.342547e-02    1.295097e-03
  1.372440e-02    1.189727e-03
  1.402333e-02    1.122714e-03
  1.432226e-02    1.034700e-03
  1.462119e-02    9.616208e-04
  1.492012e-02    8.894655e-04
  1.521905e-02    8.214777e-04
  1.551798e-02    7.697588e-04
  1.581691e-02    7.173708e-04
  1.611584e-02    6.721590e-04
  1.641477e-02    6.320641e-04
  1.671370e-02    5.980685e-04
  1.701263e-02    5.661023e-04
  1.731156e-02    5.346965e-04
  1.761049e-02    5.032819e-04
  1.790942e-02    4.777326e-04
  1.820835e-02    4.511132e-04
  1.850728e-02    4.338264e-04
  1.880621e-02    4.168093e-04
  1.910514e-02    3.883217e-04
  1.940407e-02    3.683948e-04
  1.970300e-02    3.525263e-04
  2.000193e-02    3.375521e-04
  2.030086e-02    3.246249e-04
  2.059979e-02    3.122953e-04
  2.089873e-02    3.033454e-04
  2.119766e-02    2.907080e-04
  2.149659e-02    2.799385e-04
  2.179552e-02    2.713934e-04
  2.209445e-02    2.597693e-04
  2.239338e-02    2.516441e-04
  2.269231e-02    2.443252e-04
