# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 77469.77000000002
# --> MT-AL_DowExpt1_220227_a4b3e4ad-f1db-4ca1-a828-b962f43dbf20_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    3.635731e-02
  4.756484e-03    2.891212e-02
  5.055415e-03    2.157087e-02
  5.354345e-03    1.614843e-02
  5.653276e-03    1.285923e-02
  5.952206e-03    2.090098e-02
  6.251136e-03    1.878879e-02
  6.550067e-03    1.608074e-02
  6.848997e-03    1.347974e-02
  7.147927e-03    1.132230e-02
  7.446858e-03    9.636570e-03
  7.745788e-03    8.278552e-03
  8.044719e-03    7.158211e-03
  8.343649e-03    6.248853e-03
  8.642579e-03    5.438489e-03
  8.941510e-03    4.788568e-03
  9.240440e-03    4.253488e-03
  9.539371e-03    3.770102e-03
  9.838301e-03    3.352067e-03
  1.013723e-02    2.994822e-03
  1.043616e-02    2.697556e-03
  1.073509e-02    2.430432e-03
  1.103402e-02    2.193798e-03
  1.133295e-02    1.983859e-03
  1.163188e-02    1.801776e-03
  1.193081e-02    1.644150e-03
  1.222974e-02    1.501490e-03
  1.252867e-02    1.384362e-03
  1.282760e-02    1.271266e-03
  1.312654e-02    1.164028e-03
  1.342547e-02    1.073570e-03
  1.372440e-02    9.892421e-04
  1.402333e-02    9.233105e-04
  1.432226e-02    8.650183e-04
  1.462119e-02    8.018170e-04
  1.492012e-02    7.465348e-04
  1.521905e-02    6.912073e-04
  1.551798e-02    6.517764e-04
  1.581691e-02    6.133642e-04
