# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 54434.950000000004
# --> MT-AL_DowExpt1_220227_aedcd4fd-92a4-405d-bb9b-85947d47decb_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    3.999009e-02
  4.756484e-03    3.171590e-02
  5.055415e-03    2.302164e-02
  5.354345e-03    1.655304e-02
  5.653276e-03    1.311400e-02
  5.952206e-03    2.166380e-02
  6.251136e-03    1.968314e-02
  6.550067e-03    1.695457e-02
  6.848997e-03    1.441876e-02
  7.147927e-03    1.214709e-02
  7.446858e-03    1.030638e-02
  7.745788e-03    8.794002e-03
  8.044719e-03    7.566929e-03
  8.343649e-03    6.532921e-03
  8.642579e-03    5.720517e-03
  8.941510e-03    5.067379e-03
  9.240440e-03    4.448330e-03
  9.539371e-03    3.932759e-03
  9.838301e-03    3.517812e-03
  1.013723e-02    3.137296e-03
  1.043616e-02    2.817736e-03
  1.073509e-02    2.535155e-03
  1.103402e-02    2.285485e-03
  1.133295e-02    2.062742e-03
  1.163188e-02    1.872826e-03
  1.193081e-02    1.715161e-03
  1.222974e-02    1.554923e-03
  1.252867e-02    1.404153e-03
  1.282760e-02    1.304526e-03
  1.312654e-02    1.210915e-03
  1.342547e-02    1.113443e-03
  1.372440e-02    1.024977e-03
  1.402333e-02    9.476921e-04
  1.432226e-02    8.753403e-04
  1.462119e-02    8.289731e-04
  1.492012e-02    7.683892e-04
  1.521905e-02    7.145670e-04
  1.551798e-02    6.695132e-04
  1.581691e-02    6.231378e-04
  1.611584e-02    5.870471e-04
  1.641477e-02    5.554723e-04
  1.671370e-02    5.208448e-04
  1.701263e-02    4.925083e-04
  1.731156e-02    4.747474e-04
  1.761049e-02    4.476128e-04
  1.790942e-02    4.167412e-04
  1.820835e-02    3.983383e-04
  1.850728e-02    3.758090e-04
  1.880621e-02    3.607247e-04
  1.910514e-02    3.433512e-04
  1.940407e-02    3.316271e-04
  1.970300e-02    3.185190e-04
  2.000193e-02    3.062495e-04
  2.030086e-02    2.946342e-04
  2.059979e-02    2.862125e-04
  2.089873e-02    2.684122e-04
  2.119766e-02    2.583116e-04
  2.149659e-02    2.530561e-04
  2.179552e-02    2.510820e-04
  2.209445e-02    2.456725e-04
