# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 28740.2
# --> MT-AL_DowExpt1_220227_b9dc074d-8c60-41b0-892f-bcee43d6239c_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    4.733298e-02
  4.756484e-03    3.899827e-02
  5.055415e-03    2.836710e-02
  5.354345e-03    2.003284e-02
  5.653276e-03    1.551261e-02
  5.952206e-03    2.628964e-02
  6.251136e-03    2.405973e-02
  6.550067e-03    2.077312e-02
  6.848997e-03    1.763896e-02
  7.147927e-03    1.492139e-02
  7.446858e-03    1.265550e-02
  7.745788e-03    1.068377e-02
  8.044719e-03    9.174912e-03
  8.343649e-03    8.013409e-03
  8.642579e-03    6.946624e-03
  8.941510e-03    6.048980e-03
  9.240440e-03    5.311730e-03
  9.539371e-03    4.686743e-03
  9.838301e-03    4.142025e-03
  1.013723e-02    3.707721e-03
  1.043616e-02    3.319949e-03
  1.073509e-02    2.977626e-03
  1.103402e-02    2.665634e-03
  1.133295e-02    2.425835e-03
  1.163188e-02    2.182109e-03
  1.193081e-02    2.002410e-03
  1.222974e-02    1.828201e-03
  1.252867e-02    1.668770e-03
  1.282760e-02    1.523373e-03
  1.312654e-02    1.414094e-03
  1.342547e-02    1.299136e-03
  1.372440e-02    1.189141e-03
  1.402333e-02    1.096333e-03
  1.432226e-02    1.025542e-03
  1.462119e-02    9.526280e-04
  1.492012e-02    8.897773e-04
  1.521905e-02    8.370559e-04
  1.551798e-02    7.894249e-04
  1.581691e-02    7.272394e-04
  1.611584e-02    6.887574e-04
  1.641477e-02    6.519145e-04
  1.671370e-02    6.052785e-04
  1.701263e-02    5.700162e-04
  1.731156e-02    5.428655e-04
  1.761049e-02    5.200038e-04
  1.790942e-02    4.918189e-04
  1.820835e-02    4.534833e-04
  1.850728e-02    4.347649e-04
  1.880621e-02    4.149744e-04
  1.910514e-02    4.051818e-04
  1.940407e-02    3.823604e-04
  1.970300e-02    3.668730e-04
  2.000193e-02    3.584042e-04
  2.030086e-02    3.386635e-04
  2.059979e-02    3.250167e-04
  2.089873e-02    3.175957e-04
  2.119766e-02    3.027687e-04
  2.149659e-02    2.950851e-04
  2.179552e-02    2.822468e-04
  2.209445e-02    2.714327e-04
  2.239338e-02    2.634281e-04
  2.269231e-02    2.503311e-04
  2.299124e-02    2.426572e-04
  2.329017e-02    2.364479e-04
  2.358910e-02    2.316142e-04
  2.388803e-02    2.249478e-04
  2.418696e-02    2.219495e-04
  2.448589e-02    2.164114e-04
  2.478482e-02    2.073057e-04
  2.508375e-02    2.015429e-04
  2.538268e-02    2.015532e-04
  2.568161e-02    1.972305e-04
  2.598054e-02    1.872499e-04
  2.627947e-02    1.816677e-04
  2.657840e-02    1.836277e-04
  2.687733e-02    1.800714e-04
  2.717626e-02    1.778153e-04
  2.747519e-02    1.778091e-04
  2.777412e-02    1.780826e-04
  2.807305e-02    1.725982e-04
  2.837198e-02    1.706414e-04
  2.867092e-02    1.650704e-04
  2.896985e-02    1.628098e-04
  2.926878e-02    1.640264e-04
  2.956771e-02    1.635350e-04
  2.986664e-02    1.595042e-04
  3.016557e-02    1.558338e-04
  3.046450e-02    1.540349e-04
  3.076343e-02    1.521063e-04
  3.106236e-02    1.467221e-04
  3.136129e-02    1.447070e-04
  3.166022e-02    1.487488e-04
  3.195915e-02    1.455472e-04
  3.225808e-02    1.457895e-04
  3.255701e-02    1.423631e-04
  3.285594e-02    1.380604e-04
  3.315487e-02    1.399738e-04
  3.345380e-02    1.344733e-04
  3.375273e-02    1.350101e-04
  3.405166e-02    1.324966e-04
  3.435059e-02    1.356009e-04
  3.464952e-02    1.356499e-04
  3.494845e-02    1.303157e-04
  3.524738e-02    1.261868e-04
  3.554631e-02    1.245347e-04
  3.584524e-02    1.228433e-04
  3.614417e-02    1.214380e-04
  3.644310e-02    1.212658e-04
  3.674204e-02    1.222377e-04
  3.704097e-02    1.240682e-04
  3.733990e-02    1.210123e-04
  3.763883e-02    1.197905e-04
  3.793776e-02    1.194049e-04
  3.823669e-02    1.167887e-04
  3.853562e-02    1.147456e-04
  3.883455e-02    1.171789e-04
  3.913348e-02    1.186152e-04
  3.943241e-02    1.162515e-04
  3.973134e-02    1.138432e-04
  4.003027e-02    1.113019e-04
  4.032920e-02    1.109732e-04
  4.062813e-02    1.115818e-04
  4.092706e-02    1.139069e-04
  4.122599e-02    1.120906e-04
  4.152492e-02    1.123800e-04
  4.182385e-02    1.096015e-04
  4.212278e-02    1.106111e-04
  4.242171e-02    1.090322e-04
  4.272064e-02    1.085282e-04
  4.301957e-02    1.087334e-04
  4.331850e-02    1.104833e-04
  4.361743e-02    1.094409e-04
  4.391636e-02    1.070819e-04
  4.421529e-02    1.051949e-04
  4.451423e-02    1.072300e-04
  4.481316e-02    1.064643e-04
  4.511209e-02    1.058423e-04
  4.541102e-02    1.066504e-04
  4.570995e-02    1.067367e-04
  4.600888e-02    1.068733e-04
  4.630781e-02    1.075338e-04
  4.660674e-02    1.069812e-04
  4.690567e-02    1.046875e-04
  4.720460e-02    1.077022e-04
  4.750353e-02    1.091744e-04
  4.780246e-02    1.091929e-04
  4.810139e-02    1.067071e-04
  4.840032e-02    1.063279e-04
  4.869925e-02    1.076600e-04
  4.899818e-02    1.087193e-04
  4.929711e-02    1.055570e-04
  4.959604e-02    1.045639e-04
  4.989497e-02    1.052410e-04
  5.019390e-02    1.071912e-04
  5.049283e-02    1.056073e-04
  5.079176e-02    1.053554e-04
  5.109069e-02    1.099724e-04
  5.138962e-02    1.114665e-04
  5.168855e-02    1.073778e-04
  5.198748e-02    1.107334e-04
  5.228642e-02    1.114918e-04
  5.258535e-02    1.092438e-04
  5.288428e-02    1.076724e-04
  5.318321e-02    1.064248e-04
  5.348214e-02    1.082496e-04
  5.378107e-02    1.092020e-04
  5.408000e-02    1.073408e-04
  5.437893e-02    1.039786e-04
  5.467786e-02    1.027281e-04
  5.497679e-02    1.043676e-04
  5.527572e-02    1.066116e-04
  5.557465e-02    1.081339e-04
  5.587358e-02    1.070574e-04
  5.617251e-02    1.051461e-04
  5.647144e-02    1.041425e-04
  5.677037e-02    1.053975e-04
  5.706930e-02    1.030750e-04
  5.736823e-02    1.063790e-04
  5.766716e-02    1.080702e-04
  5.796609e-02    1.067910e-04
  5.826502e-02    1.072074e-04
  5.856395e-02    1.095436e-04
  5.886288e-02    1.103556e-04
  5.916181e-02    1.102696e-04
  5.946074e-02    1.107674e-04
  5.975967e-02    1.090077e-04
  6.005861e-02    1.091273e-04
  6.035754e-02    1.088379e-04
  6.065647e-02    1.095519e-04
  6.095540e-02    1.109643e-04
  6.125433e-02    1.104593e-04
  6.155326e-02    1.109871e-04
  6.185219e-02    1.070073e-04
  6.215112e-02    1.055436e-04
  6.245005e-02    1.084380e-04
  6.274898e-02    1.092372e-04
  6.304791e-02    1.085133e-04
  6.334684e-02    1.092280e-04
  6.364577e-02    1.095766e-04
  6.394470e-02    1.091059e-04
  6.424363e-02    1.074447e-04
  6.454256e-02    1.087438e-04
  6.484149e-02    1.128103e-04
  6.514042e-02    1.134115e-04
  6.543935e-02    1.110711e-04
  6.573828e-02    1.118610e-04
  6.603721e-02    1.115087e-04
  6.633614e-02    1.111854e-04
  6.663507e-02    1.128465e-04
  6.693400e-02    1.132363e-04
  6.723293e-02    1.124451e-04
  6.753186e-02    1.130218e-04
  6.783080e-02    1.139743e-04
  6.812973e-02    1.123944e-04
  6.842866e-02    1.117250e-04
  6.872759e-02    1.124182e-04
  6.902652e-02    1.122019e-04
  6.932545e-02    1.108720e-04
  6.962438e-02    1.116166e-04
  6.992331e-02    1.127818e-04
  7.022224e-02    1.133377e-04
  7.052117e-02    1.136537e-04
  7.082010e-02    1.157994e-04
  7.111903e-02    1.147586e-04
  7.141796e-02    1.125978e-04
