# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 46136.79
# --> MT-AL_DowExpt1_220227_bf83ef6c-a499-4a04-95d8-958c7a5ee667_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    3.278815e-02
  4.756484e-03    2.604208e-02
  5.055415e-03    1.872314e-02
  5.354345e-03    1.318916e-02
  5.653276e-03    1.023439e-02
  5.952206e-03    1.610768e-02
  6.251136e-03    1.467567e-02
  6.550067e-03    1.278154e-02
  6.848997e-03    1.097803e-02
  7.147927e-03    9.242204e-03
  7.446858e-03    7.912357e-03
  7.745788e-03    6.805877e-03
  8.044719e-03    5.859383e-03
  8.343649e-03    5.107285e-03
  8.642579e-03    4.449804e-03
  8.941510e-03    3.883487e-03
  9.240440e-03    3.443069e-03
  9.539371e-03    3.056863e-03
  9.838301e-03    2.724890e-03
  1.013723e-02    2.446004e-03
  1.043616e-02    2.196406e-03
  1.073509e-02    1.973188e-03
  1.103402e-02    1.771376e-03
  1.133295e-02    1.621375e-03
  1.163188e-02    1.478753e-03
  1.193081e-02    1.338991e-03
  1.222974e-02    1.229760e-03
  1.252867e-02    1.125613e-03
  1.282760e-02    1.046943e-03
  1.312654e-02    9.601977e-04
  1.342547e-02    8.744884e-04
  1.372440e-02    8.140649e-04
  1.402333e-02    7.549233e-04
  1.432226e-02    7.096295e-04
  1.462119e-02    6.609812e-04
  1.492012e-02    6.142271e-04
  1.521905e-02    5.727886e-04
  1.551798e-02    5.387359e-04
  1.581691e-02    5.015230e-04
  1.611584e-02    4.678699e-04
  1.641477e-02    4.438394e-04
  1.671370e-02    4.199849e-04
  1.701263e-02    3.949195e-04
  1.731156e-02    3.752928e-04
  1.761049e-02    3.566346e-04
  1.790942e-02    3.412635e-04
  1.820835e-02    3.254423e-04
  1.850728e-02    3.021935e-04
  1.880621e-02    2.959956e-04
  1.910514e-02    2.867949e-04
  1.940407e-02    2.685286e-04
  1.970300e-02    2.617127e-04
  2.000193e-02    2.484236e-04
  2.030086e-02    2.366693e-04
  2.059979e-02    2.285696e-04
  2.089873e-02    2.252615e-04
  2.119766e-02    2.152294e-04
  2.149659e-02    2.046469e-04
  2.179552e-02    2.005609e-04
  2.209445e-02    1.964464e-04
  2.239338e-02    1.867902e-04
  2.269231e-02    1.815577e-04
  2.299124e-02    1.778483e-04
  2.329017e-02    1.733813e-04
  2.358910e-02    1.672285e-04
  2.388803e-02    1.633102e-04
  2.418696e-02    1.585222e-04
  2.448589e-02    1.551359e-04
  2.478482e-02    1.485982e-04
  2.508375e-02    1.495526e-04
  2.538268e-02    1.489713e-04
  2.568161e-02    1.461818e-04
  2.598054e-02    1.403589e-04
  2.627947e-02    1.372256e-04
  2.657840e-02    1.394732e-04
  2.687733e-02    1.382124e-04
  2.717626e-02    1.310584e-04
  2.747519e-02    1.293046e-04
  2.777412e-02    1.274574e-04
  2.807305e-02    1.256251e-04
  2.837198e-02    1.249878e-04
  2.867092e-02    1.240204e-04
  2.896985e-02    1.213334e-04
  2.926878e-02    1.197705e-04
  2.956771e-02    1.168805e-04
  2.986664e-02    1.151871e-04
  3.016557e-02    1.139459e-04
  3.046450e-02    1.146480e-04
  3.076343e-02    1.147848e-04
  3.106236e-02    1.146641e-04
  3.136129e-02    1.135005e-04
  3.166022e-02    1.130779e-04
  3.195915e-02    1.093971e-04
  3.225808e-02    1.057729e-04
  3.255701e-02    1.056580e-04
  3.285594e-02    1.040008e-04
  3.315487e-02    1.057107e-04
  3.345380e-02    1.065341e-04
  3.375273e-02    1.028677e-04
  3.405166e-02    9.945912e-05
  3.435059e-02    9.972994e-05
  3.464952e-02    9.773114e-05
  3.494845e-02    9.806728e-05
  3.524738e-02    9.756400e-05
  3.554631e-02    9.739493e-05
  3.584524e-02    9.662237e-05
  3.614417e-02    9.564042e-05
  3.644310e-02    9.216453e-05
  3.674204e-02    9.340211e-05
  3.704097e-02    9.167555e-05
  3.733990e-02    8.872098e-05
  3.763883e-02    8.920135e-05
  3.793776e-02    9.176243e-05
  3.823669e-02    9.077128e-05
  3.853562e-02    8.907123e-05
  3.883455e-02    8.946566e-05
  3.913348e-02    9.073286e-05
  3.943241e-02    8.958799e-05
  3.973134e-02    8.663263e-05
