# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 33906.8
# --> MT-AL_DowExpt1_220227_cbe845c4-cbf9-4800-a703-36844f10c452_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    3.815446e-02
  4.756484e-03    3.069272e-02
  5.055415e-03    2.184143e-02
  5.354345e-03    1.499681e-02
  5.653276e-03    1.159221e-02
  5.952206e-03    1.853718e-02
  6.251136e-03    1.682743e-02
  6.550067e-03    1.460976e-02
  6.848997e-03    1.252770e-02
  7.147927e-03    1.057406e-02
  7.446858e-03    8.953449e-03
  7.745788e-03    7.635890e-03
  8.044719e-03    6.590070e-03
  8.343649e-03    5.759795e-03
  8.642579e-03    5.005212e-03
  8.941510e-03    4.392421e-03
  9.240440e-03    3.889037e-03
  9.539371e-03    3.476280e-03
  9.838301e-03    3.056257e-03
  1.013723e-02    2.740164e-03
  1.043616e-02    2.498662e-03
  1.073509e-02    2.215042e-03
  1.103402e-02    1.999305e-03
  1.133295e-02    1.815555e-03
  1.163188e-02    1.664761e-03
  1.193081e-02    1.518887e-03
  1.222974e-02    1.370893e-03
  1.252867e-02    1.252254e-03
  1.282760e-02    1.150030e-03
  1.312654e-02    1.077487e-03
  1.342547e-02    1.005217e-03
  1.372440e-02    9.234873e-04
  1.402333e-02    8.582982e-04
  1.432226e-02    8.054717e-04
  1.462119e-02    7.484098e-04
  1.492012e-02    6.953281e-04
  1.521905e-02    6.513687e-04
  1.551798e-02    6.174163e-04
  1.581691e-02    5.723776e-04
  1.611584e-02    5.307886e-04
  1.641477e-02    5.071181e-04
  1.671370e-02    4.801586e-04
  1.701263e-02    4.545015e-04
  1.731156e-02    4.289862e-04
  1.761049e-02    4.042643e-04
  1.790942e-02    3.849327e-04
  1.820835e-02    3.677928e-04
  1.850728e-02    3.499400e-04
  1.880621e-02    3.392739e-04
  1.910514e-02    3.279207e-04
  1.940407e-02    3.138559e-04
  1.970300e-02    3.012765e-04
  2.000193e-02    2.861379e-04
