# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 33945.509999999995
# --> MT-AL_DowExpt1_220227_fa7ee274-8db7-40ea-9ddf-653490a6abdb_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    5.170071e-02
  4.756484e-03    4.227018e-02
  5.055415e-03    3.210831e-02
  5.354345e-03    2.357117e-02
  5.653276e-03    1.850970e-02
  5.952206e-03    3.300974e-02
  6.251136e-03    3.030737e-02
  6.550067e-03    2.616423e-02
  6.848997e-03    2.214160e-02
  7.147927e-03    1.864369e-02
  7.446858e-03    1.585195e-02
  7.745788e-03    1.344525e-02
  8.044719e-03    1.154160e-02
  8.343649e-03    1.000391e-02
  8.642579e-03    8.670996e-03
  8.941510e-03    7.585543e-03
  9.240440e-03    6.649128e-03
  9.539371e-03    5.891789e-03
  9.838301e-03    5.233654e-03
  1.013723e-02    4.658988e-03
  1.043616e-02    4.163076e-03
  1.073509e-02    3.692578e-03
  1.103402e-02    3.313438e-03
  1.133295e-02    2.992087e-03
  1.163188e-02    2.721267e-03
  1.193081e-02    2.487431e-03
  1.222974e-02    2.265542e-03
  1.252867e-02    2.073318e-03
  1.282760e-02    1.899652e-03
  1.312654e-02    1.732127e-03
  1.342547e-02    1.597348e-03
  1.372440e-02    1.468525e-03
  1.402333e-02    1.360810e-03
  1.432226e-02    1.246213e-03
  1.462119e-02    1.163351e-03
  1.492012e-02    1.087963e-03
  1.521905e-02    1.014716e-03
  1.551798e-02    9.351733e-04
  1.581691e-02    8.674613e-04
  1.611584e-02    8.201511e-04
  1.641477e-02    7.667254e-04
  1.671370e-02    7.170193e-04
  1.701263e-02    6.845929e-04
  1.731156e-02    6.486513e-04
  1.761049e-02    6.118829e-04
  1.790942e-02    5.813343e-04
  1.820835e-02    5.489899e-04
  1.850728e-02    5.159558e-04
  1.880621e-02    4.877542e-04
  1.910514e-02    4.619966e-04
  1.940407e-02    4.391987e-04
  1.970300e-02    4.222891e-04
  2.000193e-02    4.088478e-04
  2.030086e-02    3.852939e-04
  2.059979e-02    3.693003e-04
  2.089873e-02    3.524229e-04
  2.119766e-02    3.328607e-04
  2.149659e-02    3.241026e-04
  2.179552e-02    3.151127e-04
  2.209445e-02    3.014630e-04
  2.239338e-02    2.979516e-04
  2.269231e-02    2.883642e-04
  2.299124e-02    2.749340e-04
