# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 7360603.800000001
# --> MT-AL_F127_220225_529b801d-9e53-4151-a7c1-718e3eaf19ad_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.085889e-03
  4.756484e-03    1.648365e-03
  5.055415e-03    1.176016e-03
  5.354345e-03    8.197778e-04
  5.653276e-03    6.284394e-04
  5.952206e-03    1.016913e-03
  6.251136e-03    9.314117e-04
  6.550067e-03    8.106100e-04
  6.848997e-03    6.900832e-04
  7.147927e-03    5.836636e-04
  7.446858e-03    4.984009e-04
  7.745788e-03    4.264512e-04
  8.044719e-03    3.663008e-04
  8.343649e-03    3.191286e-04
  8.642579e-03    2.794885e-04
  8.941510e-03    2.471069e-04
  9.240440e-03    2.187979e-04
  9.539371e-03    1.940314e-04
  9.838301e-03    1.725167e-04
  1.013723e-02    1.545271e-04
  1.043616e-02    1.385951e-04
  1.073509e-02    1.242700e-04
  1.103402e-02    1.127526e-04
  1.133295e-02    1.022421e-04
  1.163188e-02    9.279426e-05
  1.193081e-02    8.487127e-05
  1.222974e-02    7.775042e-05
  1.252867e-02    7.149345e-05
  1.282760e-02    6.570385e-05
  1.312654e-02    6.022830e-05
  1.342547e-02    5.562710e-05
  1.372440e-02    5.161909e-05
  1.402333e-02    4.802376e-05
  1.432226e-02    4.482010e-05
  1.462119e-02    4.173981e-05
  1.492012e-02    3.892271e-05
  1.521905e-02    3.634641e-05
  1.551798e-02    3.404319e-05
  1.581691e-02    3.202271e-05
  1.611584e-02    3.019999e-05
  1.641477e-02    2.848140e-05
  1.671370e-02    2.690622e-05
  1.701263e-02    2.541924e-05
  1.731156e-02    2.418243e-05
  1.761049e-02    2.295321e-05
  1.790942e-02    2.175442e-05
  1.820835e-02    2.066214e-05
  1.850728e-02    1.991010e-05
  1.880621e-02    1.895204e-05
  1.910514e-02    1.803552e-05
  1.940407e-02    1.733778e-05
  1.970300e-02    1.664107e-05
  2.000193e-02    1.596160e-05
  2.030086e-02    1.539738e-05
  2.059979e-02    1.477194e-05
  2.089873e-02    1.424479e-05
  2.119766e-02    1.379180e-05
  2.149659e-02    1.333623e-05
  2.179552e-02    1.294149e-05
  2.209445e-02    1.250049e-05
  2.239338e-02    1.215630e-05
  2.269231e-02    1.183620e-05
  2.299124e-02    1.149830e-05
  2.329017e-02    1.113360e-05
  2.358910e-02    1.081951e-05
  2.388803e-02    1.052170e-05
  2.418696e-02    1.032270e-05
  2.448589e-02    1.009500e-05
  2.478482e-02    9.940491e-06
  2.508375e-02    9.667747e-06
  2.538268e-02    9.497485e-06
  2.568161e-02    9.358625e-06
  2.598054e-02    9.135829e-06
  2.627947e-02    8.988414e-06
  2.657840e-02    8.869969e-06
  2.687733e-02    8.753816e-06
  2.717626e-02    8.670495e-06
  2.747519e-02    8.540345e-06
  2.777412e-02    8.438245e-06
  2.807305e-02    8.320195e-06
  2.837198e-02    8.134378e-06
  2.867092e-02    7.995981e-06
  2.896985e-02    7.938878e-06
  2.926878e-02    7.841964e-06
  2.956771e-02    7.732190e-06
  2.986664e-02    7.696199e-06
  3.016557e-02    7.605564e-06
  3.046450e-02    7.493687e-06
  3.076343e-02    7.385207e-06
  3.106236e-02    7.310983e-06
  3.136129e-02    7.210997e-06
