# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 5114128.2
# --> MT-AL_F127_220225_7a290ccd-b70b-46e5-816c-8e60d65f798e_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.211600e-03
  4.756484e-03    1.708185e-03
  5.055415e-03    1.195533e-03
  5.354345e-03    8.233353e-04
  5.653276e-03    6.191354e-04
  5.952206e-03    1.016035e-03
  6.251136e-03    9.292953e-04
  6.550067e-03    8.085409e-04
  6.848997e-03    6.883190e-04
  7.147927e-03    5.807055e-04
  7.446858e-03    4.962573e-04
  7.745788e-03    4.245722e-04
  8.044719e-03    3.648988e-04
  8.343649e-03    3.186906e-04
  8.642579e-03    2.777277e-04
  8.941510e-03    2.436561e-04
  9.240440e-03    2.159503e-04
  9.539371e-03    1.912877e-04
  9.838301e-03    1.700060e-04
  1.013723e-02    1.527920e-04
  1.043616e-02    1.374863e-04
  1.073509e-02    1.231870e-04
  1.103402e-02    1.111319e-04
  1.133295e-02    1.006213e-04
  1.163188e-02    9.177787e-05
  1.193081e-02    8.363852e-05
  1.222974e-02    7.665894e-05
  1.252867e-02    7.059437e-05
  1.282760e-02    6.488962e-05
  1.312654e-02    5.998817e-05
  1.342547e-02    5.535299e-05
  1.372440e-02    5.091013e-05
  1.402333e-02    4.750015e-05
  1.432226e-02    4.435346e-05
  1.462119e-02    4.131448e-05
  1.492012e-02    3.852532e-05
  1.521905e-02    3.613497e-05
  1.551798e-02    3.387551e-05
  1.581691e-02    3.185754e-05
  1.611584e-02    3.012208e-05
  1.641477e-02    2.838199e-05
  1.671370e-02    2.662932e-05
  1.701263e-02    2.521869e-05
  1.731156e-02    2.397578e-05
  1.761049e-02    2.268582e-05
  1.790942e-02    2.160307e-05
  1.820835e-02    2.061780e-05
  1.850728e-02    1.975927e-05
  1.880621e-02    1.885610e-05
  1.910514e-02    1.802755e-05
  1.940407e-02    1.716928e-05
  1.970300e-02    1.658238e-05
  2.000193e-02    1.606598e-05
  2.030086e-02    1.542497e-05
  2.059979e-02    1.483810e-05
  2.089873e-02    1.439999e-05
  2.119766e-02    1.391275e-05
  2.149659e-02    1.335541e-05
  2.179552e-02    1.284520e-05
  2.209445e-02    1.260619e-05
  2.239338e-02    1.235918e-05
  2.269231e-02    1.201088e-05
  2.299124e-02    1.173172e-05
  2.329017e-02    1.142646e-05
  2.358910e-02    1.109642e-05
  2.388803e-02    1.085162e-05
  2.418696e-02    1.054659e-05
  2.448589e-02    1.032444e-05
  2.478482e-02    1.013184e-05
  2.508375e-02    9.929581e-06
  2.538268e-02    9.704250e-06
  2.568161e-02    9.519936e-06
  2.598054e-02    9.379841e-06
  2.627947e-02    9.329552e-06
  2.657840e-02    9.258602e-06
  2.687733e-02    8.985063e-06
  2.717626e-02    8.821399e-06
  2.747519e-02    8.835928e-06
  2.777412e-02    8.674491e-06
  2.807305e-02    8.469685e-06
  2.837198e-02    8.362472e-06
  2.867092e-02    8.248363e-06
  2.896985e-02    8.125799e-06
  2.926878e-02    8.065093e-06
  2.956771e-02    7.950985e-06
  2.986664e-02    7.938312e-06
  3.016557e-02    7.795647e-06
  3.046450e-02    7.739292e-06
  3.076343e-02    7.739787e-06
  3.106236e-02    7.593422e-06
  3.136129e-02    7.482650e-06
  3.166022e-02    7.430252e-06
  3.195915e-02    7.386252e-06
  3.225808e-02    7.309353e-06
  3.255701e-02    7.250434e-06
  3.285594e-02    7.227931e-06
  3.315487e-02    7.130581e-06
  3.345380e-02    7.129311e-06
  3.375273e-02    7.031923e-06
  3.405166e-02    6.995492e-06
  3.435059e-02    6.902513e-06
  3.464952e-02    6.802728e-06
  3.494845e-02    6.710732e-06
  3.524738e-02    6.614860e-06
  3.554631e-02    6.579290e-06
  3.584524e-02    6.583927e-06
  3.614417e-02    6.468354e-06
  3.644310e-02    6.396578e-06
  3.674204e-02    6.275443e-06
  3.704097e-02    6.325193e-06
  3.733990e-02    6.284644e-06
  3.763883e-02    6.168875e-06
  3.793776e-02    6.137353e-06
  3.823669e-02    6.139181e-06
  3.853562e-02    6.049080e-06
  3.883455e-02    6.024856e-06
  3.913348e-02    5.934097e-06
  3.943241e-02    5.890699e-06
  3.973134e-02    5.901395e-06
  4.003027e-02    5.811066e-06
  4.032920e-02    5.799898e-06
  4.062813e-02    5.872005e-06
  4.092706e-02    5.814134e-06
  4.122599e-02    5.835091e-06
  4.152492e-02    5.782082e-06
  4.182385e-02    5.717442e-06
  4.212278e-02    5.698062e-06
  4.242171e-02    5.622939e-06
  4.272064e-02    5.589708e-06
  4.301957e-02    5.638171e-06
  4.331850e-02    5.640859e-06
  4.361743e-02    5.627582e-06
  4.391636e-02    5.595211e-06
  4.421529e-02    5.574966e-06
  4.451423e-02    5.560471e-06
  4.481316e-02    5.551707e-06
  4.511209e-02    5.519299e-06
  4.541102e-02    5.478271e-06
  4.570995e-02    5.445926e-06
  4.600888e-02    5.455480e-06
  4.630781e-02    5.478984e-06
  4.660674e-02    5.504435e-06
  4.690567e-02    5.509558e-06
  4.720460e-02    5.443293e-06
  4.750353e-02    5.476498e-06
  4.780246e-02    5.463347e-06
  4.810139e-02    5.393755e-06
  4.840032e-02    5.435777e-06
  4.869925e-02    5.402650e-06
  4.899818e-02    5.366381e-06
  4.929711e-02    5.424039e-06
  4.959604e-02    5.430553e-06
  4.989497e-02    5.464599e-06
  5.019390e-02    5.457666e-06
  5.049283e-02    5.484950e-06
  5.079176e-02    5.501147e-06
  5.109069e-02    5.457453e-06
  5.138962e-02    5.479506e-06
  5.168855e-02    5.638905e-06
  5.198748e-02    5.821501e-06
  5.228642e-02    5.732879e-06
  5.258535e-02    5.497503e-06
  5.288428e-02    5.442259e-06
  5.318321e-02    5.474166e-06
  5.348214e-02    5.408851e-06
  5.378107e-02    5.405952e-06
  5.408000e-02    5.429959e-06
  5.437893e-02    5.435686e-06
  5.467786e-02    5.387774e-06
  5.497679e-02    5.329723e-06
  5.527572e-02    5.368224e-06
  5.557465e-02    5.432285e-06
  5.587358e-02    5.423121e-06
  5.617251e-02    5.387757e-06
  5.647144e-02    5.392941e-06
  5.677037e-02    5.423974e-06
  5.706930e-02    5.441434e-06
  5.736823e-02    5.446622e-06
  5.766716e-02    5.500645e-06
  5.796609e-02    5.484835e-06
  5.826502e-02    5.493055e-06
  5.856395e-02    5.499261e-06
  5.886288e-02    5.486547e-06
  5.916181e-02    5.467670e-06
  5.946074e-02    5.453398e-06
  5.975967e-02    5.480814e-06
  6.005861e-02    5.452897e-06
