# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 3632609.6
# --> MT-AL_F127_220225_8918b8e9-e007-4729-a9d8-a2ac137169c0_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.000069e-02
  4.756484e-03    7.963890e-03
  5.055415e-03    5.771616e-03
  5.354345e-03    4.128846e-03
  5.653276e-03    3.264890e-03
  5.952206e-03    5.527238e-03
  6.251136e-03    5.042124e-03
  6.550067e-03    4.363086e-03
  6.848997e-03    3.686555e-03
  7.147927e-03    3.105620e-03
  7.446858e-03    2.651393e-03
  7.745788e-03    2.274042e-03
  8.044719e-03    1.956124e-03
  8.343649e-03    1.705530e-03
  8.642579e-03    1.494337e-03
  8.941510e-03    1.313774e-03
  9.240440e-03    1.164400e-03
  9.539371e-03    1.034277e-03
  9.838301e-03    9.221878e-04
  1.013723e-02    8.280296e-04
  1.043616e-02    7.428115e-04
  1.073509e-02    6.675437e-04
  1.103402e-02    6.045330e-04
  1.133295e-02    5.480939e-04
  1.163188e-02    4.994824e-04
  1.193081e-02    4.564941e-04
  1.222974e-02    4.168630e-04
  1.252867e-02    3.830361e-04
  1.282760e-02    3.520088e-04
  1.312654e-02    3.249410e-04
  1.342547e-02    3.016658e-04
  1.372440e-02    2.799517e-04
  1.402333e-02    2.595288e-04
  1.432226e-02    2.414483e-04
  1.462119e-02    2.246817e-04
  1.492012e-02    2.099089e-04
  1.521905e-02    1.967410e-04
  1.551798e-02    1.847746e-04
  1.581691e-02    1.736258e-04
  1.611584e-02    1.635374e-04
  1.641477e-02    1.545978e-04
  1.671370e-02    1.459771e-04
  1.701263e-02    1.376422e-04
