# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 4345300.2
# --> MT-AL_F127_220225_b36369d3-140e-4aa9-b933-c9d5614ce457_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    6.180104e-03
  4.756484e-03    4.805923e-03
  5.055415e-03    3.402626e-03
  5.354345e-03    2.377540e-03
  5.653276e-03    1.832137e-03
  5.952206e-03    3.077728e-03
  6.251136e-03    2.807889e-03
  6.550067e-03    2.434296e-03
  6.848997e-03    2.065469e-03
  7.147927e-03    1.738680e-03
  7.446858e-03    1.483320e-03
  7.745788e-03    1.271388e-03
  8.044719e-03    1.095500e-03
  8.343649e-03    9.556910e-04
  8.642579e-03    8.344314e-04
  8.941510e-03    7.351311e-04
  9.240440e-03    6.505882e-04
  9.539371e-03    5.770260e-04
  9.838301e-03    5.124434e-04
  1.013723e-02    4.595359e-04
  1.043616e-02    4.146626e-04
  1.073509e-02    3.730232e-04
  1.103402e-02    3.381967e-04
  1.133295e-02    3.073916e-04
  1.163188e-02    2.799564e-04
  1.193081e-02    2.558628e-04
  1.222974e-02    2.339625e-04
  1.252867e-02    2.146820e-04
  1.282760e-02    1.981440e-04
  1.312654e-02    1.832414e-04
  1.342547e-02    1.699322e-04
  1.372440e-02    1.577320e-04
  1.402333e-02    1.467196e-04
  1.432226e-02    1.369680e-04
  1.462119e-02    1.279358e-04
  1.492012e-02    1.196989e-04
  1.521905e-02    1.120506e-04
  1.551798e-02    1.055996e-04
  1.581691e-02    9.923684e-05
  1.611584e-02    9.316982e-05
  1.641477e-02    8.814789e-05
  1.671370e-02    8.330940e-05
  1.701263e-02    7.910574e-05
  1.731156e-02    7.495058e-05
  1.761049e-02    7.105529e-05
  1.790942e-02    6.767106e-05
  1.820835e-02    6.451325e-05
  1.850728e-02    6.199606e-05
  1.880621e-02    5.945160e-05
  1.910514e-02    5.680229e-05
  1.940407e-02    5.453655e-05
  1.970300e-02    5.223652e-05
  2.000193e-02    5.021616e-05
  2.030086e-02    4.857530e-05
  2.059979e-02    4.699604e-05
  2.089873e-02    4.563470e-05
  2.119766e-02    4.411056e-05
  2.149659e-02    4.262586e-05
  2.179552e-02    4.120368e-05
  2.209445e-02    4.011900e-05
  2.239338e-02    3.905789e-05
  2.269231e-02    3.803585e-05
  2.299124e-02    3.690735e-05
  2.329017e-02    3.569007e-05
  2.358910e-02    3.496398e-05
  2.388803e-02    3.442929e-05
  2.418696e-02    3.346169e-05
  2.448589e-02    3.250917e-05
  2.478482e-02    3.177786e-05
  2.508375e-02    3.119265e-05
  2.538268e-02    3.062773e-05
  2.568161e-02    3.014943e-05
  2.598054e-02    2.950949e-05
  2.627947e-02    2.901000e-05
  2.657840e-02    2.849442e-05
  2.687733e-02    2.793334e-05
  2.717626e-02    2.758946e-05
  2.747519e-02    2.720828e-05
  2.777412e-02    2.681507e-05
  2.807305e-02    2.635347e-05
  2.837198e-02    2.624151e-05
  2.867092e-02    2.578998e-05
  2.896985e-02    2.546122e-05
  2.926878e-02    2.534033e-05
  2.956771e-02    2.500371e-05
  2.986664e-02    2.464202e-05
  3.016557e-02    2.434193e-05
  3.046450e-02    2.411679e-05
  3.076343e-02    2.382670e-05
  3.106236e-02    2.353428e-05
  3.136129e-02    2.341786e-05
  3.166022e-02    2.317378e-05
  3.195915e-02    2.293633e-05
  3.225808e-02    2.258699e-05
  3.255701e-02    2.247049e-05
  3.285594e-02    2.222139e-05
  3.315487e-02    2.202112e-05
  3.345380e-02    2.184112e-05
  3.375273e-02    2.152206e-05
  3.405166e-02    2.132850e-05
  3.435059e-02    2.119537e-05
  3.464952e-02    2.097864e-05
  3.494845e-02    2.072723e-05
  3.524738e-02    2.069128e-05
  3.554631e-02    2.057950e-05
  3.584524e-02    2.022896e-05
  3.614417e-02    2.009633e-05
  3.644310e-02    2.012107e-05
  3.674204e-02    1.989388e-05
  3.704097e-02    1.971637e-05
  3.733990e-02    1.958880e-05
  3.763883e-02    1.945822e-05
  3.793776e-02    1.940529e-05
  3.823669e-02    1.921536e-05
  3.853562e-02    1.907766e-05
  3.883455e-02    1.904778e-05
  3.913348e-02    1.874871e-05
  3.943241e-02    1.863175e-05
  3.973134e-02    1.862438e-05
  4.003027e-02    1.858833e-05
  4.032920e-02    1.838776e-05
  4.062813e-02    1.827926e-05
  4.092706e-02    1.823729e-05
  4.122599e-02    1.812915e-05
  4.152492e-02    1.809223e-05
  4.182385e-02    1.800142e-05
  4.212278e-02    1.792571e-05
  4.242171e-02    1.792776e-05
  4.272064e-02    1.789158e-05
  4.301957e-02    1.785577e-05
  4.331850e-02    1.767303e-05
  4.361743e-02    1.767870e-05
  4.391636e-02    1.748384e-05
  4.421529e-02    1.745236e-05
  4.451423e-02    1.755360e-05
  4.481316e-02    1.756454e-05
  4.511209e-02    1.747946e-05
  4.541102e-02    1.743229e-05
  4.570995e-02    1.753917e-05
  4.600888e-02    1.754133e-05
  4.630781e-02    1.734813e-05
  4.660674e-02    1.728760e-05
  4.690567e-02    1.728809e-05
  4.720460e-02    1.731692e-05
  4.750353e-02    1.745479e-05
  4.780246e-02    1.732482e-05
  4.810139e-02    1.739545e-05
  4.840032e-02    1.739866e-05
  4.869925e-02    1.718910e-05
  4.899818e-02    1.717115e-05
  4.929711e-02    1.714577e-05
  4.959604e-02    1.720971e-05
  4.989497e-02    1.729021e-05
  5.019390e-02    1.724466e-05
  5.049283e-02    1.720282e-05
  5.079176e-02    1.712765e-05
  5.109069e-02    1.719186e-05
  5.138962e-02    1.732737e-05
  5.168855e-02    1.761372e-05
  5.198748e-02    1.787980e-05
  5.228642e-02    1.778854e-05
  5.258535e-02    1.733259e-05
  5.288428e-02    1.719273e-05
  5.318321e-02    1.728412e-05
  5.348214e-02    1.714924e-05
  5.378107e-02    1.696587e-05
  5.408000e-02    1.706421e-05
  5.437893e-02    1.714433e-05
  5.467786e-02    1.720866e-05
  5.497679e-02    1.712726e-05
  5.527572e-02    1.715642e-05
  5.557465e-02    1.718906e-05
  5.587358e-02    1.720729e-05
  5.617251e-02    1.718096e-05
  5.647144e-02    1.708750e-05
  5.677037e-02    1.709390e-05
  5.706930e-02    1.710016e-05
  5.736823e-02    1.715329e-05
  5.766716e-02    1.724383e-05
  5.796609e-02    1.723397e-05
  5.826502e-02    1.719489e-05
  5.856395e-02    1.731614e-05
  5.886288e-02    1.735182e-05
  5.916181e-02    1.729537e-05
  5.946074e-02    1.732821e-05
  5.975967e-02    1.742145e-05
  6.005861e-02    1.741998e-05
  6.035754e-02    1.743687e-05
  6.065647e-02    1.746316e-05
  6.095540e-02    1.758215e-05
  6.125433e-02    1.781670e-05
  6.155326e-02    1.785418e-05
  6.185219e-02    1.770388e-05
  6.215112e-02    1.760803e-05
  6.245005e-02    1.749252e-05
  6.274898e-02    1.753017e-05
  6.304791e-02    1.753906e-05
  6.334684e-02    1.753171e-05
  6.364577e-02    1.764195e-05
  6.394470e-02    1.760326e-05
  6.424363e-02    1.761122e-05
  6.454256e-02    1.767639e-05
  6.484149e-02    1.769384e-05
  6.514042e-02    1.776677e-05
  6.543935e-02    1.772578e-05
  6.573828e-02    1.774657e-05
  6.603721e-02    1.773901e-05
  6.633614e-02    1.765834e-05
  6.663507e-02    1.771300e-05
  6.693400e-02    1.781960e-05
  6.723293e-02    1.784615e-05
  6.753186e-02    1.785207e-05
  6.783080e-02    1.790730e-05
  6.812973e-02    1.796266e-05
  6.842866e-02    1.802469e-05
  6.872759e-02    1.794570e-05
  6.902652e-02    1.796625e-05
  6.932545e-02    1.793819e-05
  6.962438e-02    1.790745e-05
  6.992331e-02    1.800926e-05
  7.022224e-02    1.806714e-05
  7.052117e-02    1.806386e-05
  7.082010e-02    1.812733e-05
  7.111903e-02    1.815143e-05
  7.141796e-02    1.811084e-05
  7.171689e-02    1.813232e-05
  7.201582e-02    1.816295e-05
  7.231475e-02    1.826145e-05
  7.261368e-02    1.822449e-05
  7.291261e-02    1.819255e-05
  7.321154e-02    1.825173e-05
  7.351047e-02    1.825271e-05
  7.380940e-02    1.820526e-05
  7.410833e-02    1.816571e-05
