# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 3745674.4000000004
# --> MT-AL_F127_220225_b5865f68-fc5a-4b6e-bd35-6c4002825353_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    4.927657e-03
  4.756484e-03    3.870369e-03
  5.055415e-03    2.745498e-03
  5.354345e-03    1.918651e-03
  5.653276e-03    1.474731e-03
  5.952206e-03    2.408593e-03
  6.251136e-03    2.200637e-03
  6.550067e-03    1.918915e-03
  6.848997e-03    1.635021e-03
  7.147927e-03    1.379104e-03
  7.446858e-03    1.174754e-03
  7.745788e-03    1.007998e-03
  8.044719e-03    8.687693e-04
  8.343649e-03    7.577849e-04
  8.642579e-03    6.640911e-04
  8.941510e-03    5.828788e-04
  9.240440e-03    5.164607e-04
  9.539371e-03    4.593406e-04
  9.838301e-03    4.092980e-04
  1.013723e-02    3.661565e-04
  1.043616e-02    3.289165e-04
  1.073509e-02    2.963116e-04
  1.103402e-02    2.681143e-04
  1.133295e-02    2.426698e-04
  1.163188e-02    2.211722e-04
  1.193081e-02    2.029502e-04
  1.222974e-02    1.855181e-04
  1.252867e-02    1.705267e-04
  1.282760e-02    1.572644e-04
  1.312654e-02    1.446781e-04
  1.342547e-02    1.338753e-04
  1.372440e-02    1.241719e-04
  1.402333e-02    1.153485e-04
  1.432226e-02    1.073747e-04
  1.462119e-02    9.978186e-05
  1.492012e-02    9.337210e-05
  1.521905e-02    8.756363e-05
  1.551798e-02    8.214551e-05
  1.581691e-02    7.743465e-05
  1.611584e-02    7.261882e-05
