# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1546978.0
# --> MT-AL_F127_220225_d090e637-7f8e-4728-b42a-6115fadd64bc_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.557351e-02
  4.756484e-03    2.038023e-02
  5.055415e-03    1.492741e-02
  5.354345e-03    1.081620e-02
  5.653276e-03    8.549568e-03
  5.952206e-03    1.425052e-02
  6.251136e-03    1.293784e-02
  6.550067e-03    1.116989e-02
  6.848997e-03    9.447600e-03
  7.147927e-03    7.961602e-03
  7.446858e-03    6.796570e-03
  7.745788e-03    5.833577e-03
  8.044719e-03    5.035373e-03
  8.343649e-03    4.391591e-03
  8.642579e-03    3.847466e-03
  8.941510e-03    3.391920e-03
  9.240440e-03    3.010804e-03
  9.539371e-03    2.670317e-03
  9.838301e-03    2.378887e-03
  1.013723e-02    2.132304e-03
  1.043616e-02    1.913214e-03
  1.073509e-02    1.722877e-03
  1.103402e-02    1.562653e-03
  1.133295e-02    1.418553e-03
  1.163188e-02    1.290716e-03
  1.193081e-02    1.180051e-03
  1.222974e-02    1.079194e-03
  1.252867e-02    9.897720e-04
  1.282760e-02    9.113887e-04
  1.312654e-02    8.405572e-04
  1.342547e-02    7.803155e-04
  1.372440e-02    7.226756e-04
  1.402333e-02    6.703697e-04
  1.432226e-02    6.232343e-04
  1.462119e-02    5.805025e-04
  1.492012e-02    5.443185e-04
  1.521905e-02    5.096315e-04
  1.551798e-02    4.781869e-04
  1.581691e-02    4.482139e-04
  1.611584e-02    4.216383e-04
  1.641477e-02    3.984804e-04
  1.671370e-02    3.761233e-04
  1.701263e-02    3.553539e-04
  1.731156e-02    3.375146e-04
  1.761049e-02    3.202336e-04
  1.790942e-02    3.036648e-04
  1.820835e-02    2.901026e-04
  1.850728e-02    2.772352e-04
  1.880621e-02    2.633251e-04
  1.910514e-02    2.519569e-04
  1.940407e-02    2.417004e-04
  1.970300e-02    2.320526e-04
  2.000193e-02    2.229881e-04
  2.030086e-02    2.139816e-04
  2.059979e-02    2.063601e-04
  2.089873e-02    1.997488e-04
  2.119766e-02    1.926191e-04
  2.149659e-02    1.861202e-04
  2.179552e-02    1.800601e-04
  2.209445e-02    1.749210e-04
  2.239338e-02    1.696849e-04
  2.269231e-02    1.646420e-04
  2.299124e-02    1.601499e-04
  2.329017e-02    1.554257e-04
  2.358910e-02    1.515816e-04
  2.388803e-02    1.486338e-04
  2.418696e-02    1.453605e-04
  2.448589e-02    1.412257e-04
  2.478482e-02    1.372706e-04
  2.508375e-02    1.345721e-04
  2.538268e-02    1.320123e-04
  2.568161e-02    1.299166e-04
  2.598054e-02    1.271206e-04
  2.627947e-02    1.245200e-04
  2.657840e-02    1.226242e-04
  2.687733e-02    1.208106e-04
  2.717626e-02    1.188121e-04
  2.747519e-02    1.165584e-04
  2.777412e-02    1.145608e-04
  2.807305e-02    1.130435e-04
  2.837198e-02    1.119118e-04
  2.867092e-02    1.098428e-04
  2.896985e-02    1.086168e-04
  2.926878e-02    1.065902e-04
  2.956771e-02    1.052571e-04
  2.986664e-02    1.041639e-04
  3.016557e-02    1.030906e-04
  3.046450e-02    1.015692e-04
  3.076343e-02    1.004796e-04
  3.106236e-02    9.986897e-05
  3.136129e-02    9.887142e-05
  3.166022e-02    9.758522e-05
  3.195915e-02    9.648010e-05
  3.225808e-02    9.504268e-05
  3.255701e-02    9.446772e-05
  3.285594e-02    9.365857e-05
  3.315487e-02    9.279386e-05
  3.345380e-02    9.164761e-05
  3.375273e-02    9.086114e-05
  3.405166e-02    9.033392e-05
