# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 2764668.2
# --> MT-AL_F127_220225_ecb898a6-95d1-4898-a712-9968013c3b7b_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.557172e-03
  4.756484e-03    1.996606e-03
  5.055415e-03    1.425135e-03
  5.354345e-03    1.016167e-03
  5.653276e-03    7.905826e-04
  5.952206e-03    1.214704e-03
  6.251136e-03    1.111121e-03
  6.550067e-03    9.687457e-04
  6.848997e-03    8.287053e-04
  7.147927e-03    7.018007e-04
  7.446858e-03    6.017393e-04
  7.745788e-03    5.172076e-04
  8.044719e-03    4.451831e-04
  8.343649e-03    3.888920e-04
  8.642579e-03    3.409186e-04
  8.941510e-03    3.016877e-04
  9.240440e-03    2.677128e-04
  9.539371e-03    2.378859e-04
  9.838301e-03    2.119777e-04
  1.013723e-02    1.891659e-04
  1.043616e-02    1.698781e-04
  1.073509e-02    1.529840e-04
  1.103402e-02    1.386143e-04
  1.133295e-02    1.254857e-04
  1.163188e-02    1.140903e-04
  1.193081e-02    1.043663e-04
  1.222974e-02    9.516035e-05
  1.252867e-02    8.675833e-05
  1.282760e-02    7.931161e-05
  1.312654e-02    7.327784e-05
  1.342547e-02    6.812352e-05
  1.372440e-02    6.284747e-05
  1.402333e-02    5.816931e-05
  1.432226e-02    5.379842e-05
  1.462119e-02    5.052598e-05
  1.492012e-02    4.697995e-05
  1.521905e-02    4.325670e-05
  1.551798e-02    4.045495e-05
  1.581691e-02    3.804793e-05
  1.611584e-02    3.572112e-05
  1.641477e-02    3.349463e-05
  1.671370e-02    3.150553e-05
  1.701263e-02    2.992860e-05
  1.731156e-02    2.851275e-05
  1.761049e-02    2.689192e-05
  1.790942e-02    2.532894e-05
  1.820835e-02    2.387502e-05
  1.850728e-02    2.295176e-05
  1.880621e-02    2.176651e-05
  1.910514e-02    2.078308e-05
  1.940407e-02    1.980670e-05
  1.970300e-02    1.896089e-05
  2.000193e-02    1.813091e-05
  2.030086e-02    1.721456e-05
  2.059979e-02    1.670249e-05
  2.089873e-02    1.627765e-05
  2.119766e-02    1.574347e-05
  2.149659e-02    1.528335e-05
  2.179552e-02    1.475809e-05
  2.209445e-02    1.428019e-05
  2.239338e-02    1.380853e-05
  2.269231e-02    1.353580e-05
  2.299124e-02    1.303934e-05
  2.329017e-02    1.261097e-05
  2.358910e-02    1.231030e-05
  2.388803e-02    1.182864e-05
  2.418696e-02    1.157390e-05
  2.448589e-02    1.143248e-05
  2.478482e-02    1.112793e-05
  2.508375e-02    1.080905e-05
  2.538268e-02    1.061105e-05
  2.568161e-02    1.048570e-05
  2.598054e-02    1.029714e-05
  2.627947e-02    1.014731e-05
  2.657840e-02    9.861410e-06
  2.687733e-02    9.629450e-06
  2.717626e-02    9.582579e-06
  2.747519e-02    9.355476e-06
  2.777412e-02    9.270431e-06
  2.807305e-02    9.090398e-06
  2.837198e-02    9.011671e-06
  2.867092e-02    8.991018e-06
  2.896985e-02    8.838524e-06
  2.926878e-02    8.758264e-06
  2.956771e-02    8.601814e-06
  2.986664e-02    8.454368e-06
  3.016557e-02    8.425613e-06
  3.046450e-02    8.276649e-06
  3.076343e-02    8.255888e-06
  3.106236e-02    8.125278e-06
  3.136129e-02    8.077464e-06
  3.166022e-02    8.029320e-06
  3.195915e-02    7.861786e-06
  3.225808e-02    7.686852e-06
  3.255701e-02    7.737418e-06
  3.285594e-02    7.723473e-06
  3.315487e-02    7.593364e-06
  3.345380e-02    7.473245e-06
  3.375273e-02    7.415941e-06
  3.405166e-02    7.315559e-06
  3.435059e-02    7.180212e-06
  3.464952e-02    7.040629e-06
  3.494845e-02    6.969819e-06
  3.524738e-02    6.933722e-06
  3.554631e-02    6.888606e-06
  3.584524e-02    6.779515e-06
