# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 2105792.4
# --> MT-AL_F127_220225_f5225ef4-05b0-4573-9a38-6a1c5f5a9da4_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.432448e-03
  4.756484e-03    1.913240e-03
  5.055415e-03    1.358625e-03
  5.354345e-03    9.612475e-04
  5.653276e-03    7.410588e-04
  5.952206e-03    1.186480e-03
  6.251136e-03    1.087867e-03
  6.550067e-03    9.474106e-04
  6.848997e-03    8.098016e-04
  7.147927e-03    6.862759e-04
  7.446858e-03    5.877222e-04
  7.745788e-03    5.052619e-04
  8.044719e-03    4.352261e-04
  8.343649e-03    3.799527e-04
  8.642579e-03    3.325313e-04
  8.941510e-03    2.909980e-04
  9.240440e-03    2.580029e-04
  9.539371e-03    2.296751e-04
  9.838301e-03    2.050385e-04
  1.013723e-02    1.829460e-04
  1.043616e-02    1.638556e-04
  1.073509e-02    1.469595e-04
  1.103402e-02    1.338424e-04
  1.133295e-02    1.215045e-04
  1.163188e-02    1.097078e-04
  1.193081e-02    9.997682e-05
  1.222974e-02    9.139474e-05
  1.252867e-02    8.369815e-05
  1.282760e-02    7.701484e-05
  1.312654e-02    7.094018e-05
  1.342547e-02    6.574299e-05
  1.372440e-02    6.079052e-05
  1.402333e-02    5.577945e-05
  1.432226e-02    5.169244e-05
  1.462119e-02    4.806430e-05
  1.492012e-02    4.497411e-05
  1.521905e-02    4.233180e-05
  1.551798e-02    3.988054e-05
  1.581691e-02    3.718608e-05
  1.611584e-02    3.471926e-05
  1.641477e-02    3.256557e-05
  1.671370e-02    3.096941e-05
  1.701263e-02    2.936491e-05
  1.731156e-02    2.773023e-05
  1.761049e-02    2.617820e-05
  1.790942e-02    2.498236e-05
  1.820835e-02    2.396060e-05
  1.850728e-02    2.260936e-05
  1.880621e-02    2.132122e-05
  1.910514e-02    2.052787e-05
  1.940407e-02    1.963666e-05
  1.970300e-02    1.871811e-05
  2.000193e-02    1.807100e-05
  2.030086e-02    1.734539e-05
  2.059979e-02    1.661752e-05
  2.089873e-02    1.610354e-05
  2.119766e-02    1.556572e-05
  2.149659e-02    1.521530e-05
  2.179552e-02    1.463594e-05
  2.209445e-02    1.409414e-05
  2.239338e-02    1.376939e-05
  2.269231e-02    1.326093e-05
  2.299124e-02    1.287084e-05
  2.329017e-02    1.239476e-05
  2.358910e-02    1.208086e-05
  2.388803e-02    1.181233e-05
  2.418696e-02    1.148454e-05
  2.448589e-02    1.116252e-05
  2.478482e-02    1.104620e-05
  2.508375e-02    1.087765e-05
  2.538268e-02    1.055610e-05
  2.568161e-02    1.031195e-05
  2.598054e-02    1.019850e-05
  2.627947e-02    1.003596e-05
  2.657840e-02    9.936530e-06
  2.687733e-02    9.775655e-06
  2.717626e-02    9.591065e-06
  2.747519e-02    9.332866e-06
  2.777412e-02    9.187232e-06
  2.807305e-02    9.176390e-06
  2.837198e-02    9.120978e-06
  2.867092e-02    9.031575e-06
  2.896985e-02    8.795035e-06
  2.926878e-02    8.710901e-06
  2.956771e-02    8.678876e-06
  2.986664e-02    8.446927e-06
  3.016557e-02    8.264100e-06
  3.046450e-02    8.213910e-06
  3.076343e-02    8.118802e-06
  3.106236e-02    8.053008e-06
  3.136129e-02    8.074201e-06
  3.166022e-02    7.991123e-06
  3.195915e-02    7.952075e-06
  3.225808e-02    7.847760e-06
  3.255701e-02    7.727434e-06
  3.285594e-02    7.708527e-06
  3.315487e-02    7.563473e-06
  3.345380e-02    7.409803e-06
  3.375273e-02    7.372392e-06
  3.405166e-02    7.342259e-06
  3.435059e-02    7.234131e-06
  3.464952e-02    7.181042e-06
  3.494845e-02    7.145212e-06
  3.524738e-02    7.075940e-06
  3.554631e-02    6.920366e-06
  3.584524e-02    6.840788e-06
  3.614417e-02    6.862450e-06
  3.644310e-02    6.684205e-06
  3.674204e-02    6.504561e-06
  3.704097e-02    6.492665e-06
  3.733990e-02    6.432877e-06
  3.763883e-02    6.451539e-06
  3.793776e-02    6.401423e-06
  3.823669e-02    6.403720e-06
  3.853562e-02    6.399037e-06
  3.883455e-02    6.189219e-06
  3.913348e-02    6.239865e-06
  3.943241e-02    6.204290e-06
  3.973134e-02    6.113809e-06
  4.003027e-02    6.048156e-06
  4.032920e-02    6.049991e-06
  4.062813e-02    5.967367e-06
  4.092706e-02    5.969619e-06
  4.122599e-02    5.982221e-06
  4.152492e-02    5.881952e-06
  4.182385e-02    5.863939e-06
  4.212278e-02    5.813547e-06
  4.242171e-02    5.788500e-06
  4.272064e-02    5.700683e-06
  4.301957e-02    5.745509e-06
  4.331850e-02    5.723292e-06
  4.361743e-02    5.805434e-06
  4.391636e-02    5.731838e-06
  4.421529e-02    5.630033e-06
  4.451423e-02    5.570086e-06
  4.481316e-02    5.610539e-06
  4.511209e-02    5.756394e-06
  4.541102e-02    5.695581e-06
  4.570995e-02    5.636286e-06
  4.600888e-02    5.604871e-06
  4.630781e-02    5.553954e-06
  4.660674e-02    5.559340e-06
  4.690567e-02    5.523967e-06
  4.720460e-02    5.519374e-06
  4.750353e-02    5.608517e-06
  4.780246e-02    5.551231e-06
  4.810139e-02    5.473090e-06
  4.840032e-02    5.474776e-06
  4.869925e-02    5.446102e-06
  4.899818e-02    5.427035e-06
  4.929711e-02    5.489929e-06
  4.959604e-02    5.508294e-06
  4.989497e-02    5.464717e-06
  5.019390e-02    5.459392e-06
  5.049283e-02    5.559788e-06
  5.079176e-02    5.534633e-06
  5.109069e-02    5.476068e-06
  5.138962e-02    5.588508e-06
  5.168855e-02    5.769002e-06
  5.198748e-02    5.879233e-06
  5.228642e-02    5.694115e-06
  5.258535e-02    5.423871e-06
  5.288428e-02    5.375323e-06
  5.318321e-02    5.436895e-06
  5.348214e-02    5.418728e-06
  5.378107e-02    5.462191e-06
  5.408000e-02    5.425864e-06
  5.437893e-02    5.328267e-06
  5.467786e-02    5.368574e-06
  5.497679e-02    5.345004e-06
  5.527572e-02    5.331040e-06
  5.557465e-02    5.327852e-06
  5.587358e-02    5.265475e-06
  5.617251e-02    5.361274e-06
  5.647144e-02    5.374374e-06
  5.677037e-02    5.391064e-06
  5.706930e-02    5.358985e-06
  5.736823e-02    5.424135e-06
  5.766716e-02    5.509265e-06
  5.796609e-02    5.491336e-06
  5.826502e-02    5.432685e-06
  5.856395e-02    5.446073e-06
  5.886288e-02    5.436912e-06
  5.916181e-02    5.467081e-06
  5.946074e-02    5.528334e-06
  5.975967e-02    5.442408e-06
  6.005861e-02    5.485583e-06
  6.035754e-02    5.475727e-06
  6.065647e-02    5.502954e-06
  6.095540e-02    5.601575e-06
  6.125433e-02    5.677910e-06
  6.155326e-02    5.740160e-06
  6.185219e-02    5.581620e-06
  6.215112e-02    5.475684e-06
  6.245005e-02    5.511866e-06
  6.274898e-02    5.511893e-06
  6.304791e-02    5.500601e-06
  6.334684e-02    5.454787e-06
  6.364577e-02    5.535869e-06
  6.394470e-02    5.534652e-06
  6.424363e-02    5.531964e-06
  6.454256e-02    5.578690e-06
  6.484149e-02    5.479467e-06
  6.514042e-02    5.516650e-06
  6.543935e-02    5.606386e-06
  6.573828e-02    5.610355e-06
  6.603721e-02    5.600214e-06
  6.633614e-02    5.621650e-06
  6.663507e-02    5.622896e-06
  6.693400e-02    5.593242e-06
  6.723293e-02    5.594323e-06
  6.753186e-02    5.596999e-06
  6.783080e-02    5.609348e-06
  6.812973e-02    5.658334e-06
  6.842866e-02    5.631108e-06
