# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 12483295.600000001
# --> MT-AL_F127_220226_0486faf3-a745-4788-ba71-73c548139f54_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.001235e-03
  4.756484e-03    1.562674e-03
  5.055415e-03    1.105248e-03
  5.354345e-03    7.734585e-04
  5.653276e-03    5.948557e-04
  5.952206e-03    9.784988e-04
  6.251136e-03    8.923788e-04
  6.550067e-03    7.746014e-04
  6.848997e-03    6.571730e-04
  7.147927e-03    5.542713e-04
  7.446858e-03    4.722909e-04
  7.745788e-03    4.048717e-04
  8.044719e-03    3.485171e-04
  8.343649e-03    3.037733e-04
  8.642579e-03    2.654715e-04
  8.941510e-03    2.335665e-04
  9.240440e-03    2.063924e-04
  9.539371e-03    1.829700e-04
  9.838301e-03    1.629305e-04
  1.013723e-02    1.460919e-04
  1.043616e-02    1.312354e-04
  1.073509e-02    1.178339e-04
  1.103402e-02    1.066775e-04
  1.133295e-02    9.673534e-05
  1.163188e-02    8.831515e-05
  1.193081e-02    8.060369e-05
  1.222974e-02    7.378692e-05
  1.252867e-02    6.762666e-05
  1.282760e-02    6.236642e-05
  1.312654e-02    5.756731e-05
  1.342547e-02    5.321616e-05
  1.372440e-02    4.939962e-05
  1.402333e-02    4.591613e-05
  1.432226e-02    4.263437e-05
  1.462119e-02    3.977353e-05
  1.492012e-02    3.707614e-05
  1.521905e-02    3.466171e-05
  1.551798e-02    3.253423e-05
  1.581691e-02    3.053064e-05
  1.611584e-02    2.872905e-05
  1.641477e-02    2.715368e-05
  1.671370e-02    2.559278e-05
  1.701263e-02    2.428708e-05
  1.731156e-02    2.309198e-05
  1.761049e-02    2.192201e-05
  1.790942e-02    2.075809e-05
  1.820835e-02    1.982617e-05
  1.850728e-02    1.895480e-05
  1.880621e-02    1.820533e-05
  1.910514e-02    1.740527e-05
  1.940407e-02    1.660847e-05
  1.970300e-02    1.596999e-05
  2.000193e-02    1.547613e-05
  2.030086e-02    1.485392e-05
  2.059979e-02    1.433384e-05
  2.089873e-02    1.379527e-05
  2.119766e-02    1.328078e-05
  2.149659e-02    1.290256e-05
  2.179552e-02    1.249846e-05
  2.209445e-02    1.215740e-05
  2.239338e-02    1.183110e-05
  2.269231e-02    1.144583e-05
  2.299124e-02    1.115511e-05
  2.329017e-02    1.086427e-05
  2.358910e-02    1.062801e-05
  2.388803e-02    1.036086e-05
  2.418696e-02    1.004170e-05
  2.448589e-02    9.845134e-06
  2.478482e-02    9.655037e-06
  2.508375e-02    9.459061e-06
  2.538268e-02    9.311297e-06
  2.568161e-02    9.163465e-06
  2.598054e-02    8.978725e-06
  2.627947e-02    8.823860e-06
  2.657840e-02    8.684921e-06
  2.687733e-02    8.568008e-06
  2.717626e-02    8.435282e-06
  2.747519e-02    8.289177e-06
  2.777412e-02    8.097336e-06
  2.807305e-02    8.019353e-06
  2.837198e-02    7.959800e-06
  2.867092e-02    7.871229e-06
  2.896985e-02    7.750667e-06
  2.926878e-02    7.630049e-06
  2.956771e-02    7.616497e-06
  2.986664e-02    7.567940e-06
  3.016557e-02    7.420530e-06
  3.046450e-02    7.345818e-06
  3.076343e-02    7.302564e-06
  3.106236e-02    7.233356e-06
  3.136129e-02    7.140082e-06
  3.166022e-02    7.061204e-06
  3.195915e-02    6.967390e-06
  3.225808e-02    6.936207e-06
  3.255701e-02    6.880163e-06
  3.285594e-02    6.746141e-06
  3.315487e-02    6.697597e-06
  3.345380e-02    6.644617e-06
  3.375273e-02    6.614650e-06
  3.405166e-02    6.537093e-06
  3.435059e-02    6.443344e-06
  3.464952e-02    6.407319e-06
  3.494845e-02    6.387368e-06
  3.524738e-02    6.374708e-06
  3.554631e-02    6.282201e-06
  3.584524e-02    6.188560e-06
  3.614417e-02    6.157163e-06
  3.644310e-02    6.128343e-06
  3.674204e-02    6.042002e-06
  3.704097e-02    6.010811e-06
  3.733990e-02    5.971924e-06
  3.763883e-02    5.964966e-06
  3.793776e-02    5.933214e-06
  3.823669e-02    5.843821e-06
  3.853562e-02    5.829241e-06
  3.883455e-02    5.794432e-06
  3.913348e-02    5.770505e-06
  3.943241e-02    5.726313e-06
  3.973134e-02    5.699036e-06
  4.003027e-02    5.683398e-06
  4.032920e-02    5.682577e-06
  4.062813e-02    5.643029e-06
  4.092706e-02    5.584639e-06
  4.122599e-02    5.600276e-06
  4.152492e-02    5.559794e-06
  4.182385e-02    5.499527e-06
  4.212278e-02    5.498551e-06
  4.242171e-02    5.492464e-06
  4.272064e-02    5.447982e-06
  4.301957e-02    5.420584e-06
  4.331850e-02    5.417441e-06
  4.361743e-02    5.391501e-06
  4.391636e-02    5.386951e-06
  4.421529e-02    5.385282e-06
  4.451423e-02    5.411806e-06
  4.481316e-02    5.401873e-06
  4.511209e-02    5.352708e-06
  4.541102e-02    5.313179e-06
  4.570995e-02    5.323215e-06
