# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 13002894.4
# --> MT-AL_F127_220226_1d54f0ef-5e37-46eb-8bdd-a9fea3704c58_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.925162e-03
  4.756484e-03    1.511298e-03
  5.055415e-03    1.071727e-03
  5.354345e-03    7.510810e-04
  5.653276e-03    5.824090e-04
  5.952206e-03    9.575709e-04
  6.251136e-03    8.745394e-04
  6.550067e-03    7.606261e-04
  6.848997e-03    6.476548e-04
  7.147927e-03    5.464593e-04
  7.446858e-03    4.657358e-04
  7.745788e-03    3.990571e-04
  8.044719e-03    3.430909e-04
  8.343649e-03    2.987769e-04
  8.642579e-03    2.609878e-04
  8.941510e-03    2.294050e-04
  9.240440e-03    2.030096e-04
  9.539371e-03    1.801096e-04
  9.838301e-03    1.604785e-04
  1.013723e-02    1.438521e-04
  1.043616e-02    1.296250e-04
  1.073509e-02    1.165730e-04
  1.103402e-02    1.051773e-04
  1.133295e-02    9.529254e-05
  1.163188e-02    8.700485e-05
  1.193081e-02    7.945481e-05
  1.222974e-02    7.253980e-05
  1.252867e-02    6.645815e-05
  1.282760e-02    6.130549e-05
  1.312654e-02    5.669071e-05
  1.342547e-02    5.261405e-05
  1.372440e-02    4.876417e-05
  1.402333e-02    4.544163e-05
  1.432226e-02    4.226937e-05
  1.462119e-02    3.928492e-05
  1.492012e-02    3.664477e-05
  1.521905e-02    3.427636e-05
  1.551798e-02    3.218221e-05
  1.581691e-02    3.010364e-05
  1.611584e-02    2.838050e-05
  1.641477e-02    2.684657e-05
  1.671370e-02    2.538104e-05
  1.701263e-02    2.404895e-05
  1.731156e-02    2.278138e-05
  1.761049e-02    2.164886e-05
  1.790942e-02    2.058947e-05
  1.820835e-02    1.959465e-05
  1.850728e-02    1.863199e-05
  1.880621e-02    1.792897e-05
  1.910514e-02    1.717896e-05
  1.940407e-02    1.638075e-05
  1.970300e-02    1.567396e-05
  2.000193e-02    1.513916e-05
  2.030086e-02    1.464055e-05
  2.059979e-02    1.410506e-05
  2.089873e-02    1.357543e-05
  2.119766e-02    1.319350e-05
  2.149659e-02    1.274481e-05
  2.179552e-02    1.224781e-05
  2.209445e-02    1.189106e-05
  2.239338e-02    1.151627e-05
  2.269231e-02    1.121786e-05
  2.299124e-02    1.085602e-05
  2.329017e-02    1.060367e-05
  2.358910e-02    1.033977e-05
  2.388803e-02    1.005511e-05
  2.418696e-02    9.885463e-06
  2.448589e-02    9.643059e-06
  2.478482e-02    9.452549e-06
  2.508375e-02    9.336058e-06
  2.538268e-02    9.123924e-06
  2.568161e-02    8.922766e-06
  2.598054e-02    8.728426e-06
  2.627947e-02    8.611948e-06
  2.657840e-02    8.442490e-06
  2.687733e-02    8.304714e-06
  2.717626e-02    8.195404e-06
  2.747519e-02    8.080277e-06
  2.777412e-02    7.946454e-06
  2.807305e-02    7.870929e-06
  2.837198e-02    7.780001e-06
  2.867092e-02    7.653062e-06
  2.896985e-02    7.486088e-06
  2.926878e-02    7.406420e-06
  2.956771e-02    7.361602e-06
  2.986664e-02    7.316893e-06
  3.016557e-02    7.228029e-06
  3.046450e-02    7.124619e-06
  3.076343e-02    7.054399e-06
  3.106236e-02    6.984478e-06
  3.136129e-02    6.890717e-06
  3.166022e-02    6.856338e-06
  3.195915e-02    6.795864e-06
  3.225808e-02    6.684600e-06
  3.255701e-02    6.625978e-06
  3.285594e-02    6.552666e-06
  3.315487e-02    6.492045e-06
  3.345380e-02    6.452917e-06
  3.375273e-02    6.336659e-06
  3.405166e-02    6.293436e-06
  3.435059e-02    6.269030e-06
  3.464952e-02    6.257118e-06
  3.494845e-02    6.212006e-06
  3.524738e-02    6.187684e-06
  3.554631e-02    6.118612e-06
  3.584524e-02    6.014789e-06
  3.614417e-02    5.974126e-06
  3.644310e-02    5.954234e-06
  3.674204e-02    5.866422e-06
  3.704097e-02    5.811858e-06
  3.733990e-02    5.800982e-06
  3.763883e-02    5.736875e-06
  3.793776e-02    5.690679e-06
  3.823669e-02    5.621209e-06
  3.853562e-02    5.592794e-06
  3.883455e-02    5.572049e-06
  3.913348e-02    5.534837e-06
  3.943241e-02    5.480466e-06
  3.973134e-02    5.462408e-06
  4.003027e-02    5.423571e-06
  4.032920e-02    5.412310e-06
  4.062813e-02    5.408710e-06
  4.092706e-02    5.371633e-06
