# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 645366.8
# --> MT-AL_F127_220226_20416c6d-3987-4fa5-a160-c414f12a1538_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    5.024348e-02
  4.756484e-03    3.947387e-02
  5.055415e-03    2.802655e-02
  5.354345e-03    1.974372e-02
  5.653276e-03    1.537359e-02
  5.952206e-03    2.576848e-02
  6.251136e-03    2.348733e-02
  6.550067e-03    2.030646e-02
  6.848997e-03    1.717766e-02
  7.147927e-03    1.447032e-02
  7.446858e-03    1.234844e-02
  7.745788e-03    1.057004e-02
  8.044719e-03    9.083258e-03
  8.343649e-03    7.918759e-03
  8.642579e-03    6.934314e-03
  8.941510e-03    6.102438e-03
  9.240440e-03    5.403790e-03
  9.539371e-03    4.787064e-03
  9.838301e-03    4.254462e-03
  1.013723e-02    3.810897e-03
  1.043616e-02    3.430220e-03
  1.073509e-02    3.088025e-03
  1.103402e-02    2.793910e-03
  1.133295e-02    2.527494e-03
  1.163188e-02    2.300822e-03
  1.193081e-02    2.106803e-03
  1.222974e-02    1.930382e-03
  1.252867e-02    1.772336e-03
  1.282760e-02    1.634808e-03
  1.312654e-02    1.507275e-03
  1.342547e-02    1.395059e-03
  1.372440e-02    1.292320e-03
  1.402333e-02    1.201568e-03
  1.432226e-02    1.119124e-03
  1.462119e-02    1.041399e-03
  1.492012e-02    9.783537e-04
  1.521905e-02    9.187637e-04
  1.551798e-02    8.619124e-04
  1.581691e-02    8.069770e-04
