# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 17505720.6
# --> MT-AL_F127_220226_339f6aec-2ec1-4bde-9e1d-5c6efadc6f5d_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.853541e-03
  4.756484e-03    1.470764e-03
  5.055415e-03    1.061129e-03
  5.354345e-03    7.586123e-04
  5.653276e-03    5.942589e-04
  5.952206e-03    9.635414e-04
  6.251136e-03    8.796818e-04
  6.550067e-03    7.625854e-04
  6.848997e-03    6.474509e-04
  7.147927e-03    5.473240e-04
  7.446858e-03    4.686361e-04
  7.745788e-03    4.017654e-04
  8.044719e-03    3.461813e-04
  8.343649e-03    3.025265e-04
  8.642579e-03    2.650598e-04
  8.941510e-03    2.331524e-04
  9.240440e-03    2.068101e-04
  9.539371e-03    1.833821e-04
  9.838301e-03    1.630788e-04
  1.013723e-02    1.461625e-04
  1.043616e-02    1.316557e-04
  1.073509e-02    1.180464e-04
  1.103402e-02    1.068711e-04
  1.133295e-02    9.697692e-05
  1.163188e-02    8.846110e-05
  1.193081e-02    8.069837e-05
  1.222974e-02    7.386362e-05
  1.252867e-02    6.771591e-05
  1.282760e-02    6.224940e-05
  1.312654e-02    5.737489e-05
  1.342547e-02    5.298650e-05
  1.372440e-02    4.900973e-05
  1.402333e-02    4.565143e-05
  1.432226e-02    4.251105e-05
  1.462119e-02    3.954212e-05
  1.492012e-02    3.690907e-05
  1.521905e-02    3.452264e-05
  1.551798e-02    3.233439e-05
  1.581691e-02    3.024190e-05
  1.611584e-02    2.841946e-05
  1.641477e-02    2.690320e-05
  1.671370e-02    2.539900e-05
  1.701263e-02    2.403866e-05
  1.731156e-02    2.279144e-05
  1.761049e-02    2.158654e-05
  1.790942e-02    2.054460e-05
  1.820835e-02    1.958243e-05
  1.850728e-02    1.858394e-05
  1.880621e-02    1.775513e-05
  1.910514e-02    1.701454e-05
  1.940407e-02    1.633845e-05
  1.970300e-02    1.563583e-05
  2.000193e-02    1.500824e-05
