# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 7922357.0
# --> MT-AL_F127_220226_4512be15-3d6c-4404-9d36-36f48d0a5232_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.023787e-03
  4.756484e-03    1.574151e-03
  5.055415e-03    1.100154e-03
  5.354345e-03    7.638675e-04
  5.653276e-03    5.865918e-04
  5.952206e-03    9.597221e-04
  6.251136e-03    8.790157e-04
  6.550067e-03    7.661703e-04
  6.848997e-03    6.528852e-04
  7.147927e-03    5.503221e-04
  7.446858e-03    4.698613e-04
  7.745788e-03    4.028141e-04
  8.044719e-03    3.465118e-04
  8.343649e-03    3.011303e-04
  8.642579e-03    2.638302e-04
  8.941510e-03    2.323279e-04
  9.240440e-03    2.053794e-04
  9.539371e-03    1.820873e-04
  9.838301e-03    1.620173e-04
  1.013723e-02    1.453493e-04
  1.043616e-02    1.304707e-04
  1.073509e-02    1.173879e-04
  1.103402e-02    1.060152e-04
  1.133295e-02    9.589069e-05
  1.163188e-02    8.755203e-05
  1.193081e-02    7.988895e-05
  1.222974e-02    7.313323e-05
  1.252867e-02    6.724666e-05
  1.282760e-02    6.181394e-05
  1.312654e-02    5.695232e-05
  1.342547e-02    5.273828e-05
  1.372440e-02    4.880685e-05
  1.402333e-02    4.528094e-05
  1.432226e-02    4.233755e-05
  1.462119e-02    3.941988e-05
  1.492012e-02    3.676380e-05
  1.521905e-02    3.436298e-05
  1.551798e-02    3.235865e-05
  1.581691e-02    3.040022e-05
  1.611584e-02    2.867128e-05
  1.641477e-02    2.708163e-05
  1.671370e-02    2.552865e-05
  1.701263e-02    2.402612e-05
  1.731156e-02    2.276270e-05
  1.761049e-02    2.171922e-05
  1.790942e-02    2.064106e-05
  1.820835e-02    1.966304e-05
  1.850728e-02    1.880363e-05
  1.880621e-02    1.807144e-05
  1.910514e-02    1.727577e-05
  1.940407e-02    1.659177e-05
  1.970300e-02    1.590326e-05
  2.000193e-02    1.522322e-05
  2.030086e-02    1.462514e-05
  2.059979e-02    1.420656e-05
  2.089873e-02    1.370959e-05
  2.119766e-02    1.312104e-05
  2.149659e-02    1.267389e-05
  2.179552e-02    1.231043e-05
  2.209445e-02    1.203282e-05
  2.239338e-02    1.169732e-05
  2.269231e-02    1.136125e-05
  2.299124e-02    1.106352e-05
  2.329017e-02    1.078836e-05
  2.358910e-02    1.045606e-05
  2.388803e-02    1.018452e-05
  2.418696e-02    9.960826e-06
  2.448589e-02    9.738602e-06
  2.478482e-02    9.500633e-06
  2.508375e-02    9.390664e-06
  2.538268e-02    9.225731e-06
  2.568161e-02    9.030842e-06
  2.598054e-02    8.825960e-06
  2.627947e-02    8.641869e-06
  2.657840e-02    8.558173e-06
  2.687733e-02    8.424532e-06
  2.717626e-02    8.280005e-06
  2.747519e-02    8.146861e-06
  2.777412e-02    8.104171e-06
  2.807305e-02    7.973414e-06
  2.837198e-02    7.839141e-06
  2.867092e-02    7.787457e-06
  2.896985e-02    7.637607e-06
  2.926878e-02    7.543035e-06
  2.956771e-02    7.521813e-06
  2.986664e-02    7.424904e-06
  3.016557e-02    7.313285e-06
  3.046450e-02    7.226713e-06
  3.076343e-02    7.107202e-06
  3.106236e-02    7.019816e-06
  3.136129e-02    6.943554e-06
  3.166022e-02    6.893609e-06
  3.195915e-02    6.901349e-06
  3.225808e-02    6.838070e-06
  3.255701e-02    6.724261e-06
  3.285594e-02    6.674482e-06
  3.315487e-02    6.635820e-06
  3.345380e-02    6.562015e-06
  3.375273e-02    6.501751e-06
  3.405166e-02    6.462467e-06
  3.435059e-02    6.351396e-06
  3.464952e-02    6.264764e-06
  3.494845e-02    6.253121e-06
  3.524738e-02    6.198617e-06
  3.554631e-02    6.148107e-06
  3.584524e-02    6.092441e-06
  3.614417e-02    6.023265e-06
  3.644310e-02    5.971946e-06
  3.674204e-02    5.919534e-06
  3.704097e-02    5.853586e-06
  3.733990e-02    5.795164e-06
  3.763883e-02    5.784866e-06
  3.793776e-02    5.726426e-06
  3.823669e-02    5.671853e-06
  3.853562e-02    5.634721e-06
  3.883455e-02    5.597672e-06
  3.913348e-02    5.626249e-06
  3.943241e-02    5.556878e-06
  3.973134e-02    5.528856e-06
  4.003027e-02    5.476569e-06
  4.032920e-02    5.418191e-06
  4.062813e-02    5.385308e-06
  4.092706e-02    5.363196e-06
  4.122599e-02    5.353837e-06
  4.152492e-02    5.335642e-06
  4.182385e-02    5.342808e-06
  4.212278e-02    5.308131e-06
  4.242171e-02    5.269580e-06
  4.272064e-02    5.240621e-06
  4.301957e-02    5.273961e-06
  4.331850e-02    5.253889e-06
  4.361743e-02    5.224857e-06
  4.391636e-02    5.173342e-06
  4.421529e-02    5.166979e-06
  4.451423e-02    5.187012e-06
  4.481316e-02    5.171978e-06
  4.511209e-02    5.192510e-06
  4.541102e-02    5.180409e-06
  4.570995e-02    5.159208e-06
  4.600888e-02    5.142528e-06
  4.630781e-02    5.116052e-06
  4.660674e-02    5.098137e-06
  4.690567e-02    5.114719e-06
  4.720460e-02    5.115924e-06
  4.750353e-02    5.094020e-06
  4.780246e-02    5.104618e-06
  4.810139e-02    5.153966e-06
  4.840032e-02    5.130410e-06
  4.869925e-02    5.092370e-06
  4.899818e-02    5.055714e-06
  4.929711e-02    5.089931e-06
  4.959604e-02    5.067913e-06
  4.989497e-02    5.080187e-06
  5.019390e-02    5.070779e-06
  5.049283e-02    5.063371e-06
  5.079176e-02    5.107980e-06
  5.109069e-02    5.105113e-06
  5.138962e-02    5.147162e-06
  5.168855e-02    5.265531e-06
  5.198748e-02    5.349567e-06
  5.228642e-02    5.315537e-06
  5.258535e-02    5.155702e-06
  5.288428e-02    5.069713e-06
  5.318321e-02    5.065551e-06
  5.348214e-02    5.081348e-06
  5.378107e-02    5.083009e-06
  5.408000e-02    5.048633e-06
  5.437893e-02    5.057306e-06
  5.467786e-02    5.084136e-06
  5.497679e-02    5.068865e-06
  5.527572e-02    5.056916e-06
  5.557465e-02    5.051525e-06
  5.587358e-02    5.061092e-06
  5.617251e-02    5.060772e-06
  5.647144e-02    5.065334e-06
  5.677037e-02    5.058958e-06
  5.706930e-02    5.123515e-06
  5.736823e-02    5.113583e-06
  5.766716e-02    5.044009e-06
  5.796609e-02    5.075484e-06
  5.826502e-02    5.081439e-06
  5.856395e-02    5.062451e-06
  5.886288e-02    5.117866e-06
  5.916181e-02    5.127757e-06
  5.946074e-02    5.124774e-06
  5.975967e-02    5.148142e-06
  6.005861e-02    5.162890e-06
  6.035754e-02    5.174070e-06
  6.065647e-02    5.202918e-06
  6.095540e-02    5.225782e-06
  6.125433e-02    5.290237e-06
  6.155326e-02    5.344262e-06
  6.185219e-02    5.250063e-06
  6.215112e-02    5.191183e-06
  6.245005e-02    5.160981e-06
  6.274898e-02    5.173112e-06
  6.304791e-02    5.197479e-06
  6.334684e-02    5.192208e-06
  6.364577e-02    5.231288e-06
  6.394470e-02    5.229291e-06
  6.424363e-02    5.218270e-06
  6.454256e-02    5.219342e-06
  6.484149e-02    5.231587e-06
  6.514042e-02    5.252396e-06
  6.543935e-02    5.288556e-06
  6.573828e-02    5.306498e-06
  6.603721e-02    5.291302e-06
  6.633614e-02    5.295312e-06
  6.663507e-02    5.286420e-06
  6.693400e-02    5.308420e-06
  6.723293e-02    5.314166e-06
  6.753186e-02    5.359027e-06
  6.783080e-02    5.355903e-06
  6.812973e-02    5.374446e-06
  6.842866e-02    5.367015e-06
  6.872759e-02    5.361947e-06
  6.902652e-02    5.376370e-06
  6.932545e-02    5.366437e-06
  6.962438e-02    5.382769e-06
  6.992331e-02    5.412316e-06
  7.022224e-02    5.433507e-06
  7.052117e-02    5.421154e-06
  7.082010e-02    5.423527e-06
  7.111903e-02    5.415447e-06
  7.141796e-02    5.431774e-06
  7.171689e-02    5.445096e-06
  7.201582e-02    5.458220e-06
  7.231475e-02    5.460732e-06
  7.261368e-02    5.453793e-06
  7.291261e-02    5.477824e-06
  7.321154e-02    5.525163e-06
  7.351047e-02    5.501415e-06
  7.380940e-02    5.472317e-06
  7.410833e-02    5.449640e-06
  7.440726e-02    5.455465e-06
  7.470619e-02    5.466596e-06
  7.500512e-02    5.463809e-06
  7.530405e-02    5.489074e-06
  7.560299e-02    5.482547e-06
  7.590192e-02    5.487648e-06
  7.620085e-02    5.487754e-06
  7.649978e-02    5.474227e-06
  7.679871e-02    5.508429e-06
  7.709764e-02    5.494065e-06
  7.739657e-02    5.462010e-06
  7.769550e-02    5.503154e-06
  7.799443e-02    5.478446e-06
  7.829336e-02    5.449263e-06
  7.859229e-02    5.468789e-06
  7.889122e-02    5.467225e-06
  7.919015e-02    5.488660e-06
  7.948908e-02    5.490103e-06
  7.978801e-02    5.487103e-06
  8.008694e-02    5.459180e-06
  8.038587e-02    5.457188e-06
  8.068480e-02    5.477002e-06
  8.098373e-02    5.463789e-06
  8.128266e-02    5.439591e-06
  8.158159e-02    5.428609e-06
  8.188052e-02    5.421658e-06
  8.217945e-02    5.412696e-06
  8.247838e-02    5.421999e-06
  8.277731e-02    5.390897e-06
  8.307624e-02    5.398005e-06
  8.337518e-02    5.420242e-06
  8.367411e-02    5.424922e-06
  8.397304e-02    5.419385e-06
  8.427197e-02    5.406042e-06
  8.457090e-02    5.397554e-06
  8.486983e-02    5.365648e-06
  8.516876e-02    5.339567e-06
  8.546769e-02    5.334723e-06
  8.576662e-02    5.318180e-06
  8.606555e-02    5.336493e-06
  8.636448e-02    5.356732e-06
  8.666341e-02    5.304624e-06
  8.696234e-02    5.290404e-06
  8.726127e-02    5.318364e-06
  8.756020e-02    5.299332e-06
  8.785913e-02    5.272233e-06
  8.815806e-02    5.256013e-06
  8.845699e-02    5.259753e-06
  8.875592e-02    5.265868e-06
  8.905485e-02    5.213704e-06
  8.935378e-02    5.222707e-06
  8.965271e-02    5.235038e-06
  8.995164e-02    5.211708e-06
  9.025057e-02    5.204785e-06
  9.054950e-02    5.215089e-06
  9.084843e-02    5.193450e-06
  9.114737e-02    5.181807e-06
  9.144630e-02    5.173258e-06
  9.174523e-02    5.160343e-06
  9.204416e-02    5.161824e-06
  9.234309e-02    5.138782e-06
  9.264202e-02    5.125288e-06
  9.294095e-02    5.109719e-06
  9.323988e-02    5.108993e-06
  9.353881e-02    5.101365e-06
  9.383774e-02    5.100671e-06
  9.413667e-02    5.101263e-06
  9.443560e-02    5.071292e-06
  9.473453e-02    5.061051e-06
  9.503346e-02    5.040537e-06
  9.533239e-02    5.028304e-06
  9.563132e-02    5.040356e-06
  9.593025e-02    5.049628e-06
  9.622918e-02    5.060997e-06
  9.652811e-02    5.041651e-06
  9.682704e-02    5.060444e-06
  9.712597e-02    5.087140e-06
  9.742490e-02    5.047665e-06
  9.772383e-02    4.996243e-06
  9.802276e-02    4.995299e-06
  9.832169e-02    4.975263e-06
  9.862062e-02    4.963656e-06
  9.891956e-02    4.948344e-06
  9.921849e-02    4.908337e-06
  9.951742e-02    4.902603e-06
  9.981635e-02    4.901302e-06
  1.001153e-01    4.874863e-06
  1.004142e-01    4.863303e-06
  1.007131e-01    4.852081e-06
  1.010121e-01    4.857625e-06
  1.013110e-01    4.869491e-06
  1.016099e-01    4.872251e-06
  1.019089e-01    4.878286e-06
  1.022078e-01    4.863123e-06
  1.025067e-01    4.826335e-06
  1.028057e-01    4.789190e-06
  1.031046e-01    4.799703e-06
  1.034035e-01    4.817186e-06
  1.037024e-01    4.811268e-06
  1.040014e-01    4.767135e-06
  1.043003e-01    4.741298e-06
  1.045992e-01    4.746222e-06
  1.048982e-01    4.757932e-06
  1.051971e-01    4.741366e-06
  1.054960e-01    4.758141e-06
  1.057950e-01    4.756620e-06
  1.060939e-01    4.709689e-06
  1.063928e-01    4.691535e-06
  1.066917e-01    4.676026e-06
  1.069907e-01    4.672918e-06
  1.072896e-01    4.688121e-06
  1.075885e-01    4.668384e-06
  1.078875e-01    4.667471e-06
  1.081864e-01    4.675025e-06
  1.084853e-01    4.681280e-06
  1.087843e-01    4.693121e-06
  1.090832e-01    4.676533e-06
  1.093821e-01    4.626775e-06
  1.096810e-01    4.615290e-06
  1.099800e-01    4.618500e-06
  1.102789e-01    4.590872e-06
  1.105778e-01    4.547736e-06
  1.108768e-01    4.538559e-06
  1.111757e-01    4.566860e-06
  1.114746e-01    4.526036e-06
  1.117736e-01    4.485704e-06
  1.120725e-01    4.519956e-06
  1.123714e-01    4.563053e-06
