# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 2900358.5999999996
# --> MT-AL_F127_220226_47c1da36-2278-4d98-b4fb-f372322d695f_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    6.198243e-03
  4.756484e-03    4.867486e-03
  5.055415e-03    3.472434e-03
  5.354345e-03    2.456408e-03
  5.653276e-03    1.889439e-03
  5.952206e-03    3.062206e-03
  6.251136e-03    2.804114e-03
  6.550067e-03    2.440448e-03
  6.848997e-03    2.074314e-03
  7.147927e-03    1.752727e-03
  7.446858e-03    1.496157e-03
  7.745788e-03    1.283039e-03
  8.044719e-03    1.106844e-03
  8.343649e-03    9.681234e-04
  8.642579e-03    8.468924e-04
  8.941510e-03    7.469317e-04
  9.240440e-03    6.621359e-04
  9.539371e-03    5.873548e-04
  9.838301e-03    5.225084e-04
  1.013723e-02    4.689776e-04
  1.043616e-02    4.212122e-04
  1.073509e-02    3.781166e-04
  1.103402e-02    3.425242e-04
  1.133295e-02    3.110304e-04
  1.163188e-02    2.840151e-04
  1.193081e-02    2.583268e-04
  1.222974e-02    2.367425e-04
  1.252867e-02    2.174571e-04
  1.282760e-02    2.001621e-04
  1.312654e-02    1.840139e-04
  1.342547e-02    1.704789e-04
  1.372440e-02    1.585656e-04
  1.402333e-02    1.474285e-04
  1.432226e-02    1.371720e-04
  1.462119e-02    1.275098e-04
  1.492012e-02    1.192927e-04
  1.521905e-02    1.115924e-04
  1.551798e-02    1.051551e-04
  1.581691e-02    9.847011e-05
  1.611584e-02    9.272216e-05
  1.641477e-02    8.728732e-05
  1.671370e-02    8.218950e-05
  1.701263e-02    7.800901e-05
  1.731156e-02    7.390024e-05
  1.761049e-02    7.017709e-05
  1.790942e-02    6.668646e-05
  1.820835e-02    6.359997e-05
  1.850728e-02    6.087930e-05
  1.880621e-02    5.805066e-05
  1.910514e-02    5.552393e-05
  1.940407e-02    5.297232e-05
  1.970300e-02    5.091559e-05
  2.000193e-02    4.920081e-05
  2.030086e-02    4.728703e-05
  2.059979e-02    4.553421e-05
  2.089873e-02    4.405478e-05
  2.119766e-02    4.232113e-05
  2.149659e-02    4.147975e-05
  2.179552e-02    4.025074e-05
  2.209445e-02    3.884300e-05
  2.239338e-02    3.762400e-05
  2.269231e-02    3.655259e-05
  2.299124e-02    3.557704e-05
  2.329017e-02    3.457210e-05
  2.358910e-02    3.372246e-05
  2.388803e-02    3.289559e-05
  2.418696e-02    3.198548e-05
  2.448589e-02    3.123191e-05
  2.478482e-02    3.063623e-05
  2.508375e-02    3.014860e-05
  2.538268e-02    2.946312e-05
  2.568161e-02    2.894823e-05
  2.598054e-02    2.841998e-05
  2.627947e-02    2.785731e-05
  2.657840e-02    2.730244e-05
  2.687733e-02    2.674505e-05
  2.717626e-02    2.647437e-05
  2.747519e-02    2.624852e-05
  2.777412e-02    2.580657e-05
  2.807305e-02    2.546389e-05
  2.837198e-02    2.506443e-05
  2.867092e-02    2.469970e-05
  2.896985e-02    2.438563e-05
  2.926878e-02    2.417256e-05
  2.956771e-02    2.388692e-05
  2.986664e-02    2.361457e-05
  3.016557e-02    2.332021e-05
  3.046450e-02    2.295708e-05
  3.076343e-02    2.267736e-05
