# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 818850.8
# --> MT-AL_F127_220226_53cf49ff-a028-47e9-a3d5-aa78e6cc82d3_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.702644e-02
  4.756484e-03    1.327559e-02
  5.055415e-03    9.416495e-03
  5.354345e-03    6.537115e-03
  5.653276e-03    4.967103e-03
  5.952206e-03    8.103302e-03
  6.251136e-03    7.431140e-03
  6.550067e-03    6.464560e-03
  6.848997e-03    5.500339e-03
  7.147927e-03    4.652999e-03
  7.446858e-03    3.976522e-03
  7.745788e-03    3.407597e-03
  8.044719e-03    2.934370e-03
  8.343649e-03    2.558004e-03
  8.642579e-03    2.244357e-03
  8.941510e-03    1.968238e-03
  9.240440e-03    1.740190e-03
  9.539371e-03    1.550567e-03
  9.838301e-03    1.379404e-03
  1.013723e-02    1.235831e-03
  1.043616e-02    1.115510e-03
  1.073509e-02    9.991073e-04
  1.103402e-02    9.017605e-04
  1.133295e-02    8.191131e-04
  1.163188e-02    7.468152e-04
  1.193081e-02    6.826715e-04
  1.222974e-02    6.241257e-04
  1.252867e-02    5.743103e-04
  1.282760e-02    5.294291e-04
  1.312654e-02    4.877493e-04
  1.342547e-02    4.526793e-04
  1.372440e-02    4.201374e-04
  1.402333e-02    3.917299e-04
  1.432226e-02    3.650884e-04
  1.462119e-02    3.387052e-04
  1.492012e-02    3.157826e-04
  1.521905e-02    2.970478e-04
  1.551798e-02    2.778350e-04
  1.581691e-02    2.612468e-04
  1.611584e-02    2.456414e-04
  1.641477e-02    2.322306e-04
  1.671370e-02    2.197133e-04
  1.701263e-02    2.073511e-04
  1.731156e-02    1.963964e-04
  1.761049e-02    1.860602e-04
  1.790942e-02    1.779867e-04
  1.820835e-02    1.693030e-04
  1.850728e-02    1.623784e-04
  1.880621e-02    1.553213e-04
  1.910514e-02    1.477831e-04
  1.940407e-02    1.417744e-04
  1.970300e-02    1.358029e-04
  2.000193e-02    1.306875e-04
  2.030086e-02    1.268179e-04
  2.059979e-02    1.231920e-04
  2.089873e-02    1.182569e-04
  2.119766e-02    1.143947e-04
  2.149659e-02    1.109743e-04
  2.179552e-02    1.071826e-04
  2.209445e-02    1.038416e-04
  2.239338e-02    1.020074e-04
  2.269231e-02    9.887067e-05
  2.299124e-02    9.613905e-05
  2.329017e-02    9.370669e-05
  2.358910e-02    9.163529e-05
  2.388803e-02    8.931464e-05
  2.418696e-02    8.675249e-05
  2.448589e-02    8.471442e-05
  2.478482e-02    8.296985e-05
  2.508375e-02    8.144725e-05
  2.538268e-02    8.015394e-05
  2.568161e-02    7.876204e-05
  2.598054e-02    7.722774e-05
  2.627947e-02    7.556051e-05
  2.657840e-02    7.412375e-05
  2.687733e-02    7.314296e-05
  2.717626e-02    7.200612e-05
  2.747519e-02    7.067608e-05
  2.777412e-02    7.002293e-05
  2.807305e-02    6.893872e-05
  2.837198e-02    6.809810e-05
  2.867092e-02    6.706822e-05
  2.896985e-02    6.603156e-05
  2.926878e-02    6.549774e-05
  2.956771e-02    6.488337e-05
  2.986664e-02    6.405381e-05
  3.016557e-02    6.357707e-05
  3.046450e-02    6.290745e-05
  3.076343e-02    6.196517e-05
  3.106236e-02    6.131212e-05
  3.136129e-02    6.068934e-05
  3.166022e-02    6.014283e-05
  3.195915e-02    5.954764e-05
  3.225808e-02    5.925702e-05
  3.255701e-02    5.826504e-05
  3.285594e-02    5.769927e-05
  3.315487e-02    5.747269e-05
  3.345380e-02    5.689019e-05
  3.375273e-02    5.623623e-05
  3.405166e-02    5.589905e-05
  3.435059e-02    5.534341e-05
  3.464952e-02    5.465163e-05
  3.494845e-02    5.428125e-05
  3.524738e-02    5.345467e-05
  3.554631e-02    5.334137e-05
  3.584524e-02    5.252278e-05
  3.614417e-02    5.227854e-05
  3.644310e-02    5.190804e-05
  3.674204e-02    5.119568e-05
  3.704097e-02    5.059489e-05
  3.733990e-02    5.059268e-05
  3.763883e-02    5.020072e-05
  3.793776e-02    4.966072e-05
  3.823669e-02    4.956766e-05
  3.853562e-02    4.879506e-05
  3.883455e-02    4.846699e-05
  3.913348e-02    4.815151e-05
  3.943241e-02    4.780815e-05
  3.973134e-02    4.762791e-05
  4.003027e-02    4.740243e-05
  4.032920e-02    4.707115e-05
  4.062813e-02    4.678485e-05
  4.092706e-02    4.678502e-05
  4.122599e-02    4.649902e-05
  4.152492e-02    4.608437e-05
  4.182385e-02    4.587779e-05
  4.212278e-02    4.583004e-05
  4.242171e-02    4.544419e-05
  4.272064e-02    4.544632e-05
  4.301957e-02    4.532014e-05
  4.331850e-02    4.488181e-05
  4.361743e-02    4.489375e-05
  4.391636e-02    4.500945e-05
  4.421529e-02    4.483345e-05
  4.451423e-02    4.471180e-05
  4.481316e-02    4.428581e-05
  4.511209e-02    4.419816e-05
  4.541102e-02    4.413878e-05
  4.570995e-02    4.408981e-05
  4.600888e-02    4.402589e-05
  4.630781e-02    4.434789e-05
  4.660674e-02    4.439208e-05
  4.690567e-02    4.386542e-05
  4.720460e-02    4.391032e-05
  4.750353e-02    4.387561e-05
  4.780246e-02    4.415291e-05
  4.810139e-02    4.385348e-05
  4.840032e-02    4.380287e-05
  4.869925e-02    4.407285e-05
  4.899818e-02    4.368605e-05
  4.929711e-02    4.359459e-05
  4.959604e-02    4.316126e-05
  4.989497e-02    4.297956e-05
  5.019390e-02    4.324743e-05
  5.049283e-02    4.356637e-05
  5.079176e-02    4.317659e-05
  5.109069e-02    4.329390e-05
  5.138962e-02    4.411286e-05
  5.168855e-02    4.500596e-05
  5.198748e-02    4.623915e-05
  5.228642e-02    4.587432e-05
  5.258535e-02    4.389397e-05
  5.288428e-02    4.333391e-05
  5.318321e-02    4.308105e-05
  5.348214e-02    4.309158e-05
  5.378107e-02    4.301731e-05
  5.408000e-02    4.296995e-05
  5.437893e-02    4.343268e-05
  5.467786e-02    4.340882e-05
  5.497679e-02    4.317602e-05
  5.527572e-02    4.313589e-05
  5.557465e-02    4.317290e-05
  5.587358e-02    4.296101e-05
  5.617251e-02    4.319338e-05
  5.647144e-02    4.330551e-05
  5.677037e-02    4.304686e-05
  5.706930e-02    4.327191e-05
  5.736823e-02    4.335232e-05
  5.766716e-02    4.333507e-05
  5.796609e-02    4.333231e-05
  5.826502e-02    4.333117e-05
  5.856395e-02    4.324551e-05
  5.886288e-02    4.324849e-05
  5.916181e-02    4.307914e-05
  5.946074e-02    4.341477e-05
  5.975967e-02    4.361549e-05
  6.005861e-02    4.380852e-05
  6.035754e-02    4.405930e-05
  6.065647e-02    4.366456e-05
  6.095540e-02    4.426524e-05
  6.125433e-02    4.536378e-05
  6.155326e-02    4.522350e-05
  6.185219e-02    4.453819e-05
  6.215112e-02    4.405628e-05
  6.245005e-02    4.357448e-05
  6.274898e-02    4.363252e-05
  6.304791e-02    4.413820e-05
  6.334684e-02    4.435010e-05
  6.364577e-02    4.427026e-05
  6.394470e-02    4.446165e-05
  6.424363e-02    4.456274e-05
  6.454256e-02    4.422129e-05
  6.484149e-02    4.386578e-05
  6.514042e-02    4.413653e-05
  6.543935e-02    4.447990e-05
  6.573828e-02    4.436269e-05
  6.603721e-02    4.402886e-05
  6.633614e-02    4.431718e-05
  6.663507e-02    4.455053e-05
  6.693400e-02    4.465775e-05
  6.723293e-02    4.499291e-05
  6.753186e-02    4.496905e-05
  6.783080e-02    4.500872e-05
  6.812973e-02    4.482030e-05
  6.842866e-02    4.487323e-05
  6.872759e-02    4.491711e-05
  6.902652e-02    4.469967e-05
  6.932545e-02    4.513512e-05
  6.962438e-02    4.515640e-05
  6.992331e-02    4.506226e-05
  7.022224e-02    4.501131e-05
  7.052117e-02    4.506893e-05
  7.082010e-02    4.515758e-05
  7.111903e-02    4.516977e-05
  7.141796e-02    4.518015e-05
  7.171689e-02    4.500709e-05
  7.201582e-02    4.503776e-05
  7.231475e-02    4.532451e-05
  7.261368e-02    4.530026e-05
  7.291261e-02    4.547111e-05
  7.321154e-02    4.593888e-05
  7.351047e-02    4.579010e-05
  7.380940e-02    4.561108e-05
  7.410833e-02    4.551022e-05
  7.440726e-02    4.547002e-05
  7.470619e-02    4.539742e-05
  7.500512e-02    4.533694e-05
  7.530405e-02    4.559742e-05
  7.560299e-02    4.600305e-05
  7.590192e-02    4.594808e-05
  7.620085e-02    4.568848e-05
  7.649978e-02    4.565229e-05
  7.679871e-02    4.557697e-05
  7.709764e-02    4.531932e-05
  7.739657e-02    4.528295e-05
  7.769550e-02    4.560609e-05
  7.799443e-02    4.554758e-05
  7.829336e-02    4.533227e-05
  7.859229e-02    4.508820e-05
  7.889122e-02    4.517697e-05
  7.919015e-02    4.511873e-05
  7.948908e-02    4.532165e-05
  7.978801e-02    4.534661e-05
  8.008694e-02    4.508222e-05
  8.038587e-02    4.496688e-05
  8.068480e-02    4.496570e-05
  8.098373e-02    4.478897e-05
  8.128266e-02    4.467556e-05
  8.158159e-02    4.515224e-05
  8.188052e-02    4.521593e-05
  8.217945e-02    4.482739e-05
