# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 3197556.6
# --> MT-AL_F127_220226_5633c8c6-a2ca-4a33-9d3f-2040314a8135_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.196664e-03
  4.756484e-03    1.715030e-03
  5.055415e-03    1.209505e-03
  5.354345e-03    8.395890e-04
  5.653276e-03    6.452982e-04
  5.952206e-03    1.022616e-03
  6.251136e-03    9.296598e-04
  6.550067e-03    8.080976e-04
  6.848997e-03    6.895367e-04
  7.147927e-03    5.823243e-04
  7.446858e-03    5.004578e-04
  7.745788e-03    4.301916e-04
  8.044719e-03    3.693700e-04
  8.343649e-03    3.231625e-04
  8.642579e-03    2.825171e-04
  8.941510e-03    2.479824e-04
  9.240440e-03    2.198695e-04
  9.539371e-03    1.954535e-04
  9.838301e-03    1.742492e-04
  1.013723e-02    1.557672e-04
  1.043616e-02    1.397010e-04
  1.073509e-02    1.259698e-04
  1.103402e-02    1.141360e-04
  1.133295e-02    1.030535e-04
  1.163188e-02    9.340389e-05
  1.193081e-02    8.585306e-05
  1.222974e-02    7.894344e-05
  1.252867e-02    7.222590e-05
  1.282760e-02    6.623961e-05
  1.312654e-02    6.093925e-05
  1.342547e-02    5.622223e-05
  1.372440e-02    5.233109e-05
  1.402333e-02    4.871712e-05
  1.432226e-02    4.533143e-05
  1.462119e-02    4.181880e-05
  1.492012e-02    3.899856e-05
  1.521905e-02    3.648307e-05
  1.551798e-02    3.429088e-05
  1.581691e-02    3.222350e-05
  1.611584e-02    3.032463e-05
  1.641477e-02    2.856139e-05
  1.671370e-02    2.703369e-05
  1.701263e-02    2.569463e-05
  1.731156e-02    2.419415e-05
  1.761049e-02    2.293630e-05
  1.790942e-02    2.173683e-05
  1.820835e-02    2.078596e-05
  1.850728e-02    1.982445e-05
  1.880621e-02    1.897815e-05
  1.910514e-02    1.817721e-05
  1.940407e-02    1.732132e-05
  1.970300e-02    1.674829e-05
  2.000193e-02    1.616981e-05
  2.030086e-02    1.547318e-05
  2.059979e-02    1.488539e-05
  2.089873e-02    1.442019e-05
  2.119766e-02    1.397129e-05
  2.149659e-02    1.347463e-05
  2.179552e-02    1.300466e-05
  2.209445e-02    1.270071e-05
  2.239338e-02    1.239286e-05
  2.269231e-02    1.189806e-05
  2.299124e-02    1.155926e-05
  2.329017e-02    1.115886e-05
  2.358910e-02    1.094988e-05
  2.388803e-02    1.072764e-05
  2.418696e-02    1.038595e-05
  2.448589e-02    1.021321e-05
  2.478482e-02    9.950282e-06
  2.508375e-02    9.744855e-06
  2.538268e-02    9.645668e-06
  2.568161e-02    9.515690e-06
  2.598054e-02    9.264766e-06
  2.627947e-02    9.134288e-06
  2.657840e-02    8.999464e-06
  2.687733e-02    8.748779e-06
  2.717626e-02    8.589449e-06
  2.747519e-02    8.597060e-06
  2.777412e-02    8.445253e-06
  2.807305e-02    8.254602e-06
  2.837198e-02    8.195809e-06
  2.867092e-02    8.194217e-06
  2.896985e-02    8.079680e-06
  2.926878e-02    8.002594e-06
  2.956771e-02    7.850660e-06
  2.986664e-02    7.778721e-06
  3.016557e-02    7.625133e-06
  3.046450e-02    7.533607e-06
  3.076343e-02    7.532215e-06
  3.106236e-02    7.465558e-06
  3.136129e-02    7.354863e-06
  3.166022e-02    7.234735e-06
  3.195915e-02    7.132649e-06
  3.225808e-02    7.196099e-06
  3.255701e-02    7.103036e-06
  3.285594e-02    6.993943e-06
  3.315487e-02    6.906270e-06
  3.345380e-02    6.775054e-06
  3.375273e-02    6.706272e-06
  3.405166e-02    6.686098e-06
  3.435059e-02    6.672949e-06
  3.464952e-02    6.621864e-06
  3.494845e-02    6.553183e-06
  3.524738e-02    6.413394e-06
  3.554631e-02    6.393069e-06
  3.584524e-02    6.289117e-06
  3.614417e-02    6.225184e-06
  3.644310e-02    6.124155e-06
  3.674204e-02    6.014488e-06
  3.704097e-02    6.065732e-06
  3.733990e-02    6.088133e-06
  3.763883e-02    5.974061e-06
  3.793776e-02    5.910205e-06
  3.823669e-02    5.876264e-06
  3.853562e-02    5.853542e-06
  3.883455e-02    5.853694e-06
  3.913348e-02    5.773397e-06
  3.943241e-02    5.684163e-06
  3.973134e-02    5.645983e-06
  4.003027e-02    5.600419e-06
  4.032920e-02    5.593618e-06
  4.062813e-02    5.592494e-06
  4.092706e-02    5.513855e-06
  4.122599e-02    5.530009e-06
  4.152492e-02    5.494486e-06
  4.182385e-02    5.436569e-06
  4.212278e-02    5.476290e-06
  4.242171e-02    5.387839e-06
  4.272064e-02    5.358311e-06
  4.301957e-02    5.359638e-06
  4.331850e-02    5.359270e-06
  4.361743e-02    5.323067e-06
