# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 6792846.600000001
# --> MT-AL_F127_220226_78baf016-7e37-4e65-ad32-e0a457b2a8f4_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.041465e-03
  4.756484e-03    1.576800e-03
  5.055415e-03    1.102860e-03
  5.354345e-03    7.660796e-04
  5.653276e-03    5.852237e-04
  5.952206e-03    9.586773e-04
  6.251136e-03    8.753335e-04
  6.550067e-03    7.613153e-04
  6.848997e-03    6.491087e-04
  7.147927e-03    5.483860e-04
  7.446858e-03    4.685928e-04
  7.745788e-03    4.009704e-04
  8.044719e-03    3.446644e-04
  8.343649e-03    3.011476e-04
  8.642579e-03    2.634943e-04
  8.941510e-03    2.316504e-04
  9.240440e-03    2.061612e-04
  9.539371e-03    1.827924e-04
  9.838301e-03    1.622747e-04
  1.013723e-02    1.455852e-04
  1.043616e-02    1.302428e-04
  1.073509e-02    1.167084e-04
  1.103402e-02    1.062753e-04
  1.133295e-02    9.649786e-05
  1.163188e-02    8.740513e-05
  1.193081e-02    7.992851e-05
  1.222974e-02    7.339186e-05
  1.252867e-02    6.699440e-05
  1.282760e-02    6.150849e-05
  1.312654e-02    5.701603e-05
  1.342547e-02    5.285729e-05
  1.372440e-02    4.880580e-05
  1.402333e-02    4.524677e-05
  1.432226e-02    4.215460e-05
  1.462119e-02    3.931328e-05
  1.492012e-02    3.669673e-05
  1.521905e-02    3.424875e-05
  1.551798e-02    3.217742e-05
  1.581691e-02    3.034206e-05
  1.611584e-02    2.870835e-05
  1.641477e-02    2.702009e-05
  1.671370e-02    2.546731e-05
  1.701263e-02    2.409683e-05
  1.731156e-02    2.280422e-05
  1.761049e-02    2.171317e-05
  1.790942e-02    2.072431e-05
  1.820835e-02    1.963772e-05
  1.850728e-02    1.872956e-05
  1.880621e-02    1.800046e-05
  1.910514e-02    1.715039e-05
  1.940407e-02    1.648750e-05
  1.970300e-02    1.583064e-05
  2.000193e-02    1.517896e-05
  2.030086e-02    1.463259e-05
  2.059979e-02    1.411777e-05
  2.089873e-02    1.360332e-05
  2.119766e-02    1.317924e-05
  2.149659e-02    1.272067e-05
  2.179552e-02    1.231802e-05
  2.209445e-02    1.195320e-05
  2.239338e-02    1.163259e-05
  2.269231e-02    1.132167e-05
  2.299124e-02    1.105747e-05
  2.329017e-02    1.073707e-05
  2.358910e-02    1.039940e-05
  2.388803e-02    1.017298e-05
  2.418696e-02    9.917233e-06
  2.448589e-02    9.711965e-06
  2.478482e-02    9.570512e-06
  2.508375e-02    9.301438e-06
  2.538268e-02    9.097284e-06
  2.568161e-02    8.992104e-06
  2.598054e-02    8.796763e-06
  2.627947e-02    8.653511e-06
  2.657840e-02    8.548990e-06
  2.687733e-02    8.393672e-06
  2.717626e-02    8.329594e-06
  2.747519e-02    8.198065e-06
  2.777412e-02    7.996577e-06
  2.807305e-02    7.966210e-06
  2.837198e-02    7.871749e-06
  2.867092e-02    7.760626e-06
  2.896985e-02    7.685760e-06
  2.926878e-02    7.560105e-06
  2.956771e-02    7.460614e-06
  2.986664e-02    7.362401e-06
  3.016557e-02    7.313678e-06
  3.046450e-02    7.241567e-06
  3.076343e-02    7.223230e-06
  3.106236e-02    7.171649e-06
  3.136129e-02    7.034853e-06
  3.166022e-02    6.964112e-06
  3.195915e-02    6.957257e-06
  3.225808e-02    6.883503e-06
  3.255701e-02    6.794230e-06
  3.285594e-02    6.681893e-06
  3.315487e-02    6.606471e-06
  3.345380e-02    6.626311e-06
  3.375273e-02    6.496588e-06
  3.405166e-02    6.441116e-06
  3.435059e-02    6.369183e-06
  3.464952e-02    6.288073e-06
  3.494845e-02    6.281713e-06
  3.524738e-02    6.210870e-06
  3.554631e-02    6.134369e-06
  3.584524e-02    6.077325e-06
  3.614417e-02    6.019899e-06
  3.644310e-02    5.996323e-06
  3.674204e-02    5.945973e-06
  3.704097e-02    5.902021e-06
  3.733990e-02    5.801084e-06
  3.763883e-02    5.741350e-06
  3.793776e-02    5.707869e-06
  3.823669e-02    5.692510e-06
  3.853562e-02    5.692676e-06
  3.883455e-02    5.659815e-06
  3.913348e-02    5.579607e-06
  3.943241e-02    5.561600e-06
