# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 4310619.2
# --> MT-AL_F127_220226_7eb7d671-f292-4ea9-a3aa-1859b129a09d_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.055407e-03
  4.756484e-03    1.612043e-03
  5.055415e-03    1.132827e-03
  5.354345e-03    7.744197e-04
  5.653276e-03    5.900937e-04
  5.952206e-03    9.434323e-04
  6.251136e-03    8.639094e-04
  6.550067e-03    7.509256e-04
  6.848997e-03    6.377830e-04
  7.147927e-03    5.397029e-04
  7.446858e-03    4.615487e-04
  7.745788e-03    3.953634e-04
  8.044719e-03    3.403383e-04
  8.343649e-03    2.972431e-04
  8.642579e-03    2.600805e-04
  8.941510e-03    2.297587e-04
  9.240440e-03    2.031489e-04
  9.539371e-03    1.797551e-04
  9.838301e-03    1.593897e-04
  1.013723e-02    1.428264e-04
  1.043616e-02    1.282839e-04
  1.073509e-02    1.149404e-04
  1.103402e-02    1.039522e-04
  1.133295e-02    9.445706e-05
  1.163188e-02    8.657412e-05
  1.193081e-02    7.912142e-05
  1.222974e-02    7.210560e-05
  1.252867e-02    6.588135e-05
  1.282760e-02    6.086708e-05
  1.312654e-02    5.647392e-05
  1.342547e-02    5.184794e-05
  1.372440e-02    4.818945e-05
  1.402333e-02    4.471220e-05
  1.432226e-02    4.131572e-05
  1.462119e-02    3.844659e-05
  1.492012e-02    3.595031e-05
  1.521905e-02    3.369362e-05
  1.551798e-02    3.185991e-05
  1.581691e-02    2.986901e-05
  1.611584e-02    2.791814e-05
  1.641477e-02    2.619986e-05
  1.671370e-02    2.484006e-05
  1.701263e-02    2.352309e-05
  1.731156e-02    2.220020e-05
  1.761049e-02    2.110030e-05
  1.790942e-02    1.991859e-05
  1.820835e-02    1.901904e-05
  1.850728e-02    1.822620e-05
  1.880621e-02    1.728283e-05
  1.910514e-02    1.664206e-05
  1.940407e-02    1.591397e-05
  1.970300e-02    1.508756e-05
  2.000193e-02    1.454509e-05
  2.030086e-02    1.407329e-05
  2.059979e-02    1.355516e-05
  2.089873e-02    1.308858e-05
  2.119766e-02    1.283081e-05
  2.149659e-02    1.240646e-05
  2.179552e-02    1.199666e-05
  2.209445e-02    1.175935e-05
  2.239338e-02    1.135682e-05
  2.269231e-02    1.102504e-05
  2.299124e-02    1.076453e-05
  2.329017e-02    1.045262e-05
  2.358910e-02    1.013323e-05
  2.388803e-02    9.949684e-06
  2.418696e-02    9.725409e-06
  2.448589e-02    9.377116e-06
  2.478482e-02    9.254078e-06
  2.508375e-02    9.153087e-06
  2.538268e-02    8.909130e-06
  2.568161e-02    8.743388e-06
  2.598054e-02    8.689038e-06
  2.627947e-02    8.560981e-06
  2.657840e-02    8.409953e-06
  2.687733e-02    8.155779e-06
  2.717626e-02    8.018370e-06
  2.747519e-02    8.019786e-06
  2.777412e-02    7.893436e-06
  2.807305e-02    7.814405e-06
  2.837198e-02    7.675486e-06
  2.867092e-02    7.469243e-06
  2.896985e-02    7.426940e-06
  2.926878e-02    7.431184e-06
  2.956771e-02    7.317840e-06
  2.986664e-02    7.181387e-06
  3.016557e-02    7.141443e-06
  3.046450e-02    7.087075e-06
  3.076343e-02    7.044924e-06
  3.106236e-02    6.919074e-06
  3.136129e-02    6.861069e-06
  3.166022e-02    6.828583e-06
  3.195915e-02    6.789375e-06
  3.225808e-02    6.724068e-06
  3.255701e-02    6.735882e-06
  3.285594e-02    6.628404e-06
  3.315487e-02    6.529136e-06
  3.345380e-02    6.431514e-06
  3.375273e-02    6.312511e-06
  3.405166e-02    6.223654e-06
  3.435059e-02    6.220996e-06
  3.464952e-02    6.224318e-06
  3.494845e-02    6.104317e-06
  3.524738e-02    6.063136e-06
  3.554631e-02    6.009691e-06
  3.584524e-02    5.979750e-06
  3.614417e-02    5.888814e-06
  3.644310e-02    5.845956e-06
  3.674204e-02    5.816740e-06
  3.704097e-02    5.764669e-06
  3.733990e-02    5.633297e-06
  3.763883e-02    5.584278e-06
  3.793776e-02    5.555813e-06
  3.823669e-02    5.530445e-06
  3.853562e-02    5.507563e-06
  3.883455e-02    5.420171e-06
  3.913348e-02    5.357848e-06
  3.943241e-02    5.335778e-06
  3.973134e-02    5.372147e-06
  4.003027e-02    5.358205e-06
  4.032920e-02    5.280241e-06
  4.062813e-02    5.247232e-06
  4.092706e-02    5.255349e-06
  4.122599e-02    5.168532e-06
  4.152492e-02    5.078945e-06
  4.182385e-02    5.109798e-06
  4.212278e-02    5.078500e-06
  4.242171e-02    5.042087e-06
  4.272064e-02    5.070026e-06
  4.301957e-02    5.023876e-06
  4.331850e-02    4.966237e-06
  4.361743e-02    4.952028e-06
  4.391636e-02    4.980421e-06
  4.421529e-02    4.956567e-06
  4.451423e-02    4.982729e-06
  4.481316e-02    5.004661e-06
  4.511209e-02    4.968365e-06
  4.541102e-02    4.928631e-06
  4.570995e-02    4.942699e-06
  4.600888e-02    4.940980e-06
  4.630781e-02    4.957717e-06
  4.660674e-02    4.926086e-06
  4.690567e-02    4.963585e-06
  4.720460e-02    5.013741e-06
  4.750353e-02    4.986914e-06
  4.780246e-02    4.980700e-06
  4.810139e-02    4.963381e-06
  4.840032e-02    4.896030e-06
  4.869925e-02    4.909633e-06
  4.899818e-02    4.893849e-06
  4.929711e-02    4.855155e-06
  4.959604e-02    4.861351e-06
  4.989497e-02    4.866323e-06
  5.019390e-02    4.915193e-06
  5.049283e-02    4.904681e-06
  5.079176e-02    4.859216e-06
  5.109069e-02    4.901740e-06
  5.138962e-02    5.012468e-06
  5.168855e-02    5.136705e-06
  5.198748e-02    5.233488e-06
  5.228642e-02    5.142230e-06
  5.258535e-02    4.882899e-06
  5.288428e-02    4.795297e-06
  5.318321e-02    4.802216e-06
  5.348214e-02    4.802760e-06
  5.378107e-02    4.854769e-06
  5.408000e-02    4.838019e-06
  5.437893e-02    4.823601e-06
  5.467786e-02    4.826788e-06
  5.497679e-02    4.803477e-06
  5.527572e-02    4.859842e-06
  5.557465e-02    4.927528e-06
  5.587358e-02    4.890793e-06
  5.617251e-02    4.862813e-06
  5.647144e-02    4.925029e-06
  5.677037e-02    4.878934e-06
  5.706930e-02    4.825747e-06
  5.736823e-02    4.813394e-06
  5.766716e-02    4.846558e-06
  5.796609e-02    4.853707e-06
  5.826502e-02    4.823153e-06
  5.856395e-02    4.824305e-06
  5.886288e-02    4.819307e-06
  5.916181e-02    4.853180e-06
  5.946074e-02    4.920293e-06
  5.975967e-02    4.926976e-06
  6.005861e-02    4.949962e-06
  6.035754e-02    4.934227e-06
  6.065647e-02    4.962250e-06
  6.095540e-02    5.044028e-06
  6.125433e-02    5.124492e-06
  6.155326e-02    5.116828e-06
  6.185219e-02    4.969329e-06
  6.215112e-02    4.947248e-06
  6.245005e-02    4.979621e-06
  6.274898e-02    4.981083e-06
  6.304791e-02    4.934537e-06
  6.334684e-02    4.912227e-06
  6.364577e-02    4.937465e-06
  6.394470e-02    4.913195e-06
  6.424363e-02    4.944911e-06
  6.454256e-02    4.967773e-06
  6.484149e-02    4.952681e-06
  6.514042e-02    4.977634e-06
  6.543935e-02    5.023670e-06
  6.573828e-02    5.011874e-06
  6.603721e-02    4.960503e-06
  6.633614e-02    4.947367e-06
  6.663507e-02    5.004728e-06
  6.693400e-02    5.031642e-06
  6.723293e-02    5.017922e-06
  6.753186e-02    5.063961e-06
  6.783080e-02    5.065496e-06
  6.812973e-02    5.059792e-06
  6.842866e-02    5.080713e-06
  6.872759e-02    5.086978e-06
  6.902652e-02    5.122674e-06
