# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 13440965.200000001
# --> MT-AL_F127_220226_9c5cac4b-ccee-4540-814d-c525b378021d_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.889893e-03
  4.756484e-03    1.484004e-03
  5.055415e-03    1.049403e-03
  5.354345e-03    7.266491e-04
  5.653276e-03    5.569152e-04
  5.952206e-03    9.234916e-04
  6.251136e-03    8.436759e-04
  6.550067e-03    7.311175e-04
  6.848997e-03    6.203508e-04
  7.147927e-03    5.229450e-04
  7.446858e-03    4.461081e-04
  7.745788e-03    3.817126e-04
  8.044719e-03    3.284022e-04
  8.343649e-03    2.863565e-04
  8.642579e-03    2.502148e-04
  8.941510e-03    2.198506e-04
  9.240440e-03    1.948569e-04
  9.539371e-03    1.729871e-04
  9.838301e-03    1.536485e-04
  1.013723e-02    1.374510e-04
  1.043616e-02    1.235699e-04
  1.073509e-02    1.108421e-04
  1.103402e-02    1.004800e-04
  1.133295e-02    9.106019e-05
  1.163188e-02    8.304996e-05
  1.193081e-02    7.590463e-05
  1.222974e-02    6.941391e-05
  1.252867e-02    6.376518e-05
  1.282760e-02    5.874578e-05
  1.312654e-02    5.421398e-05
  1.342547e-02    5.027539e-05
  1.372440e-02    4.662538e-05
  1.402333e-02    4.309711e-05
  1.432226e-02    4.010117e-05
  1.462119e-02    3.736277e-05
  1.492012e-02    3.486297e-05
  1.521905e-02    3.258646e-05
  1.551798e-02    3.074552e-05
  1.581691e-02    2.899743e-05
  1.611584e-02    2.723952e-05
  1.641477e-02    2.570584e-05
  1.671370e-02    2.432043e-05
  1.701263e-02    2.301492e-05
  1.731156e-02    2.188882e-05
  1.761049e-02    2.084172e-05
  1.790942e-02    1.983911e-05
  1.820835e-02    1.886724e-05
  1.850728e-02    1.799785e-05
  1.880621e-02    1.722582e-05
  1.910514e-02    1.643702e-05
  1.940407e-02    1.580552e-05
  1.970300e-02    1.522367e-05
  2.000193e-02    1.459963e-05
  2.030086e-02    1.404278e-05
  2.059979e-02    1.354352e-05
  2.089873e-02    1.313368e-05
  2.119766e-02    1.278289e-05
  2.149659e-02    1.237093e-05
  2.179552e-02    1.193267e-05
  2.209445e-02    1.157881e-05
