# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 3684086.000000001
# --> MT-AL_F127_220226_a2074d85-599b-4216-990f-d9cea59d1efa_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.377666e-03
  4.756484e-03    1.838192e-03
  5.055415e-03    1.286869e-03
  5.354345e-03    8.927500e-04
  5.653276e-03    6.810051e-04
  5.952206e-03    1.103744e-03
  6.251136e-03    1.005469e-03
  6.550067e-03    8.735274e-04
  6.848997e-03    7.468104e-04
  7.147927e-03    6.325776e-04
  7.446858e-03    5.402758e-04
  7.745788e-03    4.630633e-04
  8.044719e-03    3.989183e-04
  8.343649e-03    3.479070e-04
  8.642579e-03    3.043327e-04
  8.941510e-03    2.680984e-04
  9.240440e-03    2.370748e-04
  9.539371e-03    2.105294e-04
  9.838301e-03    1.875175e-04
  1.013723e-02    1.674543e-04
  1.043616e-02    1.506685e-04
  1.073509e-02    1.357157e-04
  1.103402e-02    1.229885e-04
  1.133295e-02    1.112755e-04
  1.163188e-02    1.011491e-04
  1.193081e-02    9.246668e-05
  1.222974e-02    8.441607e-05
  1.252867e-02    7.765566e-05
  1.282760e-02    7.130677e-05
  1.312654e-02    6.563972e-05
  1.342547e-02    6.059992e-05
  1.372440e-02    5.620302e-05
  1.402333e-02    5.217001e-05
  1.432226e-02    4.831626e-05
  1.462119e-02    4.545707e-05
  1.492012e-02    4.251592e-05
  1.521905e-02    3.937080e-05
  1.551798e-02    3.703269e-05
  1.581691e-02    3.503435e-05
  1.611584e-02    3.277833e-05
  1.641477e-02    3.078598e-05
  1.671370e-02    2.910280e-05
  1.701263e-02    2.756088e-05
  1.731156e-02    2.624302e-05
  1.761049e-02    2.475508e-05
  1.790942e-02    2.340495e-05
  1.820835e-02    2.244238e-05
  1.850728e-02    2.143284e-05
  1.880621e-02    2.039834e-05
  1.910514e-02    1.959753e-05
  1.940407e-02    1.867678e-05
  1.970300e-02    1.797602e-05
  2.000193e-02    1.727534e-05
  2.030086e-02    1.660639e-05
  2.059979e-02    1.611976e-05
  2.089873e-02    1.553904e-05
  2.119766e-02    1.494430e-05
  2.149659e-02    1.448752e-05
  2.179552e-02    1.400964e-05
  2.209445e-02    1.345031e-05
  2.239338e-02    1.302484e-05
  2.269231e-02    1.270692e-05
  2.299124e-02    1.232557e-05
  2.329017e-02    1.203834e-05
  2.358910e-02    1.172146e-05
  2.388803e-02    1.145255e-05
  2.418696e-02    1.115401e-05
  2.448589e-02    1.084727e-05
  2.478482e-02    1.064084e-05
  2.508375e-02    1.052533e-05
  2.538268e-02    1.037266e-05
  2.568161e-02    1.014866e-05
  2.598054e-02    9.939197e-06
  2.627947e-02    9.816577e-06
  2.657840e-02    9.630109e-06
  2.687733e-02    9.411264e-06
  2.717626e-02    9.375090e-06
  2.747519e-02    9.237725e-06
  2.777412e-02    9.053862e-06
  2.807305e-02    8.942872e-06
  2.837198e-02    8.822319e-06
  2.867092e-02    8.732777e-06
  2.896985e-02    8.627349e-06
  2.926878e-02    8.438671e-06
  2.956771e-02    8.393870e-06
  2.986664e-02    8.267261e-06
  3.016557e-02    8.261855e-06
  3.046450e-02    8.191609e-06
  3.076343e-02    8.040079e-06
  3.106236e-02    7.926736e-06
  3.136129e-02    7.918917e-06
  3.166022e-02    7.860018e-06
  3.195915e-02    7.735791e-06
  3.225808e-02    7.698470e-06
  3.255701e-02    7.579213e-06
  3.285594e-02    7.466015e-06
  3.315487e-02    7.451410e-06
  3.345380e-02    7.368003e-06
  3.375273e-02    7.262359e-06
  3.405166e-02    7.155877e-06
  3.435059e-02    7.102114e-06
  3.464952e-02    7.041856e-06
  3.494845e-02    6.972707e-06
  3.524738e-02    6.881079e-06
  3.554631e-02    6.828224e-06
  3.584524e-02    6.703924e-06
  3.614417e-02    6.637231e-06
  3.644310e-02    6.648421e-06
  3.674204e-02    6.622162e-06
  3.704097e-02    6.550877e-06
  3.733990e-02    6.456718e-06
  3.763883e-02    6.479317e-06
  3.793776e-02    6.470110e-06
  3.823669e-02    6.376712e-06
  3.853562e-02    6.275669e-06
  3.883455e-02    6.225945e-06
  3.913348e-02    6.184496e-06
  3.943241e-02    6.115183e-06
  3.973134e-02    6.129580e-06
  4.003027e-02    6.104689e-06
  4.032920e-02    6.032074e-06
  4.062813e-02    5.999161e-06
  4.092706e-02    5.955164e-06
  4.122599e-02    5.922048e-06
  4.152492e-02    5.952914e-06
  4.182385e-02    5.912075e-06
  4.212278e-02    5.831597e-06
  4.242171e-02    5.786145e-06
  4.272064e-02    5.749144e-06
  4.301957e-02    5.803649e-06
  4.331850e-02    5.782044e-06
  4.361743e-02    5.718715e-06
  4.391636e-02    5.679696e-06
  4.421529e-02    5.686699e-06
  4.451423e-02    5.689155e-06
  4.481316e-02    5.662498e-06
  4.511209e-02    5.684336e-06
  4.541102e-02    5.690729e-06
  4.570995e-02    5.612469e-06
  4.600888e-02    5.612230e-06
  4.630781e-02    5.657907e-06
  4.660674e-02    5.711664e-06
  4.690567e-02    5.650837e-06
  4.720460e-02    5.647313e-06
  4.750353e-02    5.606327e-06
  4.780246e-02    5.598136e-06
  4.810139e-02    5.636717e-06
  4.840032e-02    5.629858e-06
  4.869925e-02    5.561253e-06
  4.899818e-02    5.509724e-06
  4.929711e-02    5.533363e-06
  4.959604e-02    5.559104e-06
  4.989497e-02    5.558508e-06
  5.019390e-02    5.583738e-06
  5.049283e-02    5.613255e-06
  5.079176e-02    5.568333e-06
  5.109069e-02    5.625279e-06
  5.138962e-02    5.644994e-06
  5.168855e-02    5.708093e-06
  5.198748e-02    5.868306e-06
  5.228642e-02    5.832258e-06
  5.258535e-02    5.633789e-06
  5.288428e-02    5.495052e-06
  5.318321e-02    5.490921e-06
  5.348214e-02    5.503452e-06
  5.378107e-02    5.498711e-06
  5.408000e-02    5.497601e-06
  5.437893e-02    5.506001e-06
  5.467786e-02    5.519108e-06
  5.497679e-02    5.525135e-06
  5.527572e-02    5.520075e-06
  5.557465e-02    5.561308e-06
  5.587358e-02    5.550114e-06
  5.617251e-02    5.521924e-06
  5.647144e-02    5.518730e-06
