# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 5735700.2
# --> MT-AL_F127_220226_a6a92155-79e4-4252-ad1b-c821d09bfebb_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.161437e-03
  4.756484e-03    1.699364e-03
  5.055415e-03    1.196693e-03
  5.354345e-03    8.320808e-04
  5.653276e-03    6.316230e-04
  5.952206e-03    1.014339e-03
  6.251136e-03    9.298056e-04
  6.550067e-03    8.110536e-04
  6.848997e-03    6.940108e-04
  7.147927e-03    5.876769e-04
  7.446858e-03    5.007017e-04
  7.745788e-03    4.275598e-04
  8.044719e-03    3.681508e-04
  8.343649e-03    3.213486e-04
  8.642579e-03    2.809320e-04
  8.941510e-03    2.471495e-04
  9.240440e-03    2.185910e-04
  9.539371e-03    1.944038e-04
  9.838301e-03    1.731398e-04
  1.013723e-02    1.548208e-04
  1.043616e-02    1.392562e-04
  1.073509e-02    1.250853e-04
  1.103402e-02    1.127913e-04
  1.133295e-02    1.027094e-04
  1.163188e-02    9.357135e-05
  1.193081e-02    8.520482e-05
  1.222974e-02    7.808222e-05
  1.252867e-02    7.165581e-05
  1.282760e-02    6.596599e-05
  1.312654e-02    6.076977e-05
  1.342547e-02    5.599565e-05
  1.372440e-02    5.190739e-05
  1.402333e-02    4.833996e-05
  1.432226e-02    4.491509e-05
  1.462119e-02    4.164889e-05
  1.492012e-02    3.885600e-05
  1.521905e-02    3.636483e-05
  1.551798e-02    3.428171e-05
  1.581691e-02    3.203702e-05
  1.611584e-02    3.027173e-05
  1.641477e-02    2.844490e-05
  1.671370e-02    2.682931e-05
  1.701263e-02    2.536756e-05
  1.731156e-02    2.413116e-05
  1.761049e-02    2.316183e-05
  1.790942e-02    2.196661e-05
  1.820835e-02    2.074924e-05
  1.850728e-02    1.963167e-05
  1.880621e-02    1.891476e-05
  1.910514e-02    1.809074e-05
  1.940407e-02    1.725892e-05
  1.970300e-02    1.653995e-05
  2.000193e-02    1.596615e-05
  2.030086e-02    1.538423e-05
  2.059979e-02    1.474027e-05
  2.089873e-02    1.413911e-05
  2.119766e-02    1.366659e-05
  2.149659e-02    1.340862e-05
  2.179552e-02    1.292734e-05
  2.209445e-02    1.256390e-05
  2.239338e-02    1.228228e-05
  2.269231e-02    1.182786e-05
  2.299124e-02    1.148947e-05
  2.329017e-02    1.128744e-05
  2.358910e-02    1.107194e-05
  2.388803e-02    1.067806e-05
  2.418696e-02    1.038420e-05
  2.448589e-02    1.025976e-05
  2.478482e-02    9.986238e-06
  2.508375e-02    9.735507e-06
  2.538268e-02    9.650861e-06
  2.568161e-02    9.490076e-06
  2.598054e-02    9.268026e-06
  2.627947e-02    9.168587e-06
  2.657840e-02    9.011828e-06
  2.687733e-02    8.797744e-06
  2.717626e-02    8.695384e-06
  2.747519e-02    8.574102e-06
  2.777412e-02    8.404781e-06
  2.807305e-02    8.304402e-06
  2.837198e-02    8.178960e-06
  2.867092e-02    8.079674e-06
  2.896985e-02    8.023176e-06
  2.926878e-02    7.929841e-06
  2.956771e-02    7.790460e-06
  2.986664e-02    7.736048e-06
  3.016557e-02    7.674702e-06
  3.046450e-02    7.633311e-06
  3.076343e-02    7.561207e-06
  3.106236e-02    7.490158e-06
  3.136129e-02    7.409406e-06
  3.166022e-02    7.333538e-06
  3.195915e-02    7.244229e-06
  3.225808e-02    7.181104e-06
  3.255701e-02    7.092775e-06
  3.285594e-02    6.985654e-06
  3.315487e-02    6.924027e-06
  3.345380e-02    6.866288e-06
  3.375273e-02    6.811665e-06
  3.405166e-02    6.718791e-06
  3.435059e-02    6.699501e-06
  3.464952e-02    6.661010e-06
  3.494845e-02    6.651021e-06
  3.524738e-02    6.555858e-06
  3.554631e-02    6.418098e-06
  3.584524e-02    6.362675e-06
  3.614417e-02    6.328449e-06
  3.644310e-02    6.294896e-06
  3.674204e-02    6.201732e-06
  3.704097e-02    6.221125e-06
  3.733990e-02    6.164029e-06
  3.763883e-02    6.046772e-06
  3.793776e-02    5.992968e-06
  3.823669e-02    5.915651e-06
  3.853562e-02    5.928366e-06
  3.883455e-02    5.852445e-06
  3.913348e-02    5.763570e-06
  3.943241e-02    5.763612e-06
  3.973134e-02    5.765548e-06
  4.003027e-02    5.711530e-06
  4.032920e-02    5.689178e-06
  4.062813e-02    5.651780e-06
  4.092706e-02    5.651017e-06
  4.122599e-02    5.596069e-06
  4.152492e-02    5.606094e-06
  4.182385e-02    5.551879e-06
  4.212278e-02    5.553605e-06
  4.242171e-02    5.481127e-06
  4.272064e-02    5.493842e-06
  4.301957e-02    5.486056e-06
  4.331850e-02    5.444057e-06
  4.361743e-02    5.432109e-06
  4.391636e-02    5.407902e-06
  4.421529e-02    5.380577e-06
  4.451423e-02    5.339517e-06
  4.481316e-02    5.345431e-06
  4.511209e-02    5.372190e-06
  4.541102e-02    5.362635e-06
  4.570995e-02    5.400583e-06
  4.600888e-02    5.370955e-06
  4.630781e-02    5.314096e-06
  4.660674e-02    5.268053e-06
  4.690567e-02    5.281448e-06
  4.720460e-02    5.344104e-06
  4.750353e-02    5.385717e-06
  4.780246e-02    5.345377e-06
  4.810139e-02    5.339751e-06
  4.840032e-02    5.314806e-06
  4.869925e-02    5.293355e-06
  4.899818e-02    5.330435e-06
  4.929711e-02    5.254056e-06
  4.959604e-02    5.321540e-06
  4.989497e-02    5.367015e-06
  5.019390e-02    5.283884e-06
  5.049283e-02    5.254633e-06
  5.079176e-02    5.310711e-06
  5.109069e-02    5.356764e-06
  5.138962e-02    5.406516e-06
  5.168855e-02    5.510670e-06
  5.198748e-02    5.650039e-06
  5.228642e-02    5.541847e-06
  5.258535e-02    5.306347e-06
  5.288428e-02    5.269042e-06
  5.318321e-02    5.269818e-06
  5.348214e-02    5.270225e-06
  5.378107e-02    5.299780e-06
  5.408000e-02    5.272906e-06
  5.437893e-02    5.270384e-06
  5.467786e-02    5.291607e-06
  5.497679e-02    5.246093e-06
  5.527572e-02    5.255198e-06
  5.557465e-02    5.257810e-06
  5.587358e-02    5.248062e-06
  5.617251e-02    5.224087e-06
  5.647144e-02    5.188494e-06
  5.677037e-02    5.224301e-06
  5.706930e-02    5.268213e-06
  5.736823e-02    5.228359e-06
  5.766716e-02    5.231830e-06
  5.796609e-02    5.267815e-06
  5.826502e-02    5.316773e-06
  5.856395e-02    5.309379e-06
  5.886288e-02    5.315762e-06
  5.916181e-02    5.314735e-06
  5.946074e-02    5.302930e-06
  5.975967e-02    5.291421e-06
  6.005861e-02    5.323008e-06
  6.035754e-02    5.375668e-06
  6.065647e-02    5.370419e-06
  6.095540e-02    5.425244e-06
  6.125433e-02    5.482494e-06
  6.155326e-02    5.537605e-06
  6.185219e-02    5.450446e-06
  6.215112e-02    5.385642e-06
  6.245005e-02    5.403038e-06
  6.274898e-02    5.404871e-06
  6.304791e-02    5.379376e-06
  6.334684e-02    5.356501e-06
  6.364577e-02    5.357869e-06
  6.394470e-02    5.368951e-06
  6.424363e-02    5.400987e-06
  6.454256e-02    5.406135e-06
  6.484149e-02    5.422946e-06
  6.514042e-02    5.440538e-06
  6.543935e-02    5.471051e-06
  6.573828e-02    5.442903e-06
  6.603721e-02    5.414025e-06
  6.633614e-02    5.446794e-06
  6.663507e-02    5.458043e-06
  6.693400e-02    5.442869e-06
  6.723293e-02    5.444575e-06
  6.753186e-02    5.434216e-06
  6.783080e-02    5.462448e-06
  6.812973e-02    5.477177e-06
  6.842866e-02    5.491695e-06
  6.872759e-02    5.520583e-06
  6.902652e-02    5.500831e-06
  6.932545e-02    5.504174e-06
  6.962438e-02    5.546779e-06
  6.992331e-02    5.561174e-06
  7.022224e-02    5.583640e-06
  7.052117e-02    5.561973e-06
  7.082010e-02    5.559523e-06
  7.111903e-02    5.590652e-06
  7.141796e-02    5.548580e-06
  7.171689e-02    5.552407e-06
  7.201582e-02    5.573934e-06
  7.231475e-02    5.600099e-06
  7.261368e-02    5.620625e-06
  7.291261e-02    5.572457e-06
  7.321154e-02    5.556368e-06
  7.351047e-02    5.607484e-06
  7.380940e-02    5.636337e-06
  7.410833e-02    5.619817e-06
  7.440726e-02    5.608379e-06
  7.470619e-02    5.624157e-06
  7.500512e-02    5.611445e-06
  7.530405e-02    5.614826e-06
  7.560299e-02    5.616511e-06
  7.590192e-02    5.625504e-06
  7.620085e-02    5.633422e-06
  7.649978e-02    5.617280e-06
  7.679871e-02    5.617141e-06
  7.709764e-02    5.590211e-06
  7.739657e-02    5.585654e-06
  7.769550e-02    5.614523e-06
  7.799443e-02    5.598652e-06
  7.829336e-02    5.611851e-06
  7.859229e-02    5.628140e-06
  7.889122e-02    5.584638e-06
  7.919015e-02    5.523573e-06
  7.948908e-02    5.581601e-06
  7.978801e-02    5.625285e-06
  8.008694e-02    5.584975e-06
  8.038587e-02    5.566987e-06
  8.068480e-02    5.544712e-06
  8.098373e-02    5.554674e-06
  8.128266e-02    5.549337e-06
  8.158159e-02    5.565362e-06
  8.188052e-02    5.542774e-06
  8.217945e-02    5.521021e-06
  8.247838e-02    5.561512e-06
  8.277731e-02    5.539228e-06
  8.307624e-02    5.519758e-06
  8.337518e-02    5.508603e-06
  8.367411e-02    5.450435e-06
  8.397304e-02    5.481161e-06
  8.427197e-02    5.505054e-06
  8.457090e-02    5.506416e-06
  8.486983e-02    5.483498e-06
  8.516876e-02    5.444757e-06
  8.546769e-02    5.409089e-06
  8.576662e-02    5.404523e-06
  8.606555e-02    5.451538e-06
  8.636448e-02    5.443603e-06
  8.666341e-02    5.400601e-06
  8.696234e-02    5.367006e-06
  8.726127e-02    5.376286e-06
  8.756020e-02    5.362639e-06
  8.785913e-02    5.326040e-06
  8.815806e-02    5.323096e-06
  8.845699e-02    5.323926e-06
  8.875592e-02    5.286215e-06
  8.905485e-02    5.285352e-06
  8.935378e-02    5.316725e-06
  8.965271e-02    5.333563e-06
  8.995164e-02    5.278941e-06
  9.025057e-02    5.236826e-06
  9.054950e-02    5.254689e-06
  9.084843e-02    5.231700e-06
  9.114737e-02    5.232993e-06
  9.144630e-02    5.241149e-06
  9.174523e-02    5.231301e-06
  9.204416e-02    5.210206e-06
  9.234309e-02    5.191638e-06
  9.264202e-02    5.169293e-06
  9.294095e-02    5.150342e-06
  9.323988e-02    5.134743e-06
  9.353881e-02    5.106320e-06
  9.383774e-02    5.099002e-06
  9.413667e-02    5.112828e-06
