# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 8494870.0
# --> MT-AL_F127_220226_b58c268f-669c-400a-ab68-2f1aa91c9389_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.044370e-03
  4.756484e-03    1.596343e-03
  5.055415e-03    1.123170e-03
  5.354345e-03    7.700755e-04
  5.653276e-03    5.879510e-04
  5.952206e-03    9.672252e-04
  6.251136e-03    8.845869e-04
  6.550067e-03    7.691143e-04
  6.848997e-03    6.551488e-04
  7.147927e-03    5.526773e-04
  7.446858e-03    4.715074e-04
  7.745788e-03    4.042341e-04
  8.044719e-03    3.472669e-04
  8.343649e-03    3.020996e-04
  8.642579e-03    2.637414e-04
  8.941510e-03    2.323977e-04
  9.240440e-03    2.063755e-04
  9.539371e-03    1.828642e-04
  9.838301e-03    1.626269e-04
  1.013723e-02    1.454484e-04
  1.043616e-02    1.307477e-04
  1.073509e-02    1.173001e-04
  1.103402e-02    1.064622e-04
  1.133295e-02    9.631219e-05
  1.163188e-02    8.784235e-05
  1.193081e-02    8.051717e-05
  1.222974e-02    7.363930e-05
  1.252867e-02    6.740394e-05
  1.282760e-02    6.195784e-05
  1.312654e-02    5.708906e-05
  1.342547e-02    5.295803e-05
  1.372440e-02    4.929858e-05
  1.402333e-02    4.588743e-05
  1.432226e-02    4.266570e-05
  1.462119e-02    3.974693e-05
  1.492012e-02    3.703707e-05
  1.521905e-02    3.453973e-05
  1.551798e-02    3.240542e-05
  1.581691e-02    3.039230e-05
  1.611584e-02    2.866091e-05
  1.641477e-02    2.723353e-05
  1.671370e-02    2.574604e-05
  1.701263e-02    2.435865e-05
  1.731156e-02    2.310711e-05
  1.761049e-02    2.198544e-05
  1.790942e-02    2.097473e-05
  1.820835e-02    1.992870e-05
  1.850728e-02    1.884049e-05
  1.880621e-02    1.814290e-05
  1.910514e-02    1.740266e-05
  1.940407e-02    1.663381e-05
  1.970300e-02    1.592864e-05
  2.000193e-02    1.535606e-05
  2.030086e-02    1.478543e-05
  2.059979e-02    1.421075e-05
  2.089873e-02    1.374188e-05
  2.119766e-02    1.327803e-05
  2.149659e-02    1.288848e-05
  2.179552e-02    1.253525e-05
  2.209445e-02    1.215591e-05
  2.239338e-02    1.177507e-05
  2.269231e-02    1.150868e-05
  2.299124e-02    1.113869e-05
  2.329017e-02    1.082190e-05
  2.358910e-02    1.055115e-05
  2.388803e-02    1.030104e-05
  2.418696e-02    1.012377e-05
  2.448589e-02    9.871734e-06
  2.478482e-02    9.638755e-06
  2.508375e-02    9.474845e-06
  2.538268e-02    9.267434e-06
  2.568161e-02    9.061755e-06
  2.598054e-02    8.894813e-06
