# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 17478860.6
# --> MT-AL_F127_220226_cae0bc7d-6808-4317-9190-c459fa1f3c0b_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.810777e-03
  4.756484e-03    1.416241e-03
  5.055415e-03    1.009923e-03
  5.354345e-03    7.119377e-04
  5.653276e-03    5.499839e-04
  5.952206e-03    9.063972e-04
  6.251136e-03    8.256383e-04
  6.550067e-03    7.153176e-04
  6.848997e-03    6.056915e-04
  7.147927e-03    5.103148e-04
  7.446858e-03    4.356363e-04
  7.745788e-03    3.732401e-04
  8.044719e-03    3.215760e-04
  8.343649e-03    2.797913e-04
  8.642579e-03    2.444462e-04
  8.941510e-03    2.152695e-04
  9.240440e-03    1.906109e-04
  9.539371e-03    1.692197e-04
  9.838301e-03    1.505926e-04
  1.013723e-02    1.347699e-04
  1.043616e-02    1.211849e-04
  1.073509e-02    1.090983e-04
  1.103402e-02    9.877796e-05
  1.133295e-02    8.948859e-05
  1.163188e-02    8.135613e-05
  1.193081e-02    7.458346e-05
  1.222974e-02    6.838154e-05
  1.252867e-02    6.264474e-05
  1.282760e-02    5.773025e-05
  1.312654e-02    5.327779e-05
  1.342547e-02    4.931813e-05
  1.372440e-02    4.568905e-05
  1.402333e-02    4.236292e-05
  1.432226e-02    3.946440e-05
  1.462119e-02    3.673740e-05
  1.492012e-02    3.430173e-05
  1.521905e-02    3.207087e-05
  1.551798e-02    3.019938e-05
  1.581691e-02    2.833603e-05
  1.611584e-02    2.660649e-05
  1.641477e-02    2.525734e-05
  1.671370e-02    2.384692e-05
  1.701263e-02    2.256665e-05
  1.731156e-02    2.145014e-05
  1.761049e-02    2.030897e-05
  1.790942e-02    1.929082e-05
  1.820835e-02    1.843421e-05
  1.850728e-02    1.760212e-05
  1.880621e-02    1.681912e-05
  1.910514e-02    1.607461e-05
  1.940407e-02    1.539363e-05
  1.970300e-02    1.486068e-05
  2.000193e-02    1.428763e-05
  2.030086e-02    1.371347e-05
  2.059979e-02    1.321108e-05
  2.089873e-02    1.274336e-05
  2.119766e-02    1.232734e-05
  2.149659e-02    1.191605e-05
  2.179552e-02    1.157396e-05
  2.209445e-02    1.117864e-05
  2.239338e-02    1.082381e-05
  2.269231e-02    1.055300e-05
  2.299124e-02    1.032653e-05
  2.329017e-02    1.002271e-05
  2.358910e-02    9.727061e-06
  2.388803e-02    9.505538e-06
  2.418696e-02    9.311317e-06
  2.448589e-02    9.063098e-06
  2.478482e-02    8.851466e-06
  2.508375e-02    8.725232e-06
  2.538268e-02    8.557462e-06
  2.568161e-02    8.439766e-06
  2.598054e-02    8.296668e-06
  2.627947e-02    8.136422e-06
  2.657840e-02    7.946218e-06
  2.687733e-02    7.810841e-06
  2.717626e-02    7.729034e-06
  2.747519e-02    7.600673e-06
  2.777412e-02    7.481667e-06
  2.807305e-02    7.416185e-06
  2.837198e-02    7.301243e-06
  2.867092e-02    7.194751e-06
  2.896985e-02    7.125384e-06
  2.926878e-02    7.100446e-06
  2.956771e-02    6.969014e-06
  2.986664e-02    6.891551e-06
  3.016557e-02    6.836242e-06
  3.046450e-02    6.743984e-06
  3.076343e-02    6.653338e-06
  3.106236e-02    6.585461e-06
  3.136129e-02    6.531869e-06
  3.166022e-02    6.476092e-06
  3.195915e-02    6.391915e-06
  3.225808e-02    6.364435e-06
  3.255701e-02    6.337908e-06
  3.285594e-02    6.276504e-06
  3.315487e-02    6.185610e-06
  3.345380e-02    6.123375e-06
  3.375273e-02    6.074054e-06
  3.405166e-02    6.004500e-06
  3.435059e-02    5.945487e-06
  3.464952e-02    5.906259e-06
  3.494845e-02    5.837130e-06
  3.524738e-02    5.801037e-06
  3.554631e-02    5.764109e-06
  3.584524e-02    5.706924e-06
  3.614417e-02    5.656295e-06
  3.644310e-02    5.651899e-06
  3.674204e-02    5.609207e-06
  3.704097e-02    5.547602e-06
  3.733990e-02    5.473392e-06
  3.763883e-02    5.417580e-06
  3.793776e-02    5.411589e-06
  3.823669e-02    5.395515e-06
  3.853562e-02    5.369332e-06
  3.883455e-02    5.340313e-06
  3.913348e-02    5.332869e-06
  3.943241e-02    5.283164e-06
  3.973134e-02    5.250263e-06
  4.003027e-02    5.207869e-06
  4.032920e-02    5.190560e-06
  4.062813e-02    5.201962e-06
  4.092706e-02    5.179213e-06
  4.122599e-02    5.123238e-06
  4.152492e-02    5.086528e-06
  4.182385e-02    5.070668e-06
  4.212278e-02    5.078040e-06
  4.242171e-02    5.050717e-06
  4.272064e-02    5.030615e-06
  4.301957e-02    5.021205e-06
  4.331850e-02    4.974150e-06
  4.361743e-02    4.970739e-06
  4.391636e-02    4.998188e-06
  4.421529e-02    5.001006e-06
  4.451423e-02    4.989566e-06
  4.481316e-02    4.965703e-06
  4.511209e-02    4.996536e-06
