# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 10424998.0
# --> MT-AL_F127_220226_ff419ac9-bbd1-4166-b825-fd33381f81b7_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.875908e-03
  4.756484e-03    1.455896e-03
  5.055415e-03    1.024108e-03
  5.354345e-03    7.151334e-04
  5.653276e-03    5.430501e-04
  5.952206e-03    8.982472e-04
  6.251136e-03    8.217581e-04
  6.550067e-03    7.145157e-04
  6.848997e-03    6.072982e-04
  7.147927e-03    5.139371e-04
  7.446858e-03    4.374266e-04
  7.745788e-03    3.739228e-04
  8.044719e-03    3.217365e-04
  8.343649e-03    2.806903e-04
  8.642579e-03    2.449373e-04
  8.941510e-03    2.155046e-04
  9.240440e-03    1.905303e-04
  9.539371e-03    1.691023e-04
  9.838301e-03    1.504126e-04
  1.013723e-02    1.346468e-04
  1.043616e-02    1.209414e-04
  1.073509e-02    1.084771e-04
  1.103402e-02    9.819477e-05
  1.133295e-02    8.926765e-05
  1.163188e-02    8.174531e-05
  1.193081e-02    7.459117e-05
  1.222974e-02    6.815275e-05
  1.252867e-02    6.257949e-05
  1.282760e-02    5.739523e-05
  1.312654e-02    5.308077e-05
  1.342547e-02    4.909386e-05
  1.372440e-02    4.543067e-05
  1.402333e-02    4.221341e-05
  1.432226e-02    3.929011e-05
  1.462119e-02    3.653875e-05
  1.492012e-02    3.415558e-05
  1.521905e-02    3.207301e-05
  1.551798e-02    3.017896e-05
  1.581691e-02    2.840138e-05
  1.611584e-02    2.680406e-05
  1.641477e-02    2.521051e-05
  1.671370e-02    2.368566e-05
  1.701263e-02    2.253305e-05
  1.731156e-02    2.137895e-05
  1.761049e-02    2.031362e-05
  1.790942e-02    1.939308e-05
  1.820835e-02    1.847442e-05
  1.850728e-02    1.759145e-05
  1.880621e-02    1.686233e-05
  1.910514e-02    1.615811e-05
  1.940407e-02    1.549950e-05
  1.970300e-02    1.491712e-05
  2.000193e-02    1.432197e-05
  2.030086e-02    1.384621e-05
  2.059979e-02    1.334253e-05
  2.089873e-02    1.287427e-05
  2.119766e-02    1.239831e-05
  2.149659e-02    1.196438e-05
  2.179552e-02    1.162041e-05
  2.209445e-02    1.131341e-05
  2.239338e-02    1.101479e-05
  2.269231e-02    1.067134e-05
  2.299124e-02    1.036546e-05
  2.329017e-02    1.012157e-05
  2.358910e-02    9.823395e-06
  2.388803e-02    9.560795e-06
  2.418696e-02    9.322202e-06
  2.448589e-02    9.090958e-06
  2.478482e-02    8.967450e-06
  2.508375e-02    8.847627e-06
  2.538268e-02    8.649185e-06
  2.568161e-02    8.496642e-06
  2.598054e-02    8.358558e-06
  2.627947e-02    8.244972e-06
  2.657840e-02    8.107972e-06
  2.687733e-02    7.914058e-06
  2.717626e-02    7.797271e-06
  2.747519e-02    7.764387e-06
  2.777412e-02    7.657596e-06
  2.807305e-02    7.506606e-06
  2.837198e-02    7.397163e-06
  2.867092e-02    7.294118e-06
  2.896985e-02    7.229387e-06
  2.926878e-02    7.136011e-06
  2.956771e-02    7.012623e-06
  2.986664e-02    6.946525e-06
  3.016557e-02    6.925270e-06
  3.046450e-02    6.847382e-06
  3.076343e-02    6.753840e-06
  3.106236e-02    6.663032e-06
  3.136129e-02    6.594157e-06
  3.166022e-02    6.532163e-06
  3.195915e-02    6.539369e-06
  3.225808e-02    6.486146e-06
  3.255701e-02    6.392195e-06
  3.285594e-02    6.313135e-06
  3.315487e-02    6.267611e-06
  3.345380e-02    6.172907e-06
  3.375273e-02    6.120942e-06
  3.405166e-02    6.079304e-06
  3.435059e-02    6.019422e-06
  3.464952e-02    5.943562e-06
  3.494845e-02    5.953481e-06
  3.524738e-02    5.892842e-06
  3.554631e-02    5.792966e-06
  3.584524e-02    5.751342e-06
  3.614417e-02    5.718759e-06
  3.644310e-02    5.645953e-06
  3.674204e-02    5.579151e-06
  3.704097e-02    5.555069e-06
  3.733990e-02    5.496373e-06
  3.763883e-02    5.458624e-06
  3.793776e-02    5.433105e-06
  3.823669e-02    5.429370e-06
  3.853562e-02    5.358967e-06
  3.883455e-02    5.288855e-06
  3.913348e-02    5.277408e-06
  3.943241e-02    5.269550e-06
  3.973134e-02    5.253398e-06
  4.003027e-02    5.218340e-06
  4.032920e-02    5.176913e-06
  4.062813e-02    5.181604e-06
  4.092706e-02    5.207974e-06
  4.122599e-02    5.168243e-06
  4.152492e-02    5.070642e-06
  4.182385e-02    5.071071e-06
  4.212278e-02    5.046770e-06
  4.242171e-02    5.040645e-06
  4.272064e-02    5.035671e-06
  4.301957e-02    5.009951e-06
  4.331850e-02    4.963767e-06
  4.361743e-02    4.940357e-06
  4.391636e-02    4.936048e-06
  4.421529e-02    4.934787e-06
  4.451423e-02    4.920628e-06
  4.481316e-02    4.935367e-06
  4.511209e-02    4.963931e-06
  4.541102e-02    4.907902e-06
  4.570995e-02    4.881083e-06
  4.600888e-02    4.904946e-06
  4.630781e-02    4.885033e-06
  4.660674e-02    4.888492e-06
  4.690567e-02    4.889986e-06
  4.720460e-02    4.905595e-06
  4.750353e-02    4.887806e-06
  4.780246e-02    4.882184e-06
  4.810139e-02    4.893705e-06
  4.840032e-02    4.882677e-06
  4.869925e-02    4.860334e-06
  4.899818e-02    4.859827e-06
  4.929711e-02    4.852808e-06
  4.959604e-02    4.834239e-06
  4.989497e-02    4.837331e-06
  5.019390e-02    4.859764e-06
  5.049283e-02    4.859860e-06
  5.079176e-02    4.875073e-06
  5.109069e-02    4.899238e-06
  5.138962e-02    4.929213e-06
  5.168855e-02    5.002262e-06
  5.198748e-02    5.075067e-06
  5.228642e-02    5.078970e-06
  5.258535e-02    4.926082e-06
  5.288428e-02    4.857396e-06
  5.318321e-02    4.839422e-06
  5.348214e-02    4.862977e-06
  5.378107e-02    4.863092e-06
  5.408000e-02    4.864291e-06
  5.437893e-02    4.836176e-06
  5.467786e-02    4.848201e-06
  5.497679e-02    4.845391e-06
  5.527572e-02    4.828180e-06
  5.557465e-02    4.835550e-06
  5.587358e-02    4.848239e-06
  5.617251e-02    4.844483e-06
  5.647144e-02    4.849994e-06
  5.677037e-02    4.834269e-06
  5.706930e-02    4.849941e-06
  5.736823e-02    4.861876e-06
  5.766716e-02    4.877224e-06
  5.796609e-02    4.879841e-06
  5.826502e-02    4.865131e-06
  5.856395e-02    4.876997e-06
  5.886288e-02    4.915932e-06
  5.916181e-02    4.941340e-06
  5.946074e-02    4.940715e-06
  5.975967e-02    4.942432e-06
  6.005861e-02    4.945132e-06
  6.035754e-02    4.952266e-06
  6.065647e-02    4.987770e-06
  6.095540e-02    5.034069e-06
  6.125433e-02    5.102388e-06
  6.155326e-02    5.113681e-06
  6.185219e-02    5.041992e-06
  6.215112e-02    5.025337e-06
  6.245005e-02    4.993809e-06
  6.274898e-02    4.980010e-06
  6.304791e-02    4.981547e-06
  6.334684e-02    5.003139e-06
  6.364577e-02    5.007566e-06
  6.394470e-02    5.008989e-06
  6.424363e-02    5.007900e-06
  6.454256e-02    5.031252e-06
  6.484149e-02    5.044386e-06
  6.514042e-02    5.061533e-06
  6.543935e-02    5.070105e-06
  6.573828e-02    5.075190e-06
  6.603721e-02    5.085435e-06
  6.633614e-02    5.104949e-06
  6.663507e-02    5.087636e-06
  6.693400e-02    5.087050e-06
  6.723293e-02    5.088312e-06
  6.753186e-02    5.099805e-06
  6.783080e-02    5.124336e-06
  6.812973e-02    5.137020e-06
  6.842866e-02    5.146811e-06
  6.872759e-02    5.159664e-06
  6.902652e-02    5.173329e-06
  6.932545e-02    5.174278e-06
  6.962438e-02    5.164375e-06
  6.992331e-02    5.186410e-06
  7.022224e-02    5.209916e-06
  7.052117e-02    5.212421e-06
  7.082010e-02    5.216525e-06
  7.111903e-02    5.204833e-06
  7.141796e-02    5.223467e-06
  7.171689e-02    5.267332e-06
  7.201582e-02    5.255321e-06
  7.231475e-02    5.253270e-06
  7.261368e-02    5.224771e-06
  7.291261e-02    5.240236e-06
  7.321154e-02    5.274062e-06
  7.351047e-02    5.271325e-06
  7.380940e-02    5.222677e-06
  7.410833e-02    5.239551e-06
  7.440726e-02    5.249946e-06
  7.470619e-02    5.257940e-06
  7.500512e-02    5.266211e-06
  7.530405e-02    5.295271e-06
  7.560299e-02    5.268803e-06
  7.590192e-02    5.258330e-06
  7.620085e-02    5.257164e-06
  7.649978e-02    5.260215e-06
  7.679871e-02    5.268397e-06
  7.709764e-02    5.268822e-06
  7.739657e-02    5.291639e-06
  7.769550e-02    5.252075e-06
  7.799443e-02    5.238931e-06
  7.829336e-02    5.260906e-06
  7.859229e-02    5.251943e-06
  7.889122e-02    5.244929e-06
  7.919015e-02    5.223912e-06
  7.948908e-02    5.248991e-06
  7.978801e-02    5.268475e-06
  8.008694e-02    5.253755e-06
  8.038587e-02    5.252356e-06
  8.068480e-02    5.249671e-06
  8.098373e-02    5.239930e-06
  8.128266e-02    5.230117e-06
  8.158159e-02    5.212619e-06
  8.188052e-02    5.203976e-06
  8.217945e-02    5.207849e-06
  8.247838e-02    5.188655e-06
  8.277731e-02    5.205255e-06
  8.307624e-02    5.208036e-06
  8.337518e-02    5.206239e-06
  8.367411e-02    5.182306e-06
  8.397304e-02    5.187487e-06
  8.427197e-02    5.178224e-06
  8.457090e-02    5.183264e-06
  8.486983e-02    5.149283e-06
  8.516876e-02    5.145721e-06
  8.546769e-02    5.136782e-06
  8.576662e-02    5.114656e-06
  8.606555e-02    5.124322e-06
  8.636448e-02    5.127263e-06
  8.666341e-02    5.128690e-06
  8.696234e-02    5.118632e-06
  8.726127e-02    5.100619e-06
  8.756020e-02    5.087452e-06
  8.785913e-02    5.102332e-06
  8.815806e-02    5.074176e-06
  8.845699e-02    5.030111e-06
  8.875592e-02    5.024211e-06
  8.905485e-02    5.026962e-06
