# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 4145809.4000000004
# --> MT-AL_F127_220228_2524f92f-fc13-493d-bddd-767fea6af294_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    9.993384e-03
  4.756484e-03    7.808242e-03
  5.055415e-03    5.609631e-03
  5.354345e-03    4.015075e-03
  5.653276e-03    3.144428e-03
  5.952206e-03    5.154660e-03
  6.251136e-03    4.683315e-03
  6.550067e-03    4.036857e-03
  6.848997e-03    3.406597e-03
  7.147927e-03    2.865117e-03
  7.446858e-03    2.444989e-03
  7.745788e-03    2.096877e-03
  8.044719e-03    1.805146e-03
  8.343649e-03    1.574519e-03
  8.642579e-03    1.376631e-03
  8.941510e-03    1.213796e-03
  9.240440e-03    1.075397e-03
  9.539371e-03    9.538831e-04
  9.838301e-03    8.495947e-04
  1.013723e-02    7.624928e-04
  1.043616e-02    6.860298e-04
  1.073509e-02    6.174510e-04
  1.103402e-02    5.607595e-04
  1.133295e-02    5.099329e-04
  1.163188e-02    4.642712e-04
  1.193081e-02    4.250486e-04
  1.222974e-02    3.899597e-04
  1.252867e-02    3.587935e-04
  1.282760e-02    3.306062e-04
  1.312654e-02    3.053084e-04
  1.342547e-02    2.826612e-04
  1.372440e-02    2.625929e-04
  1.402333e-02    2.439758e-04
  1.432226e-02    2.270523e-04
  1.462119e-02    2.123117e-04
  1.492012e-02    1.990916e-04
  1.521905e-02    1.864990e-04
  1.551798e-02    1.755564e-04
  1.581691e-02    1.653217e-04
  1.611584e-02    1.560436e-04
  1.641477e-02    1.468674e-04
  1.671370e-02    1.387828e-04
  1.701263e-02    1.315409e-04
  1.731156e-02    1.248608e-04
  1.761049e-02    1.187317e-04
  1.790942e-02    1.129309e-04
  1.820835e-02    1.076278e-04
  1.850728e-02    1.030452e-04
  1.880621e-02    9.865217e-05
  1.910514e-02    9.438224e-05
  1.940407e-02    9.047714e-05
  1.970300e-02    8.705040e-05
  2.000193e-02    8.394834e-05
  2.030086e-02    8.092543e-05
  2.059979e-02    7.793259e-05
  2.089873e-02    7.510497e-05
  2.119766e-02    7.265440e-05
  2.149659e-02    7.091500e-05
